modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
rf,signo_zodiacal_virgo,1,0.5,0.38,0.36611111111111116,0.32,0.34081871345029235,0.3590000000000001,0.4633579574020751,3.2,5.6,4.4,6.8
rf,signo_zodiacal_virgo,2,0.5,0.44000000000000006,0.43888888888888883,0.4,0.4160552897395003,0.48,0.5453890568495832,4.0,5.2,4.8,6.0
rf,signo_zodiacal_virgo,3,0.5,0.6000000000000001,0.5912337662337662,0.62,0.5952720482132247,0.633,0.6576436037302911,6.2,4.2,5.8,3.8
rf,signo_zodiacal_virgo,4,0.5,0.58,0.5881818181818181,0.5599999999999999,0.5621599453178401,0.606,0.6726612537789007,5.6,4.0,6.0,4.4
rf,signo_zodiacal_virgo,5,0.5,0.5200000000000001,0.517979797979798,0.48,0.4962740183792815,0.49400000000000005,0.5157937972759954,4.8,4.4,5.6,5.2
rf,signo_zodiacal_virgo,6,0.5,0.44000000000000006,0.4095238095238095,0.4,0.3977984176126591,0.475,0.5417243089727609,4.0,5.2,4.8,6.0
rf,signo_zodiacal_virgo,7,0.5,0.51,0.5127428127428127,0.52,0.5062686360169197,0.5129999999999999,0.5627552524874506,5.2,5.0,5.0,4.8
rf,signo_zodiacal_virgo,8,0.5,0.44000000000000006,0.428051948051948,0.44000000000000006,0.4318207282913165,0.44300000000000006,0.5265190375499973,4.4,5.6,4.4,5.6
rf,signo_zodiacal_virgo,9,0.5,0.48,0.4955710955710956,0.5,0.4879728966685488,0.518,0.6031946946242611,5.0,5.4,4.6,5.0
rf,signo_zodiacal_virgo,10,0.5,0.48999999999999994,0.4969230769230769,0.54,0.51648033126294,0.514,0.6190360656715146,5.4,5.6,4.4,4.6
rf,signo_zodiacal_virgo,11,0.5,0.52,0.5359090909090909,0.5599999999999999,0.5423492063492064,0.561,0.6104494671994671,5.6,5.2,4.8,4.4
rf,signo_zodiacal_virgo,12,0.5,0.5,0.49822399822399815,0.45999999999999996,0.46948493356152526,0.5229999999999999,0.5787858781225654,4.6,4.6,5.4,5.4
rf,signo_zodiacal_virgo,13,0.5,0.47000000000000003,0.47745098039215683,0.5599999999999999,0.5074074074074073,0.438,0.5456320366939561,5.6,6.2,3.8,4.4
rf,signo_zodiacal_virgo,14,0.5,0.52,0.5361904761904761,0.48,0.5039628482972136,0.511,0.5632054154995332,4.8,4.4,5.6,5.2
