,pos_rate_bootstrap,pos_rate_bootstrap,cv_accuracy,cv_accuracy,cv_precision,cv_precision,cv_recall,cv_recall,cv_f1,cv_f1,cv_roc_auc,cv_roc_auc,cv_pr_auc,cv_pr_auc,cv_tp_mean,cv_tp_mean,cv_fp_mean,cv_fp_mean,cv_tn_mean,cv_tn_mean,cv_fn_mean,cv_fn_mean
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
signo,,,,,,,,,,,,,,,,,,,,,,
signo_zodiacal_acuario,0.5,0.0,0.49756,0.061406742105015684,0.49833571986836694,0.06865983926377507,0.48888,0.082405867837844,0.48463939095872194,0.06960969029252063,0.496064,0.07861751287506694,0.5638220631466916,0.05905196925961708,4.8888,0.82405867837844,4.937600000000001,0.819957865870928,5.062399999999999,0.819957865870928,5.1112,0.8240586783784399
signo_zodiacal_aries,0.5,0.0,0.5016400000000001,0.06410248557828804,0.5023299513558337,0.07288599353313761,0.49107999999999996,0.08446242598224138,0.48805224246157614,0.0734674489760785,0.500886,0.07925252633108751,0.5659970472772841,0.06022446880162007,4.9108,0.8446242598224138,4.878,0.828110822939865,5.122,0.828110822939865,5.0892,0.8446242598224141
signo_zodiacal_cancer,0.5,0.0,0.49252,0.0626442191777724,0.4934007944016768,0.07041566094130418,0.4806,0.08115671768653106,0.47839135995737264,0.0705120803410417,0.492794,0.07829331549053853,0.560692751685535,0.05918169039744037,4.806,0.8115671768653099,4.9556000000000004,0.787393559304665,5.0443999999999996,0.787393559304665,5.194,0.8115671768653099
signo_zodiacal_capricornio,0.5,0.0,0.50074,0.062448795858754694,0.5016045769469608,0.06989607458784117,0.48963999999999996,0.08280085968593236,0.4866562371984597,0.07137084487942648,0.500718,0.07755994821513401,0.5673108697587242,0.058588959577060645,4.8964,0.828008596859323,4.881600000000001,0.8083119301066302,5.118399999999999,0.8083119301066302,5.1036,0.8280085968593232
signo_zodiacal_escorpio,0.5,0.0,0.4988,0.06268667512699135,0.4989511368043721,0.06800719474011681,0.48863999999999996,0.08185567238868914,0.48540815885744004,0.06978884316282052,0.500528,0.07659210087098843,0.5661852094733612,0.0585504192006957,4.8864,0.8185567238868914,4.910399999999999,0.8121150791628033,5.089600000000001,0.8121150791628033,5.1136,0.8185567238868914
signo_zodiacal_geminis,0.5,0.0,0.49876,0.06085613640938234,0.4978513251454428,0.06961280292775292,0.48668,0.08274461276653466,0.48348848685577045,0.0710459294124601,0.499342,0.07972126439032431,0.5634903138567658,0.061333934434761594,4.8668000000000005,0.8274461276653461,4.8916,0.7960885339632878,5.1084,0.7960885339632878,5.1331999999999995,0.8274461276653462
signo_zodiacal_leo,0.5,0.0,0.50102,0.06130151181415843,0.5002367809641339,0.0686244376107279,0.48936,0.08308909673351847,0.48639232705915003,0.07095885531181981,0.501362,0.07722586759143925,0.566351393764646,0.05867257903594281,4.8936,0.8308909673351845,4.8732,0.8273879995525725,5.1268,0.8273879995525725,5.1064,0.8308909673351845
signo_zodiacal_libra,0.5,0.0,0.50014,0.06787484356355862,0.5009737782478959,0.07581503897244919,0.48516000000000004,0.08234887415228148,0.48461024824833415,0.07358156098984987,0.49992000000000003,0.08579615119058802,0.5691613087945766,0.06519484115888922,4.8516,0.823488741522815,4.8488,0.8648204373033488,5.1512,0.8648204373033489,5.1484,0.823488741522815
signo_zodiacal_piscis,0.5,0.0,0.5002800000000001,0.06238353156098205,0.4990759000476647,0.0702287154476997,0.48851999999999995,0.08430435367225222,0.48582295719020013,0.07228165602737623,0.500524,0.08139616757681153,0.5656553367810381,0.06186470735135976,4.8852,0.8430435367225224,4.8796,0.7871614104949154,5.1204,0.7871614104949154,5.1148,0.8430435367225224
signo_zodiacal_sagitario,0.5,0.0,0.4989,0.06457344236540156,0.49965012383041796,0.07268871985022966,0.48675999999999997,0.08226199896030906,0.4849596836454303,0.07190919354931163,0.499056,0.08046807495008398,0.565139165948087,0.059815473144966616,4.8676,0.8226199896030904,4.889600000000001,0.8294986292646324,5.110399999999999,0.8294986292646324,5.1324,0.8226199896030904
signo_zodiacal_tauro,0.5,0.0,0.50072,0.059955574735663764,0.5016272714007699,0.06675025672389268,0.49151999999999996,0.08197028641960093,0.4880679292913838,0.0690723632665332,0.504334,0.07674003198473422,0.5700954667049497,0.05860012613995627,4.9152,0.8197028641960106,4.9008,0.7889513600324128,5.0992,0.788951360032413,5.0848,0.8197028641960106
signo_zodiacal_virgo,0.5,0.0,0.50056,0.06214991249588768,0.500795702793938,0.0698608177820538,0.48976,0.08196449693321507,0.4870633032304539,0.07055549290435592,0.502014,0.07967706491423174,0.5690519149433297,0.06078281698405424,4.897600000000001,0.8196449693321513,4.8864,0.7816886299726102,5.1136,0.7816886299726102,5.102399999999999,0.8196449693321513
