modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
rf_full,signo_zodiacal_cancer,1,0.5,0.43,0.42510822510822505,0.38,0.39941029043196224,0.44299999999999995,0.5280805109922756,3.8,5.2,4.8,6.2
rf_full,signo_zodiacal_cancer,2,0.5,0.55,0.58,0.4999999999999999,0.5341795665634674,0.58,0.6548240740167983,5.0,4.0,6.0,5.0
rf_full,signo_zodiacal_cancer,3,0.5,0.5999999999999999,0.6144444444444445,0.56,0.5849122807017544,0.63,0.6600374788610084,5.6,3.6,6.4,4.4
rf_full,signo_zodiacal_cancer,4,0.5,0.55,0.5643278943278943,0.5599999999999999,0.558182412553122,0.576,0.6215127982612503,5.6,4.6,5.4,4.4
rf_full,signo_zodiacal_cancer,5,0.5,0.48,0.4692857142857143,0.44000000000000006,0.44388888888888883,0.43400000000000005,0.5452393585087084,4.4,4.8,5.2,5.6
rf_full,signo_zodiacal_cancer,6,0.5,0.4,0.38492063492063494,0.36,0.3659583450605123,0.453,0.539331252081252,3.6,5.6,4.4,6.4
rf_full,signo_zodiacal_cancer,7,0.5,0.47000000000000003,0.46333333333333326,0.38,0.4073015873015873,0.5050000000000001,0.5797633838469751,3.8,4.4,5.6,6.2
rf_full,signo_zodiacal_cancer,8,0.5,0.4600000000000001,0.46923076923076923,0.58,0.5174948240165632,0.4600000000000001,0.541252663573097,5.8,6.6,3.4,4.2
rf_full,signo_zodiacal_cancer,9,0.5,0.5,0.5196886446886447,0.42000000000000004,0.45549161693662976,0.501,0.5961104820532064,4.2,4.2,5.8,5.8
rf_full,signo_zodiacal_cancer,10,0.5,0.55,0.558974358974359,0.5199999999999999,0.5296597690459584,0.53,0.6242692395323973,5.2,4.2,5.8,4.8
rf_full,signo_zodiacal_cancer,11,0.5,0.43999999999999995,0.41983516483516486,0.43999999999999995,0.42455552972177013,0.358,0.445537583331701,4.4,5.6,4.4,5.6
rf_full,signo_zodiacal_cancer,12,0.5,0.51,0.5655122655122655,0.44000000000000006,0.4734134802246258,0.5589999999999999,0.6546391926786663,4.4,4.2,5.8,5.6
rf_full,signo_zodiacal_cancer,13,0.5,0.49000000000000005,0.48686868686868684,0.48,0.4827067669172932,0.43499999999999994,0.5562159827616484,4.8,5.0,5.0,5.2
rf_full,signo_zodiacal_cancer,14,0.5,0.49000000000000005,0.503943278943279,0.48,0.48745777487196246,0.508,0.5920275655716831,4.8,5.0,5.0,5.2
rf_full,signo_zodiacal_cancer,15,0.5,0.55,0.5396969696969698,0.58,0.558049669628617,0.542,0.5776593951284353,5.8,4.8,5.2,4.2
rf_full,signo_zodiacal_cancer,16,0.5,0.41,0.4158119658119658,0.45999999999999996,0.434324942791762,0.43,0.5219399211899212,4.6,6.4,3.6,5.4
rf_full,signo_zodiacal_cancer,17,0.5,0.51,0.5024975024975025,0.5,0.49608676422514086,0.48,0.5274475332888645,5.0,4.8,5.2,5.0
rf_full,signo_zodiacal_cancer,18,0.5,0.41000000000000003,0.4147619047619047,0.42000000000000004,0.4103862150920975,0.361,0.5034541345307598,4.2,6.0,4.0,5.8
rf_full,signo_zodiacal_cancer,19,0.5,0.48,0.47897435897435897,0.48,0.47697940503432495,0.48,0.574443186930029,4.8,5.2,4.8,5.2
rf_full,signo_zodiacal_cancer,20,0.5,0.5,0.4809523809523809,0.36,0.3986836692719046,0.5299999999999999,0.5740193960666097,3.6,3.6,6.4,6.4
rf_full,signo_zodiacal_cancer,21,0.5,0.48,0.4799145299145299,0.6,0.5301920809929963,0.5120000000000001,0.575774753024753,6.0,6.4,3.6,4.0
rf_full,signo_zodiacal_cancer,22,0.5,0.47000000000000003,0.4709090909090909,0.5199999999999999,0.4934199134199134,0.441,0.508408267600992,5.2,5.8,4.2,4.8
rf_full,signo_zodiacal_cancer,23,0.5,0.4,0.3936363636363637,0.38,0.38476190476190475,0.4119999999999999,0.48112351331159375,3.8,5.8,4.2,6.2
rf_full,signo_zodiacal_cancer,24,0.5,0.4000000000000001,0.39181818181818184,0.4,0.3913852813852814,0.362,0.5141397924401021,4.0,6.0,4.0,6.0
