modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
rf_full,signo_zodiacal_escorpio,1,0.5,0.45999999999999996,0.4209090909090909,0.36,0.3771428571428571,0.5,0.5526343235368003,3.6,4.4,5.6,6.4
rf_full,signo_zodiacal_escorpio,2,0.5,0.5,0.5141691641691641,0.48,0.4901947964540507,0.45199999999999996,0.5396938710584221,4.8,4.8,5.2,5.2
rf_full,signo_zodiacal_escorpio,3,0.5,0.4,0.3638383838383838,0.4,0.37296240601503755,0.398,0.4945478950873688,4.0,6.0,4.0,6.0
rf_full,signo_zodiacal_escorpio,4,0.5,0.5999999999999999,0.6282251082251082,0.54,0.5724509803921569,0.6409999999999999,0.6536358353548757,5.4,3.4,6.6,4.6
rf_full,signo_zodiacal_escorpio,5,0.5,0.45,0.44102564102564096,0.44000000000000006,0.43394008737258166,0.434,0.5119727346097316,4.4,5.4,4.6,5.6
rf_full,signo_zodiacal_escorpio,6,0.5,0.55,0.5501587301587301,0.48,0.5110560715514276,0.545,0.6016305303743384,4.8,3.8,6.2,5.2
rf_full,signo_zodiacal_escorpio,7,0.5,0.5199999999999999,0.5183838383838383,0.52,0.5185964912280701,0.47800000000000004,0.5631791089027931,5.2,4.8,5.2,4.8
rf_full,signo_zodiacal_escorpio,8,0.5,0.51,0.5221367521367521,0.52,0.5070022883295194,0.517,0.5840181670754425,5.2,5.0,5.0,4.8
rf_full,signo_zodiacal_escorpio,9,0.5,0.47000000000000003,0.46691086691086686,0.5,0.4758132543635304,0.518,0.6144388218420725,5.0,5.6,4.4,5.0
rf_full,signo_zodiacal_escorpio,10,0.5,0.43,0.4023376623376623,0.42000000000000004,0.4015839062897887,0.42699999999999994,0.50450479972384,4.2,5.6,4.4,5.8
rf_full,signo_zodiacal_escorpio,11,0.5,0.44000000000000006,0.438974358974359,0.38,0.39750572082379865,0.41500000000000004,0.4999684753670822,3.8,5.0,5.0,6.2
rf_full,signo_zodiacal_escorpio,12,0.5,0.5200000000000001,0.517918192918193,0.48,0.4917276140051749,0.45099999999999996,0.5140943146121165,4.8,4.4,5.6,5.2
rf_full,signo_zodiacal_escorpio,13,0.5,0.44000000000000006,0.4353535353535354,0.45999999999999996,0.4434837092731829,0.472,0.540736680416247,4.6,5.8,4.2,5.4
rf_full,signo_zodiacal_escorpio,14,0.5,0.5,0.5087301587301587,0.45999999999999996,0.47917878475154013,0.43899999999999995,0.5528242703289143,4.6,4.6,5.4,5.4
rf_full,signo_zodiacal_escorpio,15,0.5,0.49000000000000005,0.49444444444444446,0.4,0.43109288372446264,0.45500000000000007,0.5478090069545177,4.0,4.2,5.8,6.0
rf_full,signo_zodiacal_escorpio,16,0.5,0.42000000000000004,0.41717171717171714,0.44000000000000006,0.42443609022556394,0.41900000000000004,0.5306420709493465,4.4,6.0,4.0,5.6
rf_full,signo_zodiacal_escorpio,17,0.5,0.53,0.5373737373737373,0.52,0.5273182957393484,0.521,0.5750638060769638,5.2,4.6,5.4,4.8
rf_full,signo_zodiacal_escorpio,18,0.5,0.48,0.4764646464646464,0.5,0.48672134882661194,0.542,0.6328174978616156,5.0,5.4,4.6,5.0
rf_full,signo_zodiacal_escorpio,19,0.5,0.5800000000000001,0.5866666666666667,0.54,0.5583838383838383,0.5650000000000001,0.5657539476347526,5.4,3.8,6.2,4.6
rf_full,signo_zodiacal_escorpio,20,0.5,0.49000000000000005,0.4833333333333333,0.52,0.4995215311004785,0.47800000000000004,0.5385682460814041,5.2,5.4,4.6,4.8
rf_full,signo_zodiacal_escorpio,21,0.5,0.39,0.3790476190476191,0.36,0.365941770647653,0.34800000000000003,0.45774855906047857,3.6,5.8,4.2,6.4
rf_full,signo_zodiacal_escorpio,22,0.5,0.43999999999999995,0.42833333333333334,0.5,0.4556427432216906,0.43800000000000006,0.5175214188975799,5.0,6.2,3.8,5.0
rf_full,signo_zodiacal_escorpio,23,0.5,0.56,0.5616666666666666,0.58,0.5674747474747475,0.599,0.606765324716563,5.8,4.6,5.4,4.2
rf_full,signo_zodiacal_escorpio,24,0.5,0.5900000000000001,0.583939393939394,0.64,0.6096969696969696,0.58,0.588662910618793,6.4,4.6,5.4,3.6
rf_full,signo_zodiacal_escorpio,25,0.5,0.44000000000000006,0.44113386613386607,0.4999999999999999,0.4645962732919255,0.44099999999999995,0.5109983915293512,5.0,6.2,3.8,5.0
rf_full,signo_zodiacal_escorpio,26,0.5,0.51,0.4988095238095238,0.5,0.4945335710041593,0.5519999999999999,0.5927576732692832,5.0,4.8,5.2,5.0
rf_full,signo_zodiacal_escorpio,27,0.5,0.4,0.3682539682539683,0.44000000000000006,0.3976874003189793,0.356,0.47565080550684263,4.4,6.4,3.6,5.6
rf_full,signo_zodiacal_escorpio,28,0.5,0.4800000000000001,0.46898601398601397,0.5,0.4810351966873706,0.48,0.5646907096171802,5.0,5.4,4.6,5.0
rf_full,signo_zodiacal_escorpio,29,0.5,0.44000000000000006,0.4334415584415584,0.38,0.3975362872421696,0.4779999999999999,0.520239500695383,3.8,5.0,5.0,6.2
rf_full,signo_zodiacal_escorpio,30,0.5,0.5399999999999999,0.5365523365523365,0.5,0.5073944451922645,0.567,0.6268010502569326,5.0,4.2,5.8,5.0
rf_full,signo_zodiacal_escorpio,31,0.5,0.47000000000000003,0.4660606060606061,0.5599999999999999,0.5074025974025974,0.46499999999999997,0.546432002208318,5.6,6.2,3.8,4.4
rf_full,signo_zodiacal_escorpio,32,0.5,0.51,0.5226190476190476,0.48,0.49613784907902553,0.4790000000000001,0.5946219995175104,4.8,4.6,5.4,5.2
rf_full,signo_zodiacal_escorpio,33,0.5,0.54,0.55,0.52,0.5272727272727272,0.476,0.5228870024883957,5.2,4.4,5.6,4.8
rf_full,signo_zodiacal_escorpio,34,0.5,0.48999999999999994,0.47575757575757577,0.5,0.48600288600288605,0.43200000000000005,0.5529248745750294,5.0,5.2,4.8,5.0
rf_full,signo_zodiacal_escorpio,35,0.5,0.41,0.40897435897435896,0.4600000000000001,0.43061045234958273,0.372,0.4813172485409328,4.6,6.4,3.6,5.4
rf_full,signo_zodiacal_escorpio,36,0.5,0.5999999999999999,0.6412409812409813,0.5599999999999999,0.5795768833849329,0.643,0.6378718666953961,5.6,3.6,6.4,4.4
rf_full,signo_zodiacal_escorpio,37,0.5,0.47000000000000003,0.4709090909090909,0.48,0.47365079365079354,0.46900000000000003,0.5256227940446206,4.8,5.4,4.6,5.2
rf_full,signo_zodiacal_escorpio,38,0.5,0.55,0.5722344322344323,0.54,0.5428132992327366,0.58,0.6573634415120482,5.4,4.4,5.6,4.6
rf_full,signo_zodiacal_escorpio,39,0.5,0.48,0.4642135642135642,0.44000000000000006,0.4487296673055187,0.41999999999999993,0.5111334966203387,4.4,4.8,5.2,5.6
rf_full,signo_zodiacal_escorpio,40,0.5,0.6300000000000001,0.6672222222222223,0.5599999999999999,0.5914665451507557,0.662,0.6728107627666451,5.6,3.0,7.0,4.4
rf_full,signo_zodiacal_escorpio,41,0.5,0.56,0.5783056812468578,0.6,0.5517233000070528,0.596,0.6116334857952505,6.0,4.8,5.2,4.0
rf_full,signo_zodiacal_escorpio,42,0.5,0.43,0.4212698412698413,0.32000000000000006,0.3558593676705132,0.4149999999999999,0.5375223875711491,3.2,4.6,5.4,6.8
rf_full,signo_zodiacal_escorpio,43,0.5,0.5799999999999998,0.5953968253968254,0.5599999999999999,0.5610207336523125,0.6299999999999999,0.6811172869098565,5.6,4.0,6.0,4.4
rf_full,signo_zodiacal_escorpio,44,0.5,0.45999999999999996,0.45186147186147185,0.42000000000000004,0.4225136370337609,0.429,0.5247031775414128,4.2,5.0,5.0,5.8
rf_full,signo_zodiacal_escorpio,45,0.5,0.51,0.5462759462759463,0.52,0.5230096767921509,0.5090000000000001,0.6064936479069606,5.2,5.0,5.0,4.8
rf_full,signo_zodiacal_escorpio,46,0.5,0.45999999999999996,0.47693972693972697,0.4600000000000001,0.45968268730417067,0.44799999999999995,0.5137830611081384,4.6,5.4,4.6,5.4
rf_full,signo_zodiacal_escorpio,47,0.5,0.5,0.5003968253968254,0.45999999999999996,0.4751383807111361,0.519,0.6031241901373481,4.6,4.6,5.4,5.4
rf_full,signo_zodiacal_escorpio,48,0.5,0.47000000000000003,0.4666666666666667,0.48,0.4702286018075491,0.49099999999999994,0.5939581339712918,4.8,5.4,4.6,5.2
rf_full,signo_zodiacal_escorpio,49,0.5,0.52,0.5337662337662338,0.54,0.5314998726763432,0.4739999999999999,0.5339146511383354,5.4,5.0,5.0,4.6
rf_full,signo_zodiacal_escorpio,50,0.5,0.5599999999999999,0.5483333333333333,0.5,0.5172727272727273,0.568,0.6292346607640724,5.0,3.8,6.2,5.0
rf_full,signo_zodiacal_escorpio,51,0.5,0.5800000000000001,0.5886868686868686,0.5599999999999999,0.5731328320802005,0.65,0.6714285595725225,5.6,4.0,6.0,4.4
rf_full,signo_zodiacal_escorpio,52,0.5,0.44000000000000006,0.455982905982906,0.5,0.4748283752860411,0.449,0.5389199601568022,5.0,6.2,3.8,5.0
rf_full,signo_zodiacal_escorpio,53,0.5,0.42000000000000004,0.3784090909090909,0.54,0.442930402930403,0.383,0.5004703823867912,5.4,7.0,3.0,4.6
rf_full,signo_zodiacal_escorpio,54,0.5,0.58,0.5987012987012987,0.5199999999999999,0.5483065953654189,0.6210000000000001,0.6458587035599419,5.2,3.6,6.4,4.8
rf_full,signo_zodiacal_escorpio,55,0.5,0.64,0.6886446886446886,0.6,0.6264628380996667,0.672,0.7060595109225141,6.0,3.2,6.8,4.0
rf_full,signo_zodiacal_escorpio,56,0.5,0.45999999999999996,0.47042735042735045,0.5199999999999999,0.49044241037376046,0.477,0.5458204552585358,5.2,6.0,4.0,4.8
rf_full,signo_zodiacal_escorpio,57,0.5,0.43,0.4261111111111111,0.41999999999999993,0.4210207336523125,0.465,0.5308262360274745,4.2,5.6,4.4,5.8
rf_full,signo_zodiacal_escorpio,58,0.5,0.44000000000000006,0.40166666666666667,0.38,0.38558213716108447,0.425,0.4739835611584837,3.8,5.0,5.0,6.2
rf_full,signo_zodiacal_escorpio,59,0.5,0.5200000000000001,0.5281746031746032,0.45999999999999996,0.4894392844857241,0.476,0.5484124111182934,4.6,4.2,5.8,5.4
rf_full,signo_zodiacal_escorpio,60,0.5,0.47000000000000003,0.4688888888888888,0.4600000000000001,0.4627751196172249,0.4840000000000001,0.5633959908340713,4.6,5.2,4.8,5.4
rf_full,signo_zodiacal_escorpio,61,0.5,0.5599999999999999,0.5509523809523809,0.5,0.517706163805235,0.585,0.5970349335906612,5.0,3.8,6.2,5.0
rf_full,signo_zodiacal_escorpio,62,0.5,0.37,0.36888888888888893,0.34,0.35208931419457734,0.359,0.4753563793447694,3.4,6.0,4.0,6.6
