modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
rf_full,signo_zodiacal_leo,1,0.5,0.4699999999999999,0.4597979797979798,0.36,0.3966708437761069,0.483,0.5793486615723458,3.6,4.2,5.8,6.4
rf_full,signo_zodiacal_leo,2,0.5,0.48,0.4702020202020202,0.4800000000000001,0.4731373889268625,0.525,0.6014115220864447,4.8,5.2,4.8,5.2
rf_full,signo_zodiacal_leo,3,0.5,0.45,0.48288600288600286,0.42000000000000004,0.42299209562367457,0.433,0.5468373560563962,4.2,5.2,4.8,5.8
rf_full,signo_zodiacal_leo,4,0.5,0.6199999999999999,0.6238344988344988,0.62,0.6171588391268024,0.589,0.6269449825200599,6.2,3.8,6.2,3.8
rf_full,signo_zodiacal_leo,5,0.5,0.51,0.5064224664224664,0.5,0.4979620406515009,0.4549999999999999,0.539758167443152,5.0,4.8,5.2,5.0
rf_full,signo_zodiacal_leo,6,0.5,0.42000000000000004,0.42414529914529914,0.45999999999999996,0.43783371472158655,0.4029999999999999,0.4937331193917881,4.6,6.2,3.8,5.4
rf_full,signo_zodiacal_leo,7,0.5,0.5,0.49777777777777776,0.5199999999999999,0.5050877192982457,0.5599999999999999,0.5882147260204535,5.2,5.2,4.8,4.8
rf_full,signo_zodiacal_leo,8,0.5,0.47000000000000003,0.48769841269841274,0.33999999999999997,0.3912526414074402,0.48200000000000004,0.5745550478932832,3.4,4.0,6.0,6.6
rf_full,signo_zodiacal_leo,9,0.5,0.45000000000000007,0.46733193277310925,0.5,0.45679906150494387,0.47400000000000003,0.5733401619020814,5.0,6.0,4.0,5.0
rf_full,signo_zodiacal_leo,10,0.5,0.42000000000000004,0.39666666666666667,0.38,0.38,0.39,0.4704533707606463,3.8,5.4,4.6,6.2
rf_full,signo_zodiacal_leo,11,0.5,0.51,0.4852020202020203,0.42000000000000004,0.4462155388471178,0.466,0.549716183970828,4.2,4.0,6.0,5.8
rf_full,signo_zodiacal_leo,12,0.5,0.54,0.5438095238095237,0.6199999999999999,0.5680713012477718,0.534,0.5769393917056455,6.2,5.4,4.6,3.8
rf_full,signo_zodiacal_leo,13,0.5,0.5900000000000001,0.61004329004329,0.52,0.5547191508182221,0.605,0.5968483640542463,5.2,3.4,6.6,4.8
rf_full,signo_zodiacal_leo,14,0.5,0.61,0.6194444444444445,0.58,0.5951621477937268,0.5720000000000001,0.6036309425868248,5.8,3.6,6.4,4.2
rf_full,signo_zodiacal_leo,15,0.5,0.5800000000000001,0.5529004329004328,0.6200000000000001,0.5771148727433557,0.5519999999999999,0.5816020994829044,6.2,4.6,5.4,3.8
rf_full,signo_zodiacal_leo,16,0.5,0.4,0.3873809523809524,0.33999999999999997,0.36041279669762644,0.38699999999999996,0.4858022918773693,3.4,5.4,4.6,6.6
rf_full,signo_zodiacal_leo,17,0.5,0.41,0.4028860028860029,0.32000000000000006,0.3527728635313775,0.433,0.5316188348115592,3.2,5.0,5.0,6.8
rf_full,signo_zodiacal_leo,18,0.5,0.37,0.317987012987013,0.30000000000000004,0.30614379084967325,0.36900000000000005,0.45650226777006964,3.0,5.6,4.4,7.0
rf_full,signo_zodiacal_leo,19,0.5,0.6300000000000001,0.623939393939394,0.6599999999999999,0.6406060606060606,0.693,0.725043703630391,6.6,4.0,6.0,3.4
rf_full,signo_zodiacal_leo,20,0.5,0.43,0.4351082251082251,0.48,0.45005143875732107,0.42000000000000004,0.5139638370745182,4.8,6.2,3.8,5.2
rf_full,signo_zodiacal_leo,21,0.5,0.55,0.5654040404040404,0.5,0.5238930659983291,0.563,0.5832093180297514,5.0,4.0,6.0,5.0
rf_full,signo_zodiacal_leo,22,0.5,0.55,0.5430769230769231,0.52,0.5142530899052639,0.5710000000000001,0.6082499798103514,5.2,4.2,5.8,4.8
rf_full,signo_zodiacal_leo,23,0.5,0.47000000000000003,0.4690909090909091,0.5,0.47984126984126985,0.4699999999999999,0.531895436864477,5.0,5.6,4.4,5.0
rf_full,signo_zodiacal_leo,24,0.5,0.44000000000000006,0.4374242424242424,0.47999999999999987,0.452952380952381,0.346,0.4636465228098355,4.8,6.0,4.0,5.2
rf_full,signo_zodiacal_leo,25,0.5,0.48,0.46313131313131317,0.48,0.46581225791752107,0.522,0.5601256592564642,4.8,5.2,4.8,5.2
rf_full,signo_zodiacal_leo,26,0.5,0.5,0.4917904317904318,0.5,0.49092385695697044,0.49000000000000005,0.5358117237939218,5.0,5.0,5.0,5.0
rf_full,signo_zodiacal_leo,27,0.5,0.5,0.5044011544011544,0.5599999999999999,0.5277739804055593,0.521,0.5749901020032598,5.6,5.6,4.4,4.4
rf_full,signo_zodiacal_leo,28,0.5,0.5599999999999999,0.5999999999999999,0.5,0.5387161084529505,0.531,0.6011540947013083,5.0,3.8,6.2,5.0
rf_full,signo_zodiacal_leo,29,0.5,0.45999999999999996,0.46333333333333326,0.41999999999999993,0.43479797979797985,0.484,0.5229144625584254,4.2,5.0,5.0,5.8
rf_full,signo_zodiacal_leo,30,0.5,0.4,0.36,0.32000000000000006,0.32909090909090905,0.34900000000000003,0.4596171898277161,3.2,5.2,4.8,6.8
rf_full,signo_zodiacal_leo,31,0.5,0.55,0.5590187590187591,0.54,0.5442818275635612,0.554,0.5921268445177114,5.4,4.4,5.6,4.6
rf_full,signo_zodiacal_leo,32,0.5,0.51,0.509090909090909,0.44000000000000006,0.4684652808491817,0.49000000000000005,0.545791062480691,4.4,4.2,5.8,5.6
rf_full,signo_zodiacal_leo,33,0.5,0.54,0.5583333333333333,0.45999999999999996,0.5,0.5599999999999999,0.636355320548045,4.6,3.8,6.2,5.4
rf_full,signo_zodiacal_leo,34,0.5,0.53,0.530952380952381,0.56,0.5360368389780155,0.518,0.5588740513872092,5.6,5.0,5.0,4.4
rf_full,signo_zodiacal_leo,35,0.5,0.53,0.53,0.6,0.5593460925039873,0.5509999999999999,0.593488287855935,6.0,5.4,4.6,4.0
rf_full,signo_zodiacal_leo,36,0.5,0.43,0.43906926406926405,0.38,0.4046144773698953,0.418,0.4816143749611242,3.8,5.2,4.8,6.2
rf_full,signo_zodiacal_leo,37,0.5,0.54,0.5398989898989899,0.52,0.5263309789625579,0.4880000000000001,0.5516615082543874,5.2,4.4,5.6,4.8
rf_full,signo_zodiacal_leo,38,0.5,0.38,0.4062937062937063,0.48,0.43871635610766047,0.39299999999999996,0.48367328912917157,4.8,7.2,2.8,5.2
rf_full,signo_zodiacal_leo,39,0.5,0.51,0.5061616161616161,0.43999999999999995,0.46421052631578946,0.48699999999999993,0.5938998979176998,4.4,4.2,5.8,5.6
rf_full,signo_zodiacal_leo,40,0.5,0.44000000000000006,0.42696969696969694,0.41999999999999993,0.4151925267714741,0.44699999999999995,0.5280780798149218,4.2,5.4,4.6,5.8
rf_full,signo_zodiacal_leo,41,0.5,0.43,0.42388888888888887,0.38,0.4003508771929825,0.43100000000000005,0.4937544836484465,3.8,5.2,4.8,6.2
rf_full,signo_zodiacal_leo,42,0.5,0.5800000000000001,0.5811111111111111,0.5,0.5349122807017543,0.6380000000000001,0.6357342004400829,5.0,3.4,6.6,5.0
rf_full,signo_zodiacal_leo,43,0.5,0.53,0.5608058608058608,0.52,0.5263427109974426,0.522,0.580365765984961,5.2,4.6,5.4,4.8
rf_full,signo_zodiacal_leo,44,0.5,0.51,0.5083333333333333,0.5599999999999999,0.5218713450292398,0.475,0.5169969187159589,5.6,5.4,4.6,4.4
rf_full,signo_zodiacal_leo,45,0.5,0.4800000000000001,0.4766233766233766,0.48,0.4728970376029199,0.488,0.541054638344112,4.8,5.2,4.8,5.2
rf_full,signo_zodiacal_leo,46,0.5,0.54,0.5324675324675324,0.5399999999999999,0.5257936507936508,0.546,0.5878988038105686,5.4,4.6,5.4,4.6
rf_full,signo_zodiacal_leo,47,0.5,0.45,0.4434920634920635,0.4,0.4106432748538012,0.43600000000000005,0.5251110001110002,4.0,5.0,5.0,6.0
rf_full,signo_zodiacal_leo,48,0.5,0.47000000000000003,0.4666666666666667,0.4800000000000001,0.4622994652406417,0.47300000000000003,0.5516502211239053,4.8,5.4,4.6,5.2
rf_full,signo_zodiacal_leo,49,0.5,0.5,0.49444444444444446,0.43999999999999995,0.4649122807017544,0.48599999999999993,0.5461607791932869,4.4,4.4,5.6,5.6
rf_full,signo_zodiacal_leo,50,0.5,0.51,0.49616161616161614,0.41999999999999993,0.44865497076023386,0.5940000000000001,0.6438215381110118,4.2,4.0,6.0,5.8
rf_full,signo_zodiacal_leo,51,0.5,0.39,0.4108225108225108,0.44000000000000006,0.4211399711399711,0.32199999999999995,0.44376983516998997,4.4,6.6,3.4,5.6
rf_full,signo_zodiacal_leo,52,0.5,0.52,0.5478571428571428,0.42000000000000004,0.4687581699346405,0.5710000000000001,0.6199068980555048,4.2,3.8,6.2,5.8
rf_full,signo_zodiacal_leo,53,0.5,0.43,0.42333333333333334,0.4,0.3900519480519481,0.496,0.5600438917807338,4.0,5.4,4.6,6.0
rf_full,signo_zodiacal_leo,54,0.5,0.55,0.5486324786324787,0.52,0.5195025772600143,0.5349999999999999,0.6148863913863913,5.2,4.2,5.8,4.8
rf_full,signo_zodiacal_leo,55,0.5,0.5199999999999999,0.4862637362637362,0.6,0.5346624815934279,0.525,0.5953598170835013,6.0,5.6,4.4,4.0
rf_full,signo_zodiacal_leo,56,0.5,0.45999999999999996,0.45999999999999996,0.48,0.4670707070707071,0.41800000000000004,0.49158888333888334,4.8,5.6,4.4,5.2
rf_full,signo_zodiacal_leo,57,0.5,0.45999999999999996,0.4588383838383838,0.38,0.4128261831048209,0.43100000000000005,0.5431850957779749,3.8,4.6,5.4,6.2
rf_full,signo_zodiacal_leo,58,0.5,0.53,0.5399999999999999,0.45999999999999996,0.4730124777183601,0.48999999999999994,0.5424759052437071,4.6,4.0,6.0,5.4
rf_full,signo_zodiacal_leo,59,0.5,0.55,0.524965034965035,0.47999999999999987,0.48364389233954447,0.624,0.6392863041671092,4.8,3.8,6.2,5.2
rf_full,signo_zodiacal_leo,60,0.5,0.51,0.5079365079365079,0.4,0.4382574082264485,0.48200000000000004,0.5441224053724054,4.0,3.8,6.2,6.0
rf_full,signo_zodiacal_leo,61,0.5,0.47000000000000003,0.46551226551226554,0.36000000000000004,0.4000368568480024,0.521,0.5571800574726271,3.6,4.2,5.8,6.4
rf_full,signo_zodiacal_leo,62,0.5,0.5200000000000001,0.5311111111111111,0.54,0.5141520467836258,0.505,0.5730872106050124,5.4,5.0,5.0,4.6
rf_full,signo_zodiacal_leo,63,0.5,0.45999999999999996,0.4432539682539682,0.42000000000000004,0.4245442036463708,0.42000000000000004,0.4720087385954258,4.2,5.0,5.0,5.8
rf_full,signo_zodiacal_leo,64,0.5,0.5599999999999999,0.5526307026307027,0.62,0.5774980347870373,0.5950000000000001,0.6666297107605157,6.2,5.0,5.0,3.8
rf_full,signo_zodiacal_leo,65,0.5,0.45,0.4533333333333333,0.4800000000000001,0.4608888888888889,0.48199999999999993,0.5504131701631702,4.8,5.8,4.2,5.2
rf_full,signo_zodiacal_leo,66,0.5,0.5700000000000001,0.5786879786879787,0.5399999999999999,0.5505759283118282,0.653,0.6803524710583534,5.4,4.0,6.0,4.6
rf_full,signo_zodiacal_leo,67,0.5,0.54,0.5423076923076924,0.52,0.5218252317222569,0.587,0.6474148020881767,5.2,4.4,5.6,4.8
rf_full,signo_zodiacal_leo,68,0.5,0.55,0.5444837515425751,0.6599999999999999,0.5903105590062112,0.586,0.6078501857619505,6.6,5.6,4.4,3.4
rf_full,signo_zodiacal_leo,69,0.5,0.5900000000000001,0.621948051948052,0.52,0.5543570155334862,0.619,0.6681673132509045,5.2,3.4,6.6,4.8
rf_full,signo_zodiacal_leo,70,0.5,0.49000000000000005,0.49333333333333335,0.54,0.5051818181818182,0.43499999999999994,0.5319669682742438,5.4,5.6,4.4,4.6
rf_full,signo_zodiacal_leo,71,0.5,0.41000000000000003,0.3928571428571429,0.42000000000000004,0.3965561497326203,0.43,0.5268505948815546,4.2,6.0,4.0,5.8
rf_full,signo_zodiacal_leo,72,0.5,0.52,0.5084304584304584,0.5599999999999999,0.5300623099250101,0.528,0.5953637406625022,5.6,5.2,4.8,4.4
rf_full,signo_zodiacal_leo,73,0.5,0.30999999999999994,0.2583333333333333,0.18,0.2056808688387636,0.292,0.42331028491632205,1.8,5.6,4.4,8.2
rf_full,signo_zodiacal_leo,74,0.5,0.5599999999999999,0.5563636363636364,0.5800000000000001,0.5655988455988457,0.5750000000000001,0.600140292885649,5.8,4.6,5.4,4.2
rf_full,signo_zodiacal_leo,75,0.5,0.5,0.5254273504273504,0.5199999999999999,0.5189538404641378,0.483,0.5212898772194439,5.2,5.2,4.8,4.8
rf_full,signo_zodiacal_leo,76,0.5,0.5800000000000001,0.6542857142857142,0.5,0.535516248457425,0.514,0.5930904754859864,5.0,3.4,6.6,5.0
rf_full,signo_zodiacal_leo,77,0.5,0.52,0.5233766233766234,0.5399999999999999,0.5233792067551658,0.507,0.5432349502922259,5.4,5.0,5.0,4.6
rf_full,signo_zodiacal_leo,78,0.5,0.43,0.44131701631701636,0.4,0.4124160037775598,0.368,0.4932381728178942,4.0,5.4,4.6,6.0
rf_full,signo_zodiacal_leo,79,0.5,0.51,0.5181240981240982,0.5,0.5046621902349456,0.5429999999999999,0.5760301261346154,5.0,4.8,5.2,5.0
rf_full,signo_zodiacal_leo,80,0.5,0.5900000000000001,0.6089743589743589,0.5399999999999999,0.5576900720762613,0.601,0.6495527586448638,5.4,3.6,6.4,4.6
rf_full,signo_zodiacal_leo,81,0.5,0.4600000000000001,0.4523809523809524,0.38,0.41152390780873754,0.434,0.5351464318275463,3.8,4.6,5.4,6.2
rf_full,signo_zodiacal_leo,82,0.5,0.54,0.5402020202020202,0.6,0.5656358287021902,0.5660000000000001,0.6046752142766074,6.0,5.2,4.8,4.0
rf_full,signo_zodiacal_leo,83,0.5,0.53,0.5540909090909091,0.44000000000000006,0.47555555555555545,0.611,0.658293271056429,4.4,3.8,6.2,5.6
rf_full,signo_zodiacal_leo,84,0.5,0.51,0.4966666666666667,0.45999999999999996,0.4694949494949495,0.476,0.5542741702741703,4.6,4.4,5.6,5.4
rf_full,signo_zodiacal_leo,85,0.5,0.43000000000000005,0.41820346320346313,0.38,0.39623175586023884,0.38299999999999995,0.48294763423710785,3.8,5.2,4.8,6.2
rf_full,signo_zodiacal_leo,86,0.5,0.61,0.6461538461538462,0.6,0.6004830917874396,0.551,0.6314911122589141,6.0,3.8,6.2,4.0
rf_full,signo_zodiacal_leo,87,0.5,0.48,0.4883333333333333,0.48,0.48202020202020207,0.485,0.5305301975286495,4.8,5.2,4.8,5.2
rf_full,signo_zodiacal_leo,88,0.5,0.51,0.5111111111111111,0.45999999999999996,0.471496924128503,0.5900000000000001,0.62147419797265,4.6,4.4,5.6,5.4
rf_full,signo_zodiacal_leo,89,0.5,0.51,0.5075757575757576,0.6,0.5487012987012987,0.496,0.5549177935927162,6.0,5.8,4.2,4.0
rf_full,signo_zodiacal_leo,90,0.5,0.52,0.5406060606060606,0.62,0.5702424242424242,0.469,0.5445791620660041,6.2,5.8,4.2,3.8
rf_full,signo_zodiacal_leo,91,0.5,0.43,0.44237762237762246,0.48,0.45933747412008274,0.45500000000000007,0.578514487576407,4.8,6.2,3.8,5.2
rf_full,signo_zodiacal_leo,92,0.5,0.5,0.5059163059163059,0.5800000000000001,0.531514684146263,0.569,0.597512060007416,5.8,5.8,4.2,4.2
rf_full,signo_zodiacal_leo,93,0.5,0.51,0.5083694083694084,0.54,0.5159905110369507,0.48100000000000004,0.5961682423183972,5.4,5.2,4.8,4.6
rf_full,signo_zodiacal_leo,94,0.5,0.52,0.5080570409982175,0.54,0.5107407407407407,0.5810000000000001,0.6275428635691794,5.4,5.0,5.0,4.6
rf_full,signo_zodiacal_leo,95,0.5,0.47000000000000003,0.4966666666666667,0.42000000000000004,0.4383959899749373,0.513,0.5823239774501384,4.2,4.8,5.2,5.8
rf_full,signo_zodiacal_leo,96,0.5,0.45,0.45404040404040397,0.54,0.4886727307779939,0.43499999999999994,0.5268149628149629,5.4,6.4,3.6,4.6
rf_full,signo_zodiacal_leo,97,0.5,0.61,0.5973443223443223,0.64,0.608029140509959,0.619,0.6478303891670765,6.4,4.2,5.8,3.6
rf_full,signo_zodiacal_leo,98,0.5,0.5,0.5069347319347319,0.52,0.5078863165819688,0.526,0.5611067702507331,5.2,5.2,4.8,4.8
rf_full,signo_zodiacal_leo,99,0.5,0.55,0.5785714285714285,0.48,0.5081232492997199,0.6020000000000001,0.6844168604872939,4.8,3.8,6.2,5.2
rf_full,signo_zodiacal_leo,100,0.5,0.5399999999999999,0.5416666666666667,0.5799999999999998,0.5503496503496503,0.499,0.5668737747460658,5.8,5.0,5.0,4.2
rf_full,signo_zodiacal_leo,101,0.5,0.6,0.6511111111111111,0.6,0.6016734143049932,0.599,0.6481864230540701,6.0,4.0,6.0,4.0
rf_full,signo_zodiacal_leo,102,0.5,0.51,0.5133766233766234,0.5200000000000001,0.5023124522536287,0.503,0.5439790574922154,5.2,5.0,5.0,4.8
rf_full,signo_zodiacal_leo,103,0.5,0.5200000000000001,0.5308358308358309,0.52,0.5200193578575595,0.509,0.5594512513630161,5.2,4.8,5.2,4.8
rf_full,signo_zodiacal_leo,104,0.5,0.4600000000000001,0.44420024420024423,0.42000000000000004,0.4263830932830798,0.48599999999999993,0.5780863184802814,4.2,5.0,5.0,5.8
rf_full,signo_zodiacal_leo,105,0.5,0.45,0.44444444444444436,0.31999999999999995,0.36491228070175435,0.42699999999999994,0.5610618487120034,3.2,4.2,5.8,6.8
rf_full,signo_zodiacal_leo,106,0.5,0.43,0.4278571428571428,0.38,0.39986928104575165,0.43500000000000005,0.5168486344237119,3.8,5.2,4.8,6.2
rf_full,signo_zodiacal_leo,107,0.5,0.45000000000000007,0.4466666666666666,0.45999999999999996,0.4526817042606517,0.458,0.5148450736569932,4.6,5.6,4.4,5.4
rf_full,signo_zodiacal_leo,108,0.5,0.52,0.5166233766233765,0.45999999999999996,0.48082633053221285,0.5120000000000001,0.5517453169465554,4.6,4.2,5.8,5.4
rf_full,signo_zodiacal_leo,109,0.5,0.52,0.5236940836940838,0.44000000000000006,0.46908447589562136,0.5680000000000001,0.6035831827271455,4.4,4.0,6.0,5.6
rf_full,signo_zodiacal_leo,110,0.5,0.5599999999999999,0.553030303030303,0.5,0.5198412698412699,0.5840000000000001,0.6293173095394458,5.0,3.8,6.2,5.0
rf_full,signo_zodiacal_leo,111,0.5,0.5800000000000001,0.6131313131313132,0.6,0.5936934728124659,0.5319999999999999,0.5952582760376879,6.0,4.4,5.6,4.0
rf_full,signo_zodiacal_leo,112,0.5,0.48999999999999994,0.49435897435897436,0.4999999999999999,0.48946640316205536,0.45999999999999996,0.549818147366909,5.0,5.2,4.8,5.0
rf_full,signo_zodiacal_leo,113,0.5,0.48,0.4583333333333333,0.44000000000000006,0.44520202020202027,0.47800000000000004,0.5373838520440688,4.4,4.8,5.2,5.6
rf_full,signo_zodiacal_leo,114,0.5,0.49000000000000005,0.4733044733044733,0.44000000000000006,0.45349157206742347,0.506,0.5668877876509455,4.4,4.6,5.4,5.6
rf_full,signo_zodiacal_leo,115,0.5,0.5900000000000001,0.62,0.4999999999999999,0.5406060606060606,0.67,0.7257932165873343,5.0,3.2,6.8,5.0
