modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
rf_full,signo_zodiacal_libra,1,0.5,0.43,0.42753246753246754,0.42000000000000004,0.4210644257703081,0.40599999999999997,0.4839203235704783,4.2,5.6,4.4,5.8
rf_full,signo_zodiacal_libra,2,0.5,0.42000000000000004,0.4333333333333333,0.45999999999999996,0.4454545454545455,0.45,0.568579893360853,4.6,6.2,3.8,5.4
rf_full,signo_zodiacal_libra,3,0.5,0.47000000000000003,0.4666666666666666,0.38,0.41871345029239765,0.492,0.5529316953256582,3.8,4.4,5.6,6.2
rf_full,signo_zodiacal_libra,4,0.5,0.45,0.4697802197802198,0.44000000000000006,0.44316567206592783,0.43499999999999994,0.5160260870880066,4.4,5.4,4.6,5.6
rf_full,signo_zodiacal_libra,5,0.5,0.5399999999999999,0.5444949494949494,0.54,0.5395640616693249,0.5319999999999999,0.5832594715226294,5.4,4.6,5.4,4.6
rf_full,signo_zodiacal_libra,6,0.5,0.45,0.38952020202020204,0.44000000000000006,0.4056294582610372,0.426,0.4967642086156019,4.4,5.4,4.6,5.6
rf_full,signo_zodiacal_libra,7,0.5,0.39,0.38118437118437115,0.4,0.3853417197958859,0.37299999999999994,0.4901366346072228,4.0,6.2,3.8,6.0
rf_full,signo_zodiacal_libra,8,0.5,0.48,0.4761616161616161,0.5199999999999999,0.49421052631578943,0.502,0.569017247028857,5.2,5.6,4.4,4.8
rf_full,signo_zodiacal_libra,9,0.5,0.43,0.43272727272727274,0.4600000000000001,0.4452813852813852,0.46499999999999997,0.5771391941391941,4.6,6.0,4.0,5.4
rf_full,signo_zodiacal_libra,10,0.5,0.5700000000000001,0.5602597402597402,0.5599999999999999,0.5572549019607843,0.574,0.5828189345054671,5.6,4.2,5.8,4.4
rf_full,signo_zodiacal_libra,11,0.5,0.48999999999999994,0.49539682539682534,0.52,0.49828989586265127,0.41800000000000004,0.49557270653323277,5.2,5.4,4.6,4.8
rf_full,signo_zodiacal_libra,12,0.5,0.52,0.5113636363636364,0.5399999999999999,0.5233766233766233,0.57,0.6313864911318471,5.4,5.0,5.0,4.6
rf_full,signo_zodiacal_libra,13,0.5,0.48,0.48409090909090907,0.42000000000000004,0.44411027568922307,0.429,0.5376486312105507,4.2,4.6,5.4,5.8
rf_full,signo_zodiacal_libra,14,0.5,0.6199999999999999,0.6274242424242423,0.62,0.5952530802530802,0.7060000000000001,0.7074787887551045,6.2,3.8,6.2,3.8
rf_full,signo_zodiacal_libra,15,0.5,0.54,0.535011655011655,0.6,0.5624234499291708,0.536,0.5810521788153367,6.0,5.2,4.8,4.0
rf_full,signo_zodiacal_libra,16,0.5,0.56,0.5688034188034188,0.54,0.5492245105517416,0.5810000000000001,0.6234193378001427,5.4,4.2,5.8,4.6
rf_full,signo_zodiacal_libra,17,0.5,0.55,0.550897990897991,0.6,0.5647969540218833,0.5489999999999999,0.6109945040339777,6.0,5.0,5.0,4.0
rf_full,signo_zodiacal_libra,18,0.5,0.5599999999999999,0.566025641025641,0.54,0.543256940110487,0.5559999999999998,0.6199839984576827,5.4,4.2,5.8,4.6
rf_full,signo_zodiacal_libra,19,0.5,0.5900000000000001,0.5857142857142856,0.54,0.560061919504644,0.6180000000000001,0.6274062969194547,5.4,3.6,6.4,4.6
rf_full,signo_zodiacal_libra,20,0.5,0.43999999999999995,0.4095238095238095,0.27999999999999997,0.3100713012477718,0.382,0.4713851283735185,2.8,4.0,6.0,7.2
rf_full,signo_zodiacal_libra,21,0.5,0.41999999999999993,0.4200976800976801,0.36,0.37861802844707676,0.37300000000000005,0.4688286544037318,3.6,5.2,4.8,6.4
rf_full,signo_zodiacal_libra,22,0.5,0.62,0.6227272727272727,0.5599999999999999,0.5837535014005601,0.6289999999999999,0.6228781131149551,5.6,3.2,6.8,4.4
rf_full,signo_zodiacal_libra,23,0.5,0.47000000000000003,0.47424242424242424,0.48,0.47562087035771244,0.518,0.590091719941565,4.8,5.4,4.6,5.2
rf_full,signo_zodiacal_libra,24,0.5,0.5700000000000001,0.5933333333333333,0.5,0.5418713450292397,0.5439999999999999,0.6026800899478918,5.0,3.6,6.4,5.0
rf_full,signo_zodiacal_libra,25,0.5,0.48,0.47853535353535354,0.4600000000000001,0.4660135186450976,0.40199999999999997,0.48594445836241507,4.6,5.0,5.0,5.4
rf_full,signo_zodiacal_libra,26,0.5,0.51,0.5123076923076924,0.48,0.49101449275362324,0.575,0.5905120865546563,4.8,4.6,5.4,5.2
rf_full,signo_zodiacal_libra,27,0.5,0.52,0.5224242424242423,0.52,0.5185813017391964,0.516,0.5590458224266273,5.2,4.8,5.2,4.8
rf_full,signo_zodiacal_libra,28,0.5,0.5599999999999999,0.5789682539682539,0.48,0.5229102167182662,0.602,0.6372558972675072,4.8,3.6,6.4,5.2
rf_full,signo_zodiacal_libra,29,0.5,0.5,0.5108333333333334,0.5999999999999999,0.5316923076923077,0.513,0.5917947612243278,6.0,6.0,4.0,4.0
rf_full,signo_zodiacal_libra,30,0.5,0.49000000000000005,0.4871128871128871,0.48,0.4786954598773147,0.45600000000000007,0.49025002835142156,4.8,5.0,5.0,5.2
rf_full,signo_zodiacal_libra,31,0.5,0.42000000000000004,0.4103119103119103,0.4,0.40153239022535026,0.37,0.5077841357988416,4.0,5.6,4.4,6.0
rf_full,signo_zodiacal_libra,32,0.5,0.54,0.5368686868686868,0.54,0.5357104883420674,0.516,0.5550290922527764,5.4,4.6,5.4,4.6
rf_full,signo_zodiacal_libra,33,0.5,0.51,0.51011655011655,0.6,0.5454175572711042,0.45499999999999996,0.4927713660608397,6.0,5.8,4.2,4.0
rf_full,signo_zodiacal_libra,34,0.5,0.5,0.5111904761904762,0.45999999999999996,0.4797204240547893,0.507,0.558803483066641,4.6,4.6,5.4,5.4
rf_full,signo_zodiacal_libra,35,0.5,0.5200000000000001,0.5284188034188034,0.5,0.5101957793033307,0.5430000000000001,0.5880972432280482,5.0,4.6,5.4,5.0
rf_full,signo_zodiacal_libra,36,0.5,0.5,0.4970818070818071,0.5599999999999999,0.5180806422007123,0.46799999999999997,0.5580014254751098,5.6,5.6,4.4,4.4
rf_full,signo_zodiacal_libra,37,0.5,0.54,0.5416666666666666,0.5,0.5192982456140351,0.585,0.6525690600249424,5.0,4.2,5.8,5.0
rf_full,signo_zodiacal_libra,38,0.5,0.45999999999999996,0.44666666666666666,0.42000000000000004,0.427979797979798,0.5289999999999999,0.5467908529379117,4.2,5.0,5.0,5.8
rf_full,signo_zodiacal_libra,39,0.5,0.55,0.5535353535353535,0.52,0.5347535505430242,0.5810000000000001,0.6340133740528476,5.2,4.2,5.8,4.8
rf_full,signo_zodiacal_libra,40,0.5,0.57,0.5515928515928515,0.6,0.5703137950277538,0.572,0.6321703198762023,6.0,4.6,5.4,4.0
rf_full,signo_zodiacal_libra,41,0.5,0.54,0.5416666666666667,0.5599999999999999,0.5391414141414141,0.5599999999999999,0.5901105473473894,5.6,4.8,5.2,4.4
rf_full,signo_zodiacal_libra,42,0.5,0.58,0.58992784992785,0.5599999999999999,0.5704290137107474,0.6380000000000001,0.6683254496621369,5.6,4.0,6.0,4.4
rf_full,signo_zodiacal_libra,43,0.5,0.5199999999999999,0.5280303030303031,0.56,0.5405483405483406,0.45099999999999996,0.4957410748865857,5.6,5.2,4.8,4.4
rf_full,signo_zodiacal_libra,44,0.5,0.51,0.5097125097125097,0.5,0.5000181613453925,0.509,0.5357381307203288,5.0,4.8,5.2,5.0
rf_full,signo_zodiacal_libra,45,0.5,0.35,0.376025641025641,0.45999999999999996,0.40840579710144925,0.311,0.43789843919410487,4.6,7.6,2.4,5.4
rf_full,signo_zodiacal_libra,46,0.5,0.53,0.5359090909090909,0.48,0.5041269841269841,0.5439999999999999,0.5929559955868006,4.8,4.2,5.8,5.2
rf_full,signo_zodiacal_libra,47,0.5,0.37,0.3661111111111111,0.42000000000000004,0.3845761256287572,0.32799999999999996,0.45864389695272045,4.2,6.8,3.2,5.8
rf_full,signo_zodiacal_libra,48,0.5,0.53,0.5238539238539238,0.58,0.5488067996077148,0.5650000000000001,0.5957203031746376,5.8,5.2,4.8,4.2
rf_full,signo_zodiacal_libra,49,0.5,0.5000000000000001,0.5185281385281385,0.45999999999999996,0.4702446311858076,0.505,0.5636440251355113,4.6,4.6,5.4,5.4
rf_full,signo_zodiacal_libra,50,0.5,0.53,0.5255555555555557,0.5999999999999999,0.5575702101102559,0.5130000000000001,0.5577496957806556,6.0,5.4,4.6,4.0
rf_full,signo_zodiacal_libra,51,0.5,0.4600000000000001,0.45860139860139854,0.45999999999999996,0.45197722567287785,0.421,0.5420738830313134,4.6,5.4,4.6,5.4
rf_full,signo_zodiacal_libra,52,0.5,0.53,0.5292929292929293,0.54,0.5318143844459634,0.522,0.5737241153239605,5.4,4.8,5.2,4.6
rf_full,signo_zodiacal_libra,53,0.5,0.52,0.4993506493506493,0.5,0.49598506069094306,0.516,0.6109641867420506,5.0,4.6,5.4,5.0
rf_full,signo_zodiacal_libra,54,0.5,0.42000000000000004,0.42333333333333334,0.4600000000000001,0.44043290043290045,0.426,0.5138950612510984,4.6,6.2,3.8,5.4
rf_full,signo_zodiacal_libra,55,0.5,0.51,0.5,0.5,0.4980861244019139,0.506,0.575192520070229,5.0,4.8,5.2,5.0
rf_full,signo_zodiacal_libra,56,0.5,0.39,0.3878632478632479,0.42000000000000004,0.394558352402746,0.316,0.44652813242828726,4.2,6.4,3.6,5.8
rf_full,signo_zodiacal_libra,57,0.5,0.4600000000000001,0.4889743589743589,0.45999999999999996,0.449886673204751,0.487,0.5820309006439037,4.6,5.4,4.6,5.4
rf_full,signo_zodiacal_libra,58,0.5,0.43,0.4307070707070707,0.38,0.3918295739348371,0.42699999999999994,0.5065980218611797,3.8,5.2,4.8,6.2
rf_full,signo_zodiacal_libra,59,0.5,0.51,0.5211399711399711,0.4800000000000001,0.4942096774914112,0.564,0.6037093431164638,4.8,4.6,5.4,5.2
rf_full,signo_zodiacal_libra,60,0.5,0.47000000000000003,0.469004329004329,0.5199999999999999,0.4827152194211018,0.46699999999999997,0.5364537417347014,5.2,5.8,4.2,4.8
rf_full,signo_zodiacal_libra,61,0.5,0.57,0.5967521367521368,0.5599999999999999,0.5617321961029054,0.563,0.6326378806951563,5.6,4.2,5.8,4.4
rf_full,signo_zodiacal_libra,62,0.5,0.4800000000000001,0.44857142857142857,0.34,0.37732620320855614,0.4880000000000001,0.5489401333960158,3.4,3.8,6.2,6.6
rf_full,signo_zodiacal_libra,63,0.5,0.58,0.5814102564102563,0.58,0.5745371333472019,0.602,0.6601699499331077,5.8,4.2,5.8,4.2
rf_full,signo_zodiacal_libra,64,0.5,0.55,0.5596825396825397,0.48,0.513498452012384,0.528,0.5539997502497502,4.8,3.8,6.2,5.2
rf_full,signo_zodiacal_libra,65,0.5,0.67,0.7354545454545455,0.62,0.6226839826839827,0.681,0.7550411265720863,6.2,2.8,7.2,3.8
rf_full,signo_zodiacal_libra,66,0.5,0.45999999999999996,0.45,0.44000000000000006,0.43805916305916304,0.483,0.5352956195850933,4.4,5.2,4.8,5.6
rf_full,signo_zodiacal_libra,67,0.5,0.5599999999999999,0.5653968253968253,0.5199999999999999,0.5393808049535604,0.5529999999999999,0.6303131780500202,5.2,4.0,6.0,4.8
rf_full,signo_zodiacal_libra,68,0.5,0.53,0.5423076923076924,0.54,0.5316205533596838,0.526,0.5520243618610492,5.4,4.8,5.2,4.6
rf_full,signo_zodiacal_libra,69,0.5,0.5700000000000001,0.58,0.5199999999999999,0.537979797979798,0.585,0.6250663031498945,5.2,3.8,6.2,4.8
rf_full,signo_zodiacal_libra,70,0.5,0.5599999999999999,0.5688156288156289,0.6200000000000001,0.5829248032893207,0.569,0.607606510706356,6.2,5.0,5.0,3.8
rf_full,signo_zodiacal_libra,71,0.5,0.41,0.4023809523809524,0.4,0.39707602339181286,0.382,0.4718360795551198,4.0,5.8,4.2,6.0
rf_full,signo_zodiacal_libra,72,0.5,0.58,0.5787878787878789,0.6,0.5857674489253436,0.605,0.6291536867844918,6.0,4.4,5.6,4.0
rf_full,signo_zodiacal_libra,73,0.5,0.47000000000000003,0.48722222222222217,0.5,0.47832163742690065,0.45499999999999996,0.5386038155171282,5.0,5.6,4.4,5.0
rf_full,signo_zodiacal_libra,74,0.5,0.45,0.43357753357753354,0.42000000000000004,0.4182374967877728,0.39299999999999996,0.4621892758084708,4.2,5.2,4.8,5.8
rf_full,signo_zodiacal_libra,75,0.5,0.6,0.6034632034632035,0.5800000000000001,0.5853238265002971,0.579,0.6146234957852604,5.8,3.8,6.2,4.2
rf_full,signo_zodiacal_libra,76,0.5,0.45999999999999996,0.457979797979798,0.5199999999999999,0.4827450444292549,0.458,0.5253654878832897,5.2,6.0,4.0,4.8
rf_full,signo_zodiacal_libra,77,0.5,0.5900000000000001,0.611111111111111,0.6599999999999999,0.6084612930928721,0.619,0.6484170720919948,6.6,4.8,5.2,3.4
rf_full,signo_zodiacal_libra,78,0.5,0.51,0.5111111111111111,0.38,0.427485380116959,0.48,0.5369584596689859,3.8,3.6,6.4,6.2
rf_full,signo_zodiacal_libra,79,0.5,0.54,0.5347222222222222,0.52,0.5136937366039532,0.532,0.5777712865050326,5.2,4.4,5.6,4.8
rf_full,signo_zodiacal_libra,80,0.5,0.36,0.3532323232323233,0.33999999999999997,0.3387286397812713,0.316,0.44002016859988996,3.4,6.2,3.8,6.6
rf_full,signo_zodiacal_libra,81,0.5,0.57,0.5585470085470086,0.62,0.5822943392737443,0.572,0.6046156223377586,6.2,4.8,5.2,3.8
rf_full,signo_zodiacal_libra,82,0.5,0.6,0.6204822954822954,0.5599999999999999,0.5832607947832069,0.568,0.6445486288737062,5.6,3.6,6.4,4.4
rf_full,signo_zodiacal_libra,83,0.5,0.44000000000000006,0.44499999999999995,0.4,0.4205847953216374,0.38100000000000006,0.535350785265646,4.0,5.2,4.8,6.0
rf_full,signo_zodiacal_libra,84,0.5,0.5900000000000001,0.5892156862745097,0.7,0.6303030303030303,0.632,0.6586474148486532,7.0,5.2,4.8,3.0
rf_full,signo_zodiacal_libra,85,0.5,0.5,0.5007575757575757,0.48,0.4885547201336675,0.506,0.591469057258531,4.8,4.8,5.2,5.2
rf_full,signo_zodiacal_libra,86,0.5,0.6399999999999999,0.6321212121212121,0.6799999999999999,0.6532421964000912,0.6479999999999999,0.677323952792993,6.8,4.0,6.0,3.2
rf_full,signo_zodiacal_libra,87,0.5,0.42000000000000004,0.40166666666666667,0.34,0.3655555555555555,0.45199999999999996,0.5078784456857212,3.4,5.0,5.0,6.6
rf_full,signo_zodiacal_libra,88,0.5,0.51,0.5145104895104895,0.5599999999999999,0.5324173411129933,0.525,0.5860563976786887,5.6,5.4,4.6,4.4
rf_full,signo_zodiacal_libra,89,0.5,0.52,0.5194805194805194,0.5599999999999999,0.5219047619047619,0.5389999999999999,0.5525555600230523,5.6,5.2,4.8,4.4
rf_full,signo_zodiacal_libra,90,0.5,0.4600000000000001,0.4722077922077922,0.42000000000000004,0.4396638655462185,0.441,0.49217195712783945,4.2,5.0,5.0,5.8
rf_full,signo_zodiacal_libra,91,0.5,0.49000000000000005,0.4976190476190476,0.4800000000000001,0.48359133126934983,0.404,0.49549672309115034,4.8,5.0,5.0,5.2
rf_full,signo_zodiacal_libra,92,0.5,0.51,0.5076923076923077,0.5199999999999999,0.5028794813119756,0.519,0.6168521511168571,5.2,5.0,5.0,4.8
rf_full,signo_zodiacal_libra,93,0.5,0.5,0.4740981240981242,0.52,0.49086921850079746,0.492,0.5245871356885289,5.2,5.2,4.8,4.8
rf_full,signo_zodiacal_libra,94,0.5,0.49000000000000005,0.498021978021978,0.36,0.4049360613810742,0.446,0.5401130258630259,3.6,3.8,6.2,6.4
rf_full,signo_zodiacal_libra,95,0.5,0.41,0.39666666666666667,0.38,0.3876023391812865,0.402,0.5171577044386642,3.8,5.6,4.4,6.2
rf_full,signo_zodiacal_libra,96,0.5,0.5800000000000001,0.6120634920634921,0.5,0.5443808049535603,0.601,0.6294946622005446,5.0,3.4,6.6,5.0
rf_full,signo_zodiacal_libra,97,0.5,0.63,0.6384126984126984,0.6,0.6136279200675486,0.6860000000000002,0.7040033202092026,6.0,3.4,6.6,4.0
rf_full,signo_zodiacal_libra,98,0.5,0.56,0.5944877344877344,0.43999999999999995,0.4953331859059412,0.538,0.5629140216508637,4.4,3.2,6.8,5.6
rf_full,signo_zodiacal_libra,99,0.5,0.43000000000000005,0.440932400932401,0.5,0.4632293777923069,0.4109999999999999,0.502016695722578,5.0,6.4,3.6,5.0
rf_full,signo_zodiacal_libra,100,0.5,0.48,0.48,0.5399999999999999,0.5061904761904762,0.45,0.5169335768290877,5.4,5.8,4.2,4.6
rf_full,signo_zodiacal_libra,101,0.5,0.51,0.510909090909091,0.52,0.5136507936507936,0.526,0.5965231527158772,5.2,5.0,5.0,4.8
rf_full,signo_zodiacal_libra,102,0.5,0.53,0.5174242424242423,0.52,0.5152958152958153,0.507,0.5861777208000117,5.2,4.6,5.4,4.8
rf_full,signo_zodiacal_libra,103,0.5,0.63,0.6828571428571428,0.5599999999999999,0.5993137254901961,0.6439999999999999,0.701036996886842,5.6,3.0,7.0,4.4
rf_full,signo_zodiacal_libra,104,0.5,0.45999999999999996,0.4633333333333334,0.54,0.4966666666666667,0.399,0.4782389369316614,5.4,6.2,3.8,4.6
rf_full,signo_zodiacal_libra,105,0.5,0.43,0.44401709401709405,0.42000000000000004,0.4240655987795575,0.48200000000000004,0.5523902476092879,4.2,5.6,4.4,5.8
rf_full,signo_zodiacal_libra,106,0.5,0.53,0.5583333333333333,0.48,0.5048245614035087,0.506,0.586364885114885,4.8,4.2,5.8,5.2
rf_full,signo_zodiacal_libra,107,0.5,0.4800000000000001,0.4479797979797979,0.4,0.4159565580618212,0.44699999999999995,0.551005385567305,4.0,4.4,5.6,6.0
rf_full,signo_zodiacal_libra,108,0.5,0.48,0.4809523809523809,0.4,0.4322755417956656,0.508,0.5532298416238045,4.0,4.4,5.6,6.0
rf_full,signo_zodiacal_libra,109,0.5,0.36,0.3448701298701299,0.33999999999999997,0.33900687547746367,0.294,0.4165708407519553,3.4,6.2,3.8,6.6
rf_full,signo_zodiacal_libra,110,0.5,0.53,0.512063492063492,0.47999999999999987,0.48359649122807014,0.5449999999999999,0.5784592074592074,4.8,4.2,5.8,5.2
rf_full,signo_zodiacal_libra,111,0.5,0.56,0.5632478632478632,0.5199999999999999,0.5338134338403554,0.65,0.6912135527870822,5.2,4.0,6.0,4.8
rf_full,signo_zodiacal_libra,112,0.5,0.4800000000000001,0.478021978021978,0.4600000000000001,0.4502607367057495,0.5189999999999999,0.5801796695736324,4.6,5.0,5.0,5.4
rf_full,signo_zodiacal_libra,113,0.5,0.6,0.6056721056721056,0.5799999999999998,0.5847090552468127,0.6,0.603215512815358,5.8,3.8,6.2,4.2
rf_full,signo_zodiacal_libra,114,0.5,0.5599999999999999,0.5561111111111112,0.4,0.4534592892487629,0.5559999999999998,0.5999167586799166,4.0,2.8,7.2,6.0
rf_full,signo_zodiacal_libra,115,0.5,0.44000000000000006,0.4411111111111111,0.4,0.4143301435406698,0.44799999999999995,0.5121165603402446,4.0,5.2,4.8,6.0
