modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
rf_full,signo_zodiacal_tauro,1,0.5,0.6,0.660952380952381,0.5,0.5548752228163993,0.623,0.6595585966321259,5.0,3.0,7.0,5.0
rf_full,signo_zodiacal_tauro,2,0.5,0.6,0.6146520146520146,0.54,0.5630576868428532,0.599,0.6117855010486588,5.4,3.4,6.6,4.6
rf_full,signo_zodiacal_tauro,3,0.5,0.55,0.5548229548229549,0.4800000000000001,0.4981308770647847,0.5900000000000001,0.6354889740462497,4.8,3.8,6.2,5.2
rf_full,signo_zodiacal_tauro,4,0.5,0.48,0.4641880341880342,0.5199999999999999,0.4885084252132307,0.48,0.5455974113605693,5.2,5.6,4.4,4.8
rf_full,signo_zodiacal_tauro,5,0.5,0.5,0.5105494505494506,0.48,0.48827507814720084,0.462,0.5686153132213503,4.8,4.8,5.2,5.2
rf_full,signo_zodiacal_tauro,6,0.5,0.49000000000000005,0.47329004329004326,0.44000000000000006,0.4464323911382735,0.5229999999999999,0.5923609891140851,4.4,4.6,5.4,5.6
rf_full,signo_zodiacal_tauro,7,0.5,0.53,0.5316666666666666,0.5599999999999999,0.5370909090909091,0.583,0.6013091979400029,5.6,5.0,5.0,4.4
rf_full,signo_zodiacal_tauro,8,0.5,0.37,0.3365873015873016,0.33999999999999997,0.3309886480908153,0.376,0.4645317902771463,3.4,6.0,4.0,6.6
rf_full,signo_zodiacal_tauro,9,0.5,0.53,0.5413203463203462,0.58,0.5553535353535354,0.594,0.6508307972557199,5.8,5.2,4.8,4.2
rf_full,signo_zodiacal_tauro,10,0.5,0.42000000000000004,0.4185281385281385,0.39999999999999997,0.40470927765045417,0.4370000000000001,0.5010791522718767,4.0,5.6,4.4,6.0
rf_full,signo_zodiacal_tauro,11,0.5,0.5199999999999999,0.5376623376623376,0.5,0.5097105508870214,0.5359999999999999,0.586775269879759,5.0,4.6,5.4,5.0
rf_full,signo_zodiacal_tauro,12,0.5,0.5599999999999999,0.5612698412698414,0.58,0.5640436128684885,0.6010000000000001,0.6295397723191841,5.8,4.6,5.4,4.2
rf_full,signo_zodiacal_tauro,13,0.5,0.48,0.48,0.42000000000000004,0.4472514619883041,0.539,0.5797222577044558,4.2,4.6,5.4,5.8
rf_full,signo_zodiacal_tauro,14,0.5,0.55,0.5501587301587301,0.52,0.5312580917534477,0.5069999999999999,0.536504263710146,5.2,4.2,5.8,4.8
rf_full,signo_zodiacal_tauro,15,0.5,0.44000000000000006,0.44000000000000006,0.42000000000000004,0.42947368421052634,0.442,0.5193984190044562,4.2,5.4,4.6,5.8
rf_full,signo_zodiacal_tauro,16,0.5,0.49000000000000005,0.47757575757575754,0.45999999999999996,0.4652380952380953,0.46499999999999997,0.5157074026764429,4.6,4.8,5.2,5.4
rf_full,signo_zodiacal_tauro,17,0.5,0.58,0.5817099567099566,0.6,0.5850459482038429,0.5870000000000001,0.6511387784901717,6.0,4.4,5.6,4.0
rf_full,signo_zodiacal_tauro,18,0.5,0.51,0.4682983682983683,0.5,0.47407451434911385,0.47999999999999987,0.5361854213897557,5.0,4.8,5.2,5.0
rf_full,signo_zodiacal_tauro,19,0.5,0.52,0.5123376623376623,0.52,0.5089635854341736,0.5309999999999999,0.5610140649683993,5.2,4.8,5.2,4.8
rf_full,signo_zodiacal_tauro,20,0.5,0.4,0.41348873348873355,0.44000000000000006,0.4246006320148196,0.362,0.4863680682063035,4.4,6.4,3.6,5.6
rf_full,signo_zodiacal_tauro,21,0.5,0.48,0.4673701298701299,0.48,0.4617108381814264,0.441,0.5309742700539914,4.8,5.2,4.8,5.2
rf_full,signo_zodiacal_tauro,22,0.5,0.5800000000000001,0.5765656565656565,0.6199999999999999,0.5896099222415011,0.623,0.6844185346816926,6.2,4.6,5.4,3.8
rf_full,signo_zodiacal_tauro,23,0.5,0.55,0.5383333333333333,0.52,0.518989898989899,0.6020000000000001,0.6641578672445545,5.2,4.2,5.8,4.8
rf_full,signo_zodiacal_tauro,24,0.5,0.58,0.6004761904761904,0.54,0.5626737967914439,0.5589999999999999,0.598042670349946,5.4,3.8,6.2,4.6
rf_full,signo_zodiacal_tauro,25,0.5,0.45,0.450909090909091,0.4,0.4199439775910364,0.41900000000000004,0.5105949434981942,4.0,5.0,5.0,6.0
rf_full,signo_zodiacal_tauro,26,0.5,0.5900000000000001,0.6011904761904762,0.6,0.5923945335710041,0.6599999999999999,0.6719507491992012,6.0,4.2,5.8,4.0
rf_full,signo_zodiacal_tauro,27,0.5,0.56,0.5963553113553114,0.48,0.5190296286325362,0.535,0.6166124310845673,4.8,3.6,6.4,5.2
rf_full,signo_zodiacal_tauro,28,0.5,0.6599999999999999,0.6954545454545453,0.68,0.6675324675324675,0.7219999999999999,0.7617239037192598,6.8,3.6,6.4,3.2
rf_full,signo_zodiacal_tauro,29,0.5,0.48,0.4828393828393828,0.44000000000000006,0.45209362921369917,0.46399999999999997,0.5132690273263029,4.4,4.8,5.2,5.6
rf_full,signo_zodiacal_tauro,30,0.5,0.44000000000000006,0.425,0.38,0.40058479532163743,0.399,0.4753691045796309,3.8,5.0,5.0,6.2
rf_full,signo_zodiacal_tauro,31,0.5,0.44000000000000006,0.4113986013986014,0.42000000000000004,0.4072049689440994,0.45599999999999996,0.5419348594302155,4.2,5.4,4.6,5.8
rf_full,signo_zodiacal_tauro,32,0.5,0.55,0.5533333333333335,0.5800000000000001,0.5512121212121212,0.5920000000000001,0.5851434562169856,5.8,4.8,5.2,4.2
rf_full,signo_zodiacal_tauro,33,0.5,0.4600000000000001,0.45479797979797976,0.44000000000000006,0.43778195488721805,0.41899999999999993,0.467460242372007,4.4,5.2,4.8,5.6
rf_full,signo_zodiacal_tauro,34,0.5,0.62,0.675,0.48,0.5523809523809524,0.6809999999999999,0.6958151723577419,4.8,2.4,7.6,5.2
rf_full,signo_zodiacal_tauro,35,0.5,0.5900000000000001,0.5926767676767677,0.5599999999999999,0.5740183792815372,0.5900000000000001,0.5908447196078774,5.6,3.8,6.2,4.4
rf_full,signo_zodiacal_tauro,36,0.5,0.5,0.4961965811965811,0.48,0.48411390795830156,0.475,0.5200065120637877,4.8,4.8,5.2,5.2
rf_full,signo_zodiacal_tauro,37,0.5,0.4999999999999999,0.4795238095238095,0.39999999999999997,0.43340729274165807,0.46399999999999997,0.5436147278074523,4.0,4.0,6.0,6.0
rf_full,signo_zodiacal_tauro,38,0.5,0.45,0.4317460317460317,0.42000000000000004,0.4200394033211371,0.395,0.497135626843057,4.2,5.2,4.8,5.8
rf_full,signo_zodiacal_tauro,39,0.5,0.51,0.5155555555555555,0.5399999999999999,0.5205061137692717,0.511,0.5470726573048553,5.4,5.2,4.8,4.6
rf_full,signo_zodiacal_tauro,40,0.5,0.45,0.4415306915306916,0.5,0.46430387563110675,0.42699999999999994,0.5164375357184954,5.0,6.0,4.0,5.0
rf_full,signo_zodiacal_tauro,41,0.5,0.42000000000000004,0.422020202020202,0.42000000000000004,0.4205012531328321,0.34900000000000003,0.4798429324373597,4.2,5.8,4.2,5.8
rf_full,signo_zodiacal_tauro,42,0.5,0.53,0.5257575757575758,0.5,0.5082251082251081,0.4870000000000001,0.55278723117268,5.0,4.4,5.6,5.0
rf_full,signo_zodiacal_tauro,43,0.5,0.47000000000000003,0.4633333333333334,0.48,0.4653333333333333,0.469,0.5404419381787803,4.8,5.4,4.6,5.2
rf_full,signo_zodiacal_tauro,44,0.5,0.39999999999999997,0.4036363636363637,0.45999999999999996,0.41500000000000004,0.406,0.4945996050732894,4.6,6.6,3.4,5.4
