modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
rf_full,signo_zodiacal_virgo,1,0.5,0.5900000000000001,0.5793240093240094,0.6799999999999999,0.6240843214756258,0.592,0.6391526055643701,6.8,5.0,5.0,3.2
rf_full,signo_zodiacal_virgo,2,0.5,0.5,0.39047619047619053,0.32,0.3496904024767802,0.516,0.5583416383238365,3.2,3.2,6.8,6.8
rf_full,signo_zodiacal_virgo,3,0.5,0.5700000000000001,0.5654578754578754,0.5800000000000001,0.5599408922989486,0.595,0.6302465492024315,5.8,4.4,5.6,4.2
rf_full,signo_zodiacal_virgo,4,0.5,0.58,0.5849206349206348,0.54,0.5543687650498796,0.549,0.6179316881948461,5.4,3.8,6.2,4.6
rf_full,signo_zodiacal_virgo,5,0.5,0.5,0.5145299145299145,0.4800000000000001,0.48022501906941273,0.47000000000000003,0.5465381662541106,4.8,4.8,5.2,5.2
rf_full,signo_zodiacal_virgo,6,0.5,0.43,0.4015873015873016,0.36000000000000004,0.3745707852518998,0.425,0.49549689405881353,3.6,5.0,5.0,6.4
rf_full,signo_zodiacal_virgo,7,0.5,0.52,0.5181684981684982,0.5,0.4978888630551035,0.47400000000000003,0.5279744680843752,5.0,4.6,5.4,5.0
rf_full,signo_zodiacal_virgo,8,0.5,0.48,0.47192307692307695,0.43999999999999995,0.4469565217391304,0.42099999999999993,0.4923851720175249,4.4,4.8,5.2,5.6
rf_full,signo_zodiacal_virgo,9,0.5,0.44000000000000006,0.43606060606060615,0.5,0.46328776486671225,0.4800000000000001,0.5740030433103188,5.0,6.2,3.8,5.0
rf_full,signo_zodiacal_virgo,10,0.5,0.51,0.5118070818070818,0.5199999999999999,0.5094203306452599,0.4790000000000001,0.5159098766730346,5.2,5.0,5.0,4.8
rf_full,signo_zodiacal_virgo,11,0.5,0.38999999999999996,0.3902564102564102,0.38,0.37857268335529204,0.399,0.5255906142361251,3.8,6.0,4.0,6.2
rf_full,signo_zodiacal_virgo,12,0.5,0.5900000000000001,0.6494949494949495,0.5599999999999999,0.5748120300751879,0.6139999999999999,0.6497535852520373,5.6,3.8,6.2,4.4
rf_full,signo_zodiacal_virgo,13,0.5,0.55,0.5491341991341991,0.56,0.5499618029029794,0.5730000000000001,0.6615365741070075,5.6,4.6,5.4,4.4
rf_full,signo_zodiacal_virgo,14,0.5,0.38,0.3686868686868686,0.33999999999999997,0.35254803675856305,0.343,0.45886942984775797,3.4,5.8,4.2,6.6
