,pos_rate_bootstrap,pos_rate_bootstrap,cv_accuracy,cv_accuracy,cv_precision,cv_precision,cv_recall,cv_recall,cv_f1,cv_f1,cv_roc_auc,cv_roc_auc,cv_pr_auc,cv_pr_auc,cv_tp_mean,cv_tp_mean,cv_fp_mean,cv_fp_mean,cv_tn_mean,cv_tn_mean,cv_fn_mean,cv_fn_mean
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
signo,,,,,,,,,,,,,,,,,,,,,,
signo_zodiacal_acuario,0.5,0.0,0.50234,0.060432015165091356,0.5018119530143059,0.06657771120281356,0.49368,0.08070864495666792,0.489335990832348,0.06808508607298257,0.5020640000000001,0.07646451168414133,0.5671719014569881,0.06006793195215165,4.9368,0.8070864495666796,4.89,0.8019890103645378,5.11,0.801989010364538,5.0632,0.8070864495666796
signo_zodiacal_aries,0.5,0.0,0.49816000000000005,0.06334223612847523,0.4979692675831221,0.07133070380561723,0.48619999999999997,0.08384999489139265,0.4835309353141119,0.07228409409799762,0.49900599999999995,0.0799412733095784,0.5661807780399856,0.0622777358577506,4.862,0.8384999489139267,4.8988000000000005,0.8190606086005617,5.1011999999999995,0.8190606086005617,5.138,0.8384999489139268
signo_zodiacal_cancer,0.5,0.0,0.49636,0.06094406252880615,0.4960649849823379,0.06855178621101657,0.48484,0.0797275822708145,0.4819700537948763,0.06919442490792484,0.496802,0.07666724547717964,0.56379274536901,0.058370713790091344,4.8484,0.7972758227081456,4.9212,0.8112130998614197,5.0788,0.8112130998614197,5.1516,0.7972758227081456
signo_zodiacal_capricornio,0.5,0.0,0.5002800000000001,0.06274548263566358,0.4999477459468636,0.07125512388538403,0.48804000000000003,0.08384640026665037,0.48523446235521156,0.07237000122344203,0.5005299999999999,0.07838321859885466,0.5669899504341547,0.06047214702027279,4.8804,0.8384640026665033,4.8748000000000005,0.806340703835124,5.1251999999999995,0.806340703835124,5.1196,0.8384640026665034
signo_zodiacal_escorpio,0.5,0.0,0.50002,0.06228288621950388,0.49925847485847485,0.070771927469409,0.48924,0.08062023098011176,0.48568384056034103,0.07014629009233252,0.50168,0.0797104579978591,0.5675102188461694,0.05919314623750014,4.892399999999999,0.8062023098011174,4.892,0.8358788110566913,5.108,0.8358788110566913,5.107600000000001,0.8062023098011174
signo_zodiacal_geminis,0.5,0.0,0.49818,0.05899362758970145,0.49897290301202063,0.06821867417849282,0.48248,0.07545353584918525,0.482003833320526,0.06590627720513928,0.49799200000000005,0.07482053301280764,0.5650766781952137,0.05642259189745914,4.8248,0.7545353584918529,4.8612,0.8000091181845094,5.1388,0.8000091181845094,5.1752,0.7545353584918529
signo_zodiacal_leo,0.5,0.0,0.496,0.05983611552768853,0.49499394918806683,0.06736893528249309,0.48384,0.08102335445990785,0.48105709879232506,0.06899473836186984,0.496424,0.07667721313420345,0.5637971676515778,0.05886260088823222,4.8384,0.8102335445990788,4.918399999999999,0.7922858535576001,5.081600000000001,0.7922858535576001,5.1616,0.8102335445990788
signo_zodiacal_libra,0.5,0.0,0.50322,0.06174671581410348,0.502642152194211,0.06845811736761709,0.48944,0.08256706996184474,0.487278003644013,0.07054634521759828,0.504532,0.08002830771715806,0.569820111727282,0.06150056033483574,4.894399999999999,0.8256706996184476,4.83,0.7965733224984579,5.17,0.7965733224984577,5.105600000000001,0.8256706996184477
signo_zodiacal_piscis,0.5,0.0,0.50024,0.06157210934586049,0.5000799187740363,0.06828659043279042,0.48819999999999997,0.08168049587761836,0.4856128069517715,0.06993679590656252,0.500018,0.07928016375317007,0.5644787814366575,0.0580356149164251,4.882,0.8168049587761833,4.8772,0.7956042560623524,5.1228,0.7956042560623524,5.118,0.8168049587761833
signo_zodiacal_sagitario,0.5,0.0,0.50082,0.059090701654694266,0.49964706365529893,0.06740457969329246,0.48944,0.07732298550997851,0.4861229675180067,0.06702502133618068,0.502406,0.07619577913188523,0.5662073275738709,0.059085372602774223,4.894399999999999,0.7732298550997858,4.878,0.7644899540082649,5.122,0.7644899540082649,5.105600000000001,0.7732298550997857
signo_zodiacal_tauro,0.5,0.0,0.49796,0.06374295827351378,0.49818758020960807,0.07161319344877902,0.48828,0.08000652278017553,0.4843396109588735,0.07022245176374456,0.49568599999999996,0.08082924060185488,0.5621960145947963,0.05995901800779739,4.8828000000000005,0.8000652278017558,4.9236,0.8388386857324612,5.0764,0.8388386857324612,5.1171999999999995,0.8000652278017557
signo_zodiacal_virgo,0.5,0.0,0.5002800000000001,0.061792866227690674,0.5007094257703082,0.07000004082872843,0.48568,0.08188986200377917,0.4843772022488113,0.07112468227867731,0.500746,0.07860171718154625,0.5663548408935405,0.060513830662669556,4.8568,0.8188986200377916,4.8511999999999995,0.7557518652067802,5.1488000000000005,0.7557518652067802,5.1432,0.8188986200377916
