modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
svm,signo_zodiacal_aries,1,0.5,0.57,0.5669934640522876,0.7,0.6178692185007975,0.56,0.5735260860570459,7.0,5.6,4.4,3.0
svm,signo_zodiacal_aries,2,0.5,0.5700000000000001,0.5940476190476189,0.43999999999999995,0.5032765737874098,0.5619999999999999,0.6311097868419849,4.4,3.0,7.0,5.6
svm,signo_zodiacal_aries,3,0.5,0.59,0.6076190476190476,0.5799999999999998,0.5634761904761905,0.658,0.6944241036741036,5.8,4.0,6.0,4.2
svm,signo_zodiacal_aries,4,0.5,0.5,0.5107142857142857,0.52,0.5095238095238095,0.558,0.6001690505057378,5.2,5.2,4.8,4.8
svm,signo_zodiacal_aries,5,0.5,0.4800000000000001,0.4909090909090909,0.56,0.5124326653738419,0.518,0.581073213937765,5.6,6.0,4.0,4.4
svm,signo_zodiacal_aries,6,0.5,0.53,0.5335353535353535,0.62,0.5700943267259057,0.5700000000000001,0.6507260337701514,6.2,5.6,4.4,3.8
svm,signo_zodiacal_aries,7,0.5,0.4,0.37757575757575756,0.38,0.36723809523809525,0.36000000000000004,0.516646858301657,3.8,5.8,4.2,6.2
svm,signo_zodiacal_aries,8,0.5,0.4600000000000001,0.4576373626373627,0.6,0.5142898550724638,0.45199999999999996,0.5357124542124542,6.0,6.8,3.2,4.0
svm,signo_zodiacal_aries,9,0.5,0.6699999999999999,0.6793939393939394,0.64,0.6520300751879698,0.6620000000000001,0.7244911532396052,6.4,3.0,7.0,3.6
svm,signo_zodiacal_aries,10,0.5,0.5599999999999999,0.5527438248026483,0.6799999999999999,0.6002886002886002,0.6,0.6040734357661602,6.8,5.6,4.4,3.2
svm,signo_zodiacal_aries,11,0.5,0.6199999999999999,0.5983638583638584,0.64,0.611503567101898,0.6060000000000001,0.6842793960425538,6.4,4.0,6.0,3.6
svm,signo_zodiacal_aries,12,0.5,0.5700000000000001,0.5633033633033633,0.7,0.6180262529232781,0.648,0.7014440179703337,7.0,5.6,4.4,3.0
svm,signo_zodiacal_aries,13,0.5,0.45999999999999996,0.4575432900432901,0.45999999999999996,0.4460956690368455,0.458,0.5678279220779221,4.6,5.4,4.6,5.4
svm,signo_zodiacal_aries,14,0.5,0.53,0.5211868686868687,0.68,0.5836294582610372,0.6220000000000001,0.6645252014926937,6.8,6.2,3.8,3.2
svm,signo_zodiacal_aries,15,0.5,0.56,0.5638888888888889,0.62,0.5809523809523809,0.569,0.6146523013450257,6.2,5.0,5.0,3.8
svm,signo_zodiacal_aries,16,0.5,0.5700000000000001,0.5727777777777778,0.54,0.5525358851674641,0.53,0.623123466574705,5.4,4.0,6.0,4.6
svm,signo_zodiacal_aries,17,0.5,0.5200000000000001,0.5147619047619048,0.5199999999999999,0.5067649873346468,0.536,0.5866988460455953,5.2,4.8,5.2,4.8
svm,signo_zodiacal_aries,18,0.5,0.5,0.5527272727272727,0.38,0.4332832080200501,0.43800000000000006,0.5340820460069686,3.8,3.8,6.2,6.2
svm,signo_zodiacal_aries,19,0.5,0.54,0.528095238095238,0.48,0.49733808674985147,0.504,0.5627434232434233,4.8,4.0,6.0,5.2
svm,signo_zodiacal_aries,20,0.5,0.45,0.4262265512265513,0.44000000000000006,0.4265074450832964,0.422,0.5191660680221051,4.4,5.4,4.6,5.6
svm,signo_zodiacal_aries,21,0.5,0.44000000000000006,0.4605594405594406,0.44000000000000006,0.4383850931677019,0.45600000000000007,0.5552956133134151,4.4,5.6,4.4,5.6
svm,signo_zodiacal_aries,22,0.5,0.48999999999999994,0.4978571428571429,0.4,0.4393137254901961,0.512,0.597470637807325,4.0,4.2,5.8,6.0
svm,signo_zodiacal_aries,23,0.5,0.42000000000000004,0.4329365079365079,0.45999999999999996,0.4380155448266903,0.422,0.5081536437418791,4.6,6.2,3.8,5.4
svm,signo_zodiacal_aries,24,0.5,0.54,0.5644444444444445,0.45999999999999996,0.4947869674185463,0.524,0.5829829151756396,4.6,3.8,6.2,5.4
svm,signo_zodiacal_aries,25,0.5,0.49000000000000005,0.4851948051948051,0.32,0.3649112978524743,0.524,0.5552672029552834,3.2,3.4,6.6,6.8
svm,signo_zodiacal_aries,26,0.5,0.45999999999999996,0.44111721611721605,0.36,0.3875177607274794,0.43199999999999994,0.5446586593660896,3.6,4.4,5.6,6.4
svm,signo_zodiacal_aries,27,0.5,0.6300000000000001,0.6146231546231548,0.6599999999999999,0.6340655987795576,0.6620000000000001,0.6603298188739365,6.6,4.0,6.0,3.4
svm,signo_zodiacal_aries,28,0.5,0.45,0.4655555555555555,0.38,0.41011961722488033,0.44399999999999995,0.5168818387494858,3.8,4.8,5.2,6.2
svm,signo_zodiacal_aries,29,0.5,0.5800000000000001,0.602857142857143,0.6,0.5884313725490197,0.5519999999999999,0.5985491703858576,6.0,4.4,5.6,4.0
svm,signo_zodiacal_aries,30,0.5,0.5,0.5117521367521368,0.5599999999999999,0.528297852668562,0.45499999999999996,0.5193301218904934,5.6,5.6,4.4,4.4
svm,signo_zodiacal_aries,31,0.5,0.45,0.4159090909090909,0.44000000000000006,0.40793650793650793,0.433,0.4937163490104666,4.4,5.4,4.6,5.6
svm,signo_zodiacal_aries,32,0.5,0.5700000000000001,0.5683333333333334,0.5799999999999998,0.5613838383838383,0.55,0.5721341316062678,5.8,4.4,5.6,4.2
svm,signo_zodiacal_aries,33,0.5,0.58,0.5884920634920635,0.5199999999999999,0.5475685649060262,0.624,0.6460344845213266,5.2,3.6,6.4,4.8
svm,signo_zodiacal_aries,34,0.5,0.47000000000000003,0.4793311263899499,0.5599999999999999,0.5060568086883876,0.48600000000000004,0.5652991638564393,5.6,6.2,3.8,4.4
svm,signo_zodiacal_aries,35,0.5,0.56,0.5523892773892773,0.5799999999999998,0.5623406341941812,0.54,0.6009443812121831,5.8,4.6,5.4,4.2
