modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
svm,signo_zodiacal_cancer,1,0.5,0.53,0.5367521367521367,0.6,0.5590036965323006,0.526,0.6129404315155089,6.0,5.4,4.6,4.0
svm,signo_zodiacal_cancer,2,0.5,0.54,0.5355555555555556,0.44000000000000006,0.47906432748538014,0.5780000000000001,0.6311829271519673,4.4,3.6,6.4,5.6
svm,signo_zodiacal_cancer,3,0.5,0.37,0.38298368298368296,0.42000000000000004,0.39903216539372144,0.374,0.4882410753161527,4.2,6.8,3.2,5.8
svm,signo_zodiacal_cancer,4,0.5,0.39999999999999997,0.40620879120879116,0.38,0.3877408354646206,0.32,0.45962360498119015,3.8,5.8,4.2,6.2
svm,signo_zodiacal_cancer,5,0.5,0.47000000000000003,0.4602813852813853,0.36000000000000004,0.39859943977591034,0.406,0.4730397482634324,3.6,4.2,5.8,6.4
svm,signo_zodiacal_cancer,6,0.5,0.4600000000000001,0.43960317460317455,0.36000000000000004,0.39202098383212935,0.5000000000000001,0.5953632113500533,3.6,4.4,5.6,6.4
svm,signo_zodiacal_cancer,7,0.5,0.5199999999999999,0.5169614699026464,0.6599999999999999,0.576188384884037,0.5,0.5279182277990329,6.6,6.2,3.8,3.4
svm,signo_zodiacal_cancer,8,0.5,0.5,0.48529914529914525,0.5799999999999998,0.5235897649261494,0.485,0.5505132177763755,5.8,5.8,4.2,4.2
svm,signo_zodiacal_cancer,9,0.5,0.39,0.3943833943833944,0.38,0.37655920491766504,0.37200000000000005,0.49005482589306115,3.8,6.0,4.0,6.2
svm,signo_zodiacal_cancer,10,0.5,0.4,0.38555555555555554,0.36,0.363806485911749,0.395,0.48246215832670936,3.6,5.6,4.4,6.4
svm,signo_zodiacal_cancer,11,0.5,0.51,0.5035353535353535,0.5199999999999999,0.5099794941900205,0.555,0.6238477164390477,5.2,5.0,5.0,4.8
svm,signo_zodiacal_cancer,12,0.5,0.5399999999999999,0.5396825396825397,0.42000000000000004,0.46683178534571723,0.58,0.6069177848295494,4.2,3.4,6.6,5.8
svm,signo_zodiacal_cancer,13,0.5,0.55,0.5352380952380952,0.7600000000000001,0.6271638795986623,0.544,0.6031878219819397,7.6,6.6,3.4,2.4
svm,signo_zodiacal_cancer,14,0.5,0.4999999999999999,0.505,0.5,0.48557575757575766,0.43600000000000005,0.5095306941940069,5.0,5.0,5.0,5.0
svm,signo_zodiacal_cancer,15,0.5,0.45,0.42365079365079367,0.36,0.37576441102756897,0.378,0.538435512200218,3.6,4.6,5.4,6.4
svm,signo_zodiacal_cancer,16,0.5,0.54,0.5478632478632479,0.6,0.5683829138062547,0.522,0.5837164502164501,6.0,5.2,4.8,4.0
svm,signo_zodiacal_cancer,17,0.5,0.42000000000000004,0.40809523809523807,0.28,0.32877880976952184,0.466,0.5714314313137843,2.8,4.4,5.6,7.2
svm,signo_zodiacal_cancer,18,0.5,0.37,0.361050061050061,0.4,0.37651464163780757,0.332,0.46242026051004387,4.0,6.6,3.4,6.0
svm,signo_zodiacal_cancer,19,0.5,0.4600000000000001,0.4223809523809524,0.34,0.36226655697243937,0.5,0.5853766146134566,3.4,4.2,5.8,6.6
svm,signo_zodiacal_cancer,20,0.5,0.49000000000000005,0.4905316905316905,0.52,0.4988327596484818,0.47000000000000003,0.5225500969618617,5.2,5.4,4.6,4.8
svm,signo_zodiacal_cancer,21,0.5,0.48,0.43679653679653685,0.3,0.3388924800689506,0.44800000000000006,0.5446276795100324,3.0,3.4,6.6,7.0
