modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
svm,signo_zodiacal_capricornio,1,0.5,0.5700000000000001,0.56004329004329,0.6,0.5698917748917749,0.624,0.6744658849922007,6.0,4.6,5.4,4.0
svm,signo_zodiacal_capricornio,2,0.5,0.51,0.5244444444444444,0.4,0.44915204678362575,0.4619999999999999,0.5790656304479833,4.0,3.8,6.2,6.0
svm,signo_zodiacal_capricornio,3,0.5,0.45,0.4522222222222222,0.44000000000000006,0.44459330143540665,0.41600000000000004,0.5262377997819174,4.4,5.4,4.6,5.6
svm,signo_zodiacal_capricornio,4,0.5,0.52,0.5108216783216784,0.7,0.5880516005733397,0.49800000000000005,0.5596486312105506,7.0,6.6,3.4,3.0
svm,signo_zodiacal_capricornio,5,0.5,0.53,0.5422222222222223,0.52,0.5002105263157894,0.55,0.5934456001514825,5.2,4.6,5.4,4.8
svm,signo_zodiacal_capricornio,6,0.5,0.41,0.4053030303030304,0.34,0.35839598997493727,0.47000000000000003,0.5628703163881182,3.4,5.2,4.8,6.6
svm,signo_zodiacal_capricornio,7,0.5,0.5800000000000001,0.5712121212121212,0.66,0.6121212121212121,0.608,0.6381610470712638,6.6,5.0,5.0,3.4
svm,signo_zodiacal_capricornio,8,0.5,0.47000000000000003,0.4769230769230769,0.5199999999999999,0.4880434782608695,0.4119999999999999,0.5178929799990172,5.2,5.8,4.2,4.8
svm,signo_zodiacal_capricornio,9,0.5,0.4,0.4132034632034632,0.45999999999999996,0.43011204481792714,0.358,0.47498811895019327,4.6,6.6,3.4,5.4
svm,signo_zodiacal_capricornio,10,0.5,0.47000000000000003,0.4829822954822955,0.45999999999999996,0.4475111642967343,0.422,0.4850749342676587,4.6,5.2,4.8,5.4
svm,signo_zodiacal_capricornio,11,0.5,0.48,0.47747807747807747,0.5399999999999999,0.5027895826522829,0.42800000000000005,0.504772904168415,5.4,5.8,4.2,4.6
svm,signo_zodiacal_capricornio,12,0.5,0.45,0.43619047619047624,0.32,0.36413828689370487,0.433,0.5224549349858948,3.2,4.2,5.8,6.8
svm,signo_zodiacal_capricornio,13,0.5,0.53,0.5266511266511266,0.58,0.5504631143075078,0.48199999999999993,0.5378033247282473,5.8,5.2,4.8,4.2
svm,signo_zodiacal_capricornio,14,0.5,0.44000000000000006,0.4559018759018759,0.4,0.4076615067079463,0.48600000000000004,0.5260212914020963,4.0,5.2,4.8,6.0
svm,signo_zodiacal_capricornio,15,0.5,0.49000000000000005,0.49673659673659676,0.58,0.5338038772821382,0.488,0.5739173897997427,5.8,6.0,4.0,4.2
svm,signo_zodiacal_capricornio,16,0.5,0.45999999999999996,0.4712820512820513,0.6399999999999999,0.5417865612648222,0.402,0.47915767832099104,6.4,7.2,2.8,3.6
svm,signo_zodiacal_capricornio,17,0.5,0.6,0.6128787878787878,0.58,0.5868686868686869,0.5940000000000001,0.6464407732790086,5.8,3.8,6.2,4.2
svm,signo_zodiacal_capricornio,18,0.5,0.47000000000000003,0.4781196581196582,0.5599999999999999,0.5121815408085431,0.484,0.5754090343780746,5.6,6.2,3.8,4.4
