modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
svm,signo_zodiacal_escorpio,1,0.5,0.44000000000000006,0.45263736263736265,0.58,0.5062292490118577,0.38,0.473513286163441,5.8,7.0,3.0,4.2
svm,signo_zodiacal_escorpio,2,0.5,0.5,0.5015151515151515,0.54,0.5194805194805194,0.476,0.5167833893832345,5.4,5.4,4.6,4.6
svm,signo_zodiacal_escorpio,3,0.5,0.5199999999999999,0.49925074925074925,0.5800000000000001,0.5293148880105402,0.5359999999999999,0.5902483166128677,5.8,5.4,4.6,4.2
svm,signo_zodiacal_escorpio,4,0.5,0.5200000000000001,0.539047619047619,0.38,0.42990447461035697,0.534,0.5938058407880389,3.8,3.4,6.6,6.2
svm,signo_zodiacal_escorpio,5,0.5,0.43,0.41818181818181815,0.41999999999999993,0.41445659603554336,0.44799999999999995,0.5381228689611043,4.2,5.6,4.4,5.8
svm,signo_zodiacal_escorpio,6,0.5,0.45,0.4442016317016317,0.58,0.49882440214248,0.43600000000000005,0.5339450004759602,5.8,6.8,3.2,4.2
svm,signo_zodiacal_escorpio,7,0.5,0.51,0.5111111111111111,0.6,0.5481203007518798,0.5130000000000001,0.6049452106201333,6.0,5.8,4.2,4.0
svm,signo_zodiacal_escorpio,8,0.5,0.49000000000000005,0.47889610389610393,0.42000000000000004,0.4408263305322128,0.526,0.5842055999556,4.2,4.4,5.6,5.8
svm,signo_zodiacal_escorpio,9,0.5,0.47000000000000003,0.4495726495726496,0.5599999999999999,0.495118230358505,0.532,0.6048401692047203,5.6,6.2,3.8,4.4
svm,signo_zodiacal_escorpio,10,0.5,0.53,0.5340909090909091,0.44000000000000006,0.4753968253968254,0.5459999999999999,0.6318424538997294,4.4,3.8,6.2,5.6
svm,signo_zodiacal_escorpio,11,0.5,0.5900000000000001,0.5945609945609945,0.6,0.5867425480697792,0.6180000000000001,0.6270213730198251,6.0,4.2,5.8,4.0
svm,signo_zodiacal_escorpio,12,0.5,0.5700000000000001,0.5781746031746031,0.45999999999999996,0.5072170622635019,0.5700000000000001,0.6392247823555872,4.6,3.2,6.8,5.4
svm,signo_zodiacal_escorpio,13,0.5,0.45999999999999996,0.46340659340659335,0.45999999999999996,0.44618357487922705,0.41200000000000003,0.5441715358085327,4.6,5.4,4.6,5.4
svm,signo_zodiacal_escorpio,14,0.5,0.51,0.5107142857142857,0.4600000000000001,0.474881164587047,0.53,0.6148446914282827,4.6,4.4,5.6,5.4
svm,signo_zodiacal_escorpio,15,0.5,0.48,0.4600267379679145,0.54,0.4777566137566137,0.51,0.5540289606334498,5.4,5.8,4.2,4.6
svm,signo_zodiacal_escorpio,16,0.5,0.43,0.411060606060606,0.4,0.4001298701298701,0.38199999999999995,0.442858056975704,4.0,5.4,4.6,6.0
