modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
svm,signo_zodiacal_geminis,1,0.5,0.4800000000000001,0.46464646464646464,0.41999999999999993,0.43796992481203006,0.45400000000000007,0.5173024104378594,4.2,4.6,5.4,5.8
svm,signo_zodiacal_geminis,2,0.5,0.52,0.53495670995671,0.42000000000000004,0.4658263305322129,0.536,0.6008161005661006,4.2,3.8,6.2,5.8
svm,signo_zodiacal_geminis,3,0.5,0.35,0.3432051282051282,0.3,0.3127231121281464,0.388,0.5246772944977278,3.0,6.0,4.0,7.0
svm,signo_zodiacal_geminis,4,0.5,0.5,0.5,0.7,0.5824972129319955,0.426,0.4922913855150696,7.0,7.0,3.0,3.0
svm,signo_zodiacal_geminis,5,0.5,0.55,0.5881746031746031,0.44000000000000006,0.4961059511523908,0.5640000000000001,0.6287800512181316,4.4,3.4,6.6,5.6
svm,signo_zodiacal_geminis,6,0.5,0.43000000000000005,0.4289432789432789,0.42000000000000004,0.42079110820529586,0.41400000000000003,0.5195620970017255,4.2,5.6,4.4,5.8
svm,signo_zodiacal_geminis,7,0.5,0.52,0.5048809523809523,0.52,0.4870497737556561,0.466,0.5220039851789078,5.2,4.8,5.2,4.8
svm,signo_zodiacal_geminis,8,0.5,0.5,0.5007539682539682,0.5,0.49112540022756745,0.442,0.4917513787382209,5.0,5.0,5.0,5.0
svm,signo_zodiacal_geminis,9,0.5,0.52,0.5125,0.6799999999999999,0.5761238761238762,0.562,0.617625020576259,6.8,6.4,3.6,3.2
svm,signo_zodiacal_geminis,10,0.5,0.44000000000000006,0.4461605061605062,0.5199999999999999,0.4673002070393375,0.42400000000000004,0.5062463833036588,5.2,6.4,3.6,4.8
svm,signo_zodiacal_geminis,11,0.5,0.6000000000000001,0.6113308913308914,0.56,0.5761582985596985,0.592,0.6420489485574624,5.6,3.6,6.4,4.4
svm,signo_zodiacal_geminis,12,0.5,0.52,0.5189393939393939,0.4800000000000001,0.4970760233918128,0.518,0.5468479930801912,4.8,4.4,5.6,5.2
svm,signo_zodiacal_geminis,13,0.5,0.5199999999999999,0.5337662337662337,0.48,0.502358838272151,0.504,0.5813012553322151,4.8,4.4,5.6,5.2
svm,signo_zodiacal_geminis,14,0.5,0.36,0.35811688311688317,0.32,0.32920168067226896,0.32799999999999996,0.46697336512816384,3.2,6.0,4.0,6.8
svm,signo_zodiacal_geminis,15,0.5,0.51,0.5244444444444445,0.38,0.4352631578947368,0.518,0.5839276360894008,3.8,3.6,6.4,6.2
svm,signo_zodiacal_geminis,16,0.5,0.58,0.613939393939394,0.54,0.542987012987013,0.6439999999999999,0.6456796967222663,5.4,3.8,6.2,4.6
svm,signo_zodiacal_geminis,17,0.5,0.37,0.3138888888888889,0.26,0.2771758942811574,0.414,0.4892758624244692,2.6,5.2,4.8,7.4
svm,signo_zodiacal_geminis,18,0.5,0.48,0.4826806526806527,0.64,0.5481513269339356,0.48200000000000004,0.5510281085443623,6.4,6.8,3.2,3.6
svm,signo_zodiacal_geminis,19,0.5,0.43,0.41571428571428565,0.36,0.36924242424242426,0.43600000000000005,0.5277030855281628,3.6,5.0,5.0,6.4
svm,signo_zodiacal_geminis,20,0.5,0.42000000000000004,0.43576867576867573,0.5399999999999999,0.4784051432930151,0.41200000000000003,0.502962677243637,5.4,7.0,3.0,4.6
