modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
svm,signo_zodiacal_leo,1,0.5,0.52,0.528968253968254,0.48,0.4991006929087424,0.496,0.5787629809131356,4.8,4.4,5.6,5.2
svm,signo_zodiacal_leo,2,0.5,0.5900000000000001,0.5872727272727273,0.62,0.6024242424242424,0.612,0.6766595887772358,6.2,4.4,5.6,3.8
svm,signo_zodiacal_leo,3,0.5,0.44000000000000006,0.4234065934065933,0.42000000000000004,0.41677181017334475,0.4720000000000001,0.5643121794785881,4.2,5.4,4.6,5.8
svm,signo_zodiacal_leo,4,0.5,0.4600000000000001,0.4012698412698413,0.4,0.3931145510835913,0.41800000000000004,0.4754941992132394,4.0,4.8,5.2,6.0
svm,signo_zodiacal_leo,5,0.5,0.62,0.6253496503496503,0.68,0.6399851356373094,0.642,0.6955594132389797,6.8,4.4,5.6,3.2
svm,signo_zodiacal_leo,6,0.5,0.54,0.5393181818181818,0.6,0.56004884004884,0.496,0.5532341628959276,6.0,5.2,4.8,4.0
svm,signo_zodiacal_leo,7,0.5,0.48,0.470406162464986,0.45999999999999996,0.4476470588235294,0.4779999999999999,0.5467825573119691,4.6,5.0,5.0,5.4
svm,signo_zodiacal_leo,8,0.5,0.54,0.5765811965811964,0.48,0.5049972757981911,0.5379999999999999,0.6184187211996809,4.8,4.0,6.0,5.2
svm,signo_zodiacal_leo,9,0.5,0.48,0.47844155844155845,0.45999999999999996,0.4667787114845939,0.47000000000000003,0.508302059052059,4.6,5.0,5.0,5.4
svm,signo_zodiacal_leo,10,0.5,0.52,0.530952380952381,0.6199999999999999,0.5564102564102564,0.49400000000000005,0.5366260955247022,6.2,5.8,4.2,3.8
svm,signo_zodiacal_leo,11,0.5,0.35,0.33285714285714285,0.3,0.31171404446946244,0.292,0.45044201532901224,3.0,6.0,4.0,7.0
svm,signo_zodiacal_leo,12,0.5,0.53,0.6226190476190476,0.34,0.4163398692810457,0.5640000000000001,0.6281976046828988,3.4,2.8,7.2,6.6
svm,signo_zodiacal_leo,13,0.5,0.45999999999999996,0.4575854700854701,0.45999999999999996,0.442303291674001,0.48199999999999993,0.5745831211272387,4.6,5.4,4.6,5.4
svm,signo_zodiacal_leo,14,0.5,0.48999999999999994,0.4572727272727272,0.45999999999999996,0.45449494949494956,0.488,0.569829281227888,4.6,4.8,5.2,5.4
