modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
svm,signo_zodiacal_libra,1,0.5,0.4800000000000001,0.49575757575757573,0.4,0.42415584415584406,0.512,0.5599356727723601,4.0,4.4,5.6,6.0
svm,signo_zodiacal_libra,2,0.5,0.51,0.48888888888888893,0.38,0.41907332433648226,0.5589999999999999,0.575694904338867,3.8,3.6,6.4,6.2
svm,signo_zodiacal_libra,3,0.5,0.39,0.3743939393939394,0.34,0.35285714285714287,0.384,0.4658965662820152,3.4,5.6,4.4,6.6
svm,signo_zodiacal_libra,4,0.5,0.5599999999999999,0.5462759462759463,0.6799999999999999,0.6020352264059358,0.5660000000000001,0.617999770267572,6.8,5.6,4.4,3.2
svm,signo_zodiacal_libra,5,0.5,0.5399999999999999,0.5345421245421245,0.6799999999999999,0.5951989459815547,0.5599999999999999,0.620134826559749,6.8,6.0,4.0,3.2
svm,signo_zodiacal_libra,6,0.5,0.45999999999999996,0.434920634920635,0.32,0.36621087031303745,0.45199999999999996,0.5353597348643788,3.2,4.0,6.0,6.8
svm,signo_zodiacal_libra,7,0.5,0.5600000000000002,0.5704473304473305,0.48,0.5116615067079463,0.6060000000000001,0.630610096989354,4.8,3.6,6.4,5.2
svm,signo_zodiacal_libra,8,0.5,0.53,0.5266666666666666,0.6599999999999999,0.5766324786324787,0.548,0.5773492520551344,6.6,6.0,4.0,3.4
svm,signo_zodiacal_libra,9,0.5,0.45,0.42857142857142855,0.42000000000000004,0.4215092097445039,0.41,0.47783061279965305,4.2,5.2,4.8,5.8
svm,signo_zodiacal_libra,10,0.5,0.5599999999999999,0.5706349206349207,0.54,0.5501829439909935,0.5680000000000001,0.6346648325015197,5.4,4.2,5.8,4.6
svm,signo_zodiacal_libra,11,0.5,0.5199999999999999,0.5392857142857144,0.4,0.4541176470588235,0.526,0.5766801505168377,4.0,3.6,6.4,6.0
svm,signo_zodiacal_libra,12,0.5,0.42000000000000004,0.4121212121212121,0.38,0.3912698412698413,0.362,0.4681073463000708,3.8,5.4,4.6,6.2
svm,signo_zodiacal_libra,13,0.5,0.51,0.5314935064935065,0.45999999999999996,0.4890756302521009,0.484,0.5658472567164518,4.6,4.4,5.6,5.4
svm,signo_zodiacal_libra,14,0.5,0.5800000000000001,0.6083065953654188,0.6399999999999999,0.5972681704260652,0.638,0.672566113796764,6.4,4.8,5.2,3.6
svm,signo_zodiacal_libra,15,0.5,0.41,0.4161616161616162,0.42000000000000004,0.4155236576289208,0.4040000000000001,0.5032195223077576,4.2,6.0,4.0,5.8
svm,signo_zodiacal_libra,16,0.5,0.45,0.4457142857142856,0.42000000000000004,0.4222222222222222,0.46399999999999997,0.578194564637289,4.2,5.2,4.8,5.8
svm,signo_zodiacal_libra,17,0.5,0.4,0.3875757575757576,0.38,0.37930508088402826,0.402,0.5111197054579407,3.8,5.8,4.2,6.2
svm,signo_zodiacal_libra,18,0.5,0.4699999999999999,0.46769230769230774,0.43999999999999995,0.43496135265700475,0.41,0.5039417569874225,4.4,5.0,5.0,5.6
svm,signo_zodiacal_libra,19,0.5,0.45999999999999996,0.45686868686868687,0.48,0.4668215994531783,0.4600000000000001,0.5308306303259863,4.8,5.6,4.4,5.2
svm,signo_zodiacal_libra,20,0.5,0.5800000000000001,0.5797402597402599,0.62,0.5925855559615151,0.564,0.6453670040829482,6.2,4.6,5.4,3.8
svm,signo_zodiacal_libra,21,0.5,0.5,0.4862637362637362,0.4800000000000001,0.4686345552713839,0.484,0.5596957297088876,4.8,4.8,5.2,5.2
svm,signo_zodiacal_libra,22,0.5,0.51,0.4825757575757576,0.62,0.5312520812520812,0.582,0.6475285727344551,6.2,6.0,4.0,3.8
svm,signo_zodiacal_libra,23,0.5,0.5199999999999999,0.5085714285714287,0.6,0.5481818181818181,0.48200000000000004,0.5300372405372406,6.0,5.6,4.4,4.0
svm,signo_zodiacal_libra,24,0.5,0.53,0.5368253968253968,0.45999999999999996,0.4788513931888545,0.5660000000000001,0.5948132831221067,4.6,4.0,6.0,5.4
svm,signo_zodiacal_libra,25,0.5,0.55,0.5327472527472527,0.68,0.5959420289855072,0.576,0.611953628672669,6.8,5.8,4.2,3.2
svm,signo_zodiacal_libra,26,0.5,0.5,0.4840811965811966,0.54,0.49996675076766606,0.47800000000000004,0.5553998974881328,5.4,5.4,4.6,4.6
svm,signo_zodiacal_libra,27,0.5,0.51,0.4428571428571428,0.32,0.3696938424492604,0.522,0.5944521403948648,3.2,3.0,7.0,6.8
svm,signo_zodiacal_libra,28,0.5,0.38,0.38510822510822507,0.38000000000000006,0.37950598421186654,0.35,0.493517289727816,3.8,6.2,3.8,6.2
svm,signo_zodiacal_libra,29,0.5,0.45,0.45945165945165944,0.52,0.4855092276144908,0.404,0.4748986497678448,5.2,6.2,3.8,4.8
svm,signo_zodiacal_libra,30,0.5,0.49000000000000005,0.49564102564102563,0.64,0.5552569169960474,0.4870000000000001,0.544047090766131,6.4,6.6,3.4,3.6
svm,signo_zodiacal_libra,31,0.5,0.4,0.4043956043956044,0.43999999999999995,0.41662404092071614,0.368,0.47903075845722903,4.4,6.4,3.6,5.6
svm,signo_zodiacal_libra,32,0.5,0.41,0.41809523809523813,0.5,0.4464127966976264,0.384,0.47567668751956677,5.0,6.8,3.2,5.0
svm,signo_zodiacal_libra,33,0.5,0.49000000000000005,0.4655555555555556,0.4,0.42736842105263156,0.442,0.5017931817064943,4.0,4.2,5.8,6.0
svm,signo_zodiacal_libra,34,0.5,0.41000000000000003,0.32960317460317456,0.28,0.30146542827657374,0.422,0.47071224200635964,2.8,4.6,5.4,7.2
svm,signo_zodiacal_libra,35,0.5,0.5,0.5043589743589744,0.54,0.5189640108175577,0.43000000000000005,0.5139230969408988,5.4,5.4,4.6,4.6
svm,signo_zodiacal_libra,36,0.5,0.5599999999999999,0.595,0.4,0.476078431372549,0.538,0.60483049466873,4.0,2.8,7.2,6.0
svm,signo_zodiacal_libra,37,0.5,0.58,0.5867965367965369,0.5599999999999999,0.562344028520499,0.5999999999999999,0.6539674096113723,5.6,4.0,6.0,4.4
svm,signo_zodiacal_libra,38,0.5,0.5199999999999999,0.5358308358308358,0.6,0.5602672689629211,0.5229999999999999,0.5954644789335192,6.0,5.6,4.4,4.0
svm,signo_zodiacal_libra,39,0.5,0.43,0.41547619047619044,0.45999999999999996,0.43072153762690846,0.44000000000000006,0.5199269254137675,4.6,6.0,4.0,5.4
svm,signo_zodiacal_libra,40,0.5,0.41,0.405006105006105,0.52,0.44167778199276386,0.33599999999999997,0.4776772060069273,5.2,7.0,3.0,4.8
svm,signo_zodiacal_libra,41,0.5,0.48999999999999994,0.5366666666666667,0.42000000000000004,0.4475324675324675,0.42400000000000004,0.5301178712927939,4.2,4.4,5.6,5.8
svm,signo_zodiacal_libra,42,0.5,0.45999999999999996,0.4632034632034632,0.32,0.369281045751634,0.394,0.5437793740487239,3.2,4.0,6.0,6.8
svm,signo_zodiacal_libra,43,0.5,0.53,0.5324675324675324,0.5800000000000001,0.5457659987071752,0.502,0.5348398729753219,5.8,5.2,4.8,4.2
svm,signo_zodiacal_libra,44,0.5,0.44000000000000006,0.431934731934732,0.4800000000000001,0.44879540749105973,0.376,0.4553181557005086,4.8,6.0,4.0,5.2
svm,signo_zodiacal_libra,45,0.5,0.48,0.49030303030303035,0.5,0.4847443609022556,0.538,0.5965165945165944,5.0,5.4,4.6,5.0
svm,signo_zodiacal_libra,46,0.5,0.53,0.5438095238095239,0.38,0.4422635018919848,0.53,0.6161391102877172,3.8,3.2,6.8,6.2
svm,signo_zodiacal_libra,47,0.5,0.48,0.4916666666666667,0.5,0.4909090909090909,0.51,0.581091310220567,5.0,5.4,4.6,5.0
svm,signo_zodiacal_libra,48,0.5,0.5900000000000001,0.6228571428571429,0.45999999999999996,0.5176470588235293,0.674,0.7207993558728851,4.6,2.8,7.2,5.4
svm,signo_zodiacal_libra,49,0.5,0.47000000000000003,0.4692857142857143,0.41999999999999993,0.4387641117052882,0.506,0.5703713488094293,4.2,4.8,5.2,5.8
svm,signo_zodiacal_libra,50,0.5,0.45999999999999996,0.43924242424242427,0.36,0.38857142857142857,0.422,0.5213749677395189,3.6,4.4,5.6,6.4
svm,signo_zodiacal_libra,51,0.5,0.42000000000000004,0.4290909090909091,0.5399999999999999,0.47402930402930404,0.398,0.49094269885601155,5.4,7.0,3.0,4.6
svm,signo_zodiacal_libra,52,0.5,0.57,0.5650000000000001,0.5599999999999999,0.560255183413078,0.644,0.6896694802445575,5.6,4.2,5.8,4.4
svm,signo_zodiacal_libra,53,0.5,0.61,0.6090909090909091,0.62,0.6092352092352092,0.6260000000000001,0.6897848889156937,6.2,4.0,6.0,3.8
svm,signo_zodiacal_libra,54,0.5,0.52,0.5242424242424242,0.6,0.5564023695602642,0.5299999999999999,0.6182601103746614,6.0,5.6,4.4,4.0
svm,signo_zodiacal_libra,55,0.5,0.58,0.5699849170437405,0.76,0.6435956111013319,0.604,0.662951174212784,7.6,6.0,4.0,2.4
svm,signo_zodiacal_libra,56,0.5,0.5800000000000001,0.5852020202020202,0.6,0.5849757727652465,0.624,0.6663373283063685,6.0,4.4,5.6,4.0
svm,signo_zodiacal_libra,57,0.5,0.49000000000000005,0.46182539682539686,0.33999999999999997,0.38862917096663224,0.44000000000000006,0.5158594471404069,3.4,3.6,6.4,6.6
svm,signo_zodiacal_libra,58,0.5,0.49000000000000005,0.49230769230769234,0.58,0.525989342465315,0.49400000000000005,0.582529878446287,5.8,6.0,4.0,4.2
svm,signo_zodiacal_libra,59,0.5,0.58,0.6088827838827838,0.5599999999999999,0.5671639670360898,0.6140000000000001,0.6492670662670663,5.6,4.0,6.0,4.4
svm,signo_zodiacal_libra,60,0.5,0.48,0.48,0.32,0.37363408521303254,0.508,0.5944779474911053,3.2,3.6,6.4,6.8
svm,signo_zodiacal_libra,61,0.5,0.5599999999999999,0.5477777777777778,0.43999999999999995,0.46962090541037915,0.562,0.577443852501128,4.4,3.2,6.8,5.6
svm,signo_zodiacal_libra,62,0.5,0.51,0.5056915306915307,0.58,0.5326879070586165,0.5359999999999999,0.5656480361743519,5.8,5.6,4.4,4.2
svm,signo_zodiacal_libra,63,0.5,0.44000000000000006,0.4166666666666667,0.4,0.3998632946001367,0.43200000000000005,0.5109660921294049,4.0,5.2,4.8,6.0
svm,signo_zodiacal_libra,64,0.5,0.47000000000000003,0.4794083694083694,0.58,0.5211023012075644,0.4659999999999999,0.5537378454878455,5.8,6.4,3.6,4.2
svm,signo_zodiacal_libra,65,0.5,0.5,0.49624708624708624,0.5999999999999999,0.5416205533596837,0.47400000000000003,0.5295669571226845,6.0,6.0,4.0,4.0
svm,signo_zodiacal_libra,66,0.5,0.42000000000000004,0.38333333333333336,0.33999999999999997,0.35090909090909095,0.39,0.4751927733429282,3.4,5.0,5.0,6.6
svm,signo_zodiacal_libra,67,0.5,0.5,0.4673809523809524,0.42000000000000004,0.43563874034462274,0.516,0.5731021396903749,4.2,4.2,5.8,5.8
svm,signo_zodiacal_libra,68,0.5,0.47000000000000003,0.4621031746031746,0.43999999999999995,0.43880685877589903,0.4539999999999999,0.54620400737893,4.4,5.0,5.0,5.6
svm,signo_zodiacal_libra,69,0.5,0.42000000000000004,0.4191452991452992,0.5,0.4540961098398169,0.42400000000000004,0.5362603974972396,5.0,6.6,3.4,5.0
svm,signo_zodiacal_libra,70,0.5,0.43,0.42272727272727273,0.5,0.4558127862475689,0.374,0.4602512775322373,5.0,6.4,3.6,5.0
svm,signo_zodiacal_libra,71,0.5,0.44000000000000006,0.44727272727272727,0.4600000000000001,0.45131313131313133,0.434,0.5129320603716888,4.6,5.8,4.2,5.4
svm,signo_zodiacal_libra,72,0.5,0.5399999999999999,0.5425213675213676,0.52,0.5214137946975476,0.542,0.6206070024746495,5.2,4.4,5.6,4.8
svm,signo_zodiacal_libra,73,0.5,0.41,0.39,0.45999999999999996,0.417,0.394,0.5001835864513883,4.6,6.4,3.6,5.4
svm,signo_zodiacal_libra,74,0.5,0.42000000000000004,0.37087912087912095,0.42000000000000004,0.38924087421529874,0.48,0.5703322156000175,4.2,5.8,4.2,5.8
svm,signo_zodiacal_libra,75,0.5,0.49000000000000005,0.49340659340659343,0.64,0.5543398630355152,0.458,0.5134636541648925,6.4,6.6,3.4,3.6
svm,signo_zodiacal_libra,76,0.5,0.56,0.5742424242424242,0.44000000000000006,0.47710944026733504,0.618,0.6833706206074627,4.4,3.2,6.8,5.6
svm,signo_zodiacal_libra,77,0.5,0.33999999999999997,0.30564102564102563,0.34,0.3197013614404919,0.26399999999999996,0.4551694182150838,3.4,6.6,3.4,6.6
svm,signo_zodiacal_libra,78,0.5,0.5399999999999999,0.5442857142857143,0.54,0.5294949494949494,0.49399999999999994,0.5173668716904011,5.4,4.6,5.4,4.6
svm,signo_zodiacal_libra,79,0.5,0.49000000000000005,0.48897435897435904,0.45999999999999996,0.4576522993914298,0.396,0.5139074475576023,4.6,4.8,5.2,5.4
svm,signo_zodiacal_libra,80,0.5,0.43,0.44190476190476186,0.48,0.45290552584670224,0.41200000000000003,0.5040995695910557,4.8,6.2,3.8,5.2
svm,signo_zodiacal_libra,81,0.5,0.39,0.33999999999999997,0.44000000000000006,0.38055183413078153,0.372,0.4631620638563363,4.4,6.6,3.4,5.6
svm,signo_zodiacal_libra,82,0.5,0.51,0.5192557442557443,0.5,0.5029472658628669,0.5559999999999999,0.6484603250206964,5.0,4.8,5.2,5.0
svm,signo_zodiacal_libra,83,0.5,0.44000000000000006,0.41666666666666663,0.4,0.39296536796536796,0.39,0.4811595620581688,4.0,5.2,4.8,6.0
svm,signo_zodiacal_libra,84,0.5,0.45999999999999996,0.43495670995671,0.34,0.37086456714939686,0.406,0.48209471453898695,3.4,4.2,5.8,6.6
svm,signo_zodiacal_libra,85,0.5,0.49000000000000005,0.48367965367965365,0.6,0.5334632034632034,0.4620000000000001,0.5415396988632283,6.0,6.2,3.8,4.0
svm,signo_zodiacal_libra,86,0.5,0.55,0.5477344877344877,0.52,0.5310894884269497,0.5439999999999999,0.5494004410622059,5.2,4.2,5.8,4.8
svm,signo_zodiacal_libra,87,0.5,0.5599999999999999,0.5565079365079365,0.5599999999999998,0.5528736279200676,0.5439999999999999,0.6343439630544893,5.6,4.4,5.6,4.4
svm,signo_zodiacal_libra,88,0.5,0.5700000000000001,0.5736796536796537,0.6599999999999999,0.6038319327731092,0.578,0.6352569940379537,6.6,5.2,4.8,3.4
