modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
svm,signo_zodiacal_piscis,1,0.5,0.52,0.5106060606060605,0.5599999999999999,0.5293195108984583,0.512,0.5724553038980283,5.6,5.2,4.8,4.4
svm,signo_zodiacal_piscis,2,0.5,0.5800000000000001,0.5875213675213675,0.5599999999999999,0.5643935926773456,0.6140000000000001,0.6333861765169814,5.6,4.0,6.0,4.4
svm,signo_zodiacal_piscis,3,0.5,0.51,0.509090909090909,0.6,0.5444333444333445,0.52,0.6118753364798255,6.0,5.8,4.2,4.0
svm,signo_zodiacal_piscis,4,0.5,0.5,0.4999222999222999,0.48,0.48149504195270787,0.4699999999999999,0.5656095962860668,4.8,4.8,5.2,5.2
svm,signo_zodiacal_piscis,5,0.5,0.5800000000000001,0.5971428571428572,0.52,0.5517647058823529,0.6020000000000001,0.6472502221720486,5.2,3.6,6.4,4.8
svm,signo_zodiacal_piscis,6,0.5,0.43000000000000005,0.4321789321789321,0.45999999999999996,0.4426065162907268,0.421,0.5018599841850616,4.6,6.0,4.0,5.4
svm,signo_zodiacal_piscis,7,0.5,0.51,0.5159090909090909,0.58,0.5411976911976912,0.46399999999999997,0.543850329237326,5.8,5.6,4.4,4.2
svm,signo_zodiacal_piscis,8,0.5,0.51,0.55,0.45999999999999996,0.46124708624708627,0.532,0.591261245290657,4.6,4.4,5.6,5.4
svm,signo_zodiacal_piscis,9,0.5,0.64,0.665934065934066,0.64,0.6363229481515926,0.6900000000000001,0.7170758016493309,6.4,3.6,6.4,3.6
svm,signo_zodiacal_piscis,10,0.5,0.6,0.6143589743589744,0.5800000000000001,0.5880549199084669,0.5920000000000001,0.6661815498742742,5.8,3.8,6.2,4.2
svm,signo_zodiacal_piscis,11,0.5,0.54,0.5597802197802197,0.4800000000000001,0.5084924694515488,0.53,0.5846928092547288,4.8,4.0,6.0,5.2
svm,signo_zodiacal_piscis,12,0.5,0.61,0.599090909090909,0.6599999999999999,0.6270129870129869,0.634,0.6594558552043072,6.6,4.4,5.6,3.4
svm,signo_zodiacal_piscis,13,0.5,0.53,0.5199999999999999,0.44000000000000006,0.4477593984962406,0.4800000000000001,0.5388964271023094,4.4,3.8,6.2,5.6
svm,signo_zodiacal_piscis,14,0.5,0.45,0.43038961038961043,0.4,0.4090056022408963,0.48,0.5592642629128697,4.0,5.0,5.0,6.0
svm,signo_zodiacal_piscis,15,0.5,0.51,0.5088888888888888,0.5599999999999999,0.5276172248803828,0.526,0.5910032632486193,5.6,5.4,4.6,4.4
svm,signo_zodiacal_piscis,16,0.5,0.4,0.3799267399267399,0.41999999999999993,0.39046547314578006,0.324,0.44123975413990896,4.2,6.2,3.8,5.8
svm,signo_zodiacal_piscis,17,0.5,0.54,0.5427777777777777,0.6,0.5625560871876661,0.578,0.6577308232702969,6.0,5.2,4.8,4.0
svm,signo_zodiacal_piscis,18,0.5,0.42000000000000004,0.4136363636363636,0.36,0.38057889822595703,0.446,0.49211390613170797,3.6,5.2,4.8,6.4
svm,signo_zodiacal_piscis,19,0.5,0.45,0.47305194805194806,0.5,0.4825396825396826,0.44399999999999995,0.5446421464672239,5.0,6.0,4.0,5.0
svm,signo_zodiacal_piscis,20,0.5,0.58,0.5933333333333334,0.5199999999999999,0.5494736842105262,0.6300000000000001,0.6962927901132235,5.2,3.6,6.4,4.8
svm,signo_zodiacal_piscis,21,0.5,0.49000000000000005,0.4909090909090909,0.45999999999999996,0.4688026885395306,0.51,0.556203980659863,4.6,4.8,5.2,5.4
svm,signo_zodiacal_piscis,22,0.5,0.61,0.6145743145743146,0.52,0.5582903336773305,0.648,0.6672866377688359,5.2,3.0,7.0,4.8
svm,signo_zodiacal_piscis,23,0.5,0.55,0.5535353535353535,0.56,0.5549555707450443,0.558,0.5843453943717101,5.6,4.6,5.4,4.4
svm,signo_zodiacal_piscis,24,0.5,0.54,0.5927272727272728,0.44000000000000006,0.4956641604010025,0.582,0.6193860291755028,4.4,3.6,6.4,5.6
svm,signo_zodiacal_piscis,25,0.5,0.44000000000000006,0.4382395382395382,0.42000000000000004,0.4262273330384786,0.40800000000000003,0.5420103816032609,4.2,5.4,4.6,5.8
svm,signo_zodiacal_piscis,26,0.5,0.5399999999999999,0.5343434343434343,0.4800000000000001,0.5032581453634085,0.514,0.5666975810567142,4.8,4.0,6.0,5.2
svm,signo_zodiacal_piscis,27,0.5,0.4600000000000001,0.4567232767232768,0.48,0.45573998294970164,0.49499999999999994,0.6047570424071972,4.8,5.6,4.4,5.2
svm,signo_zodiacal_piscis,28,0.5,0.53,0.5316666666666666,0.4800000000000001,0.5031578947368421,0.554,0.598891016877859,4.8,4.2,5.8,5.2
svm,signo_zodiacal_piscis,29,0.5,0.4800000000000001,0.48944444444444446,0.32,0.36654970760233924,0.512,0.5744008546493066,3.2,3.6,6.4,6.8
svm,signo_zodiacal_piscis,30,0.5,0.55,0.605952380952381,0.42000000000000004,0.4818521347933113,0.568,0.6214809345281481,4.2,3.2,6.8,5.8
svm,signo_zodiacal_piscis,31,0.5,0.49000000000000005,0.49102564102564106,0.5,0.4904259991216513,0.536,0.5498112432802835,5.0,5.2,4.8,5.0
svm,signo_zodiacal_piscis,32,0.5,0.42000000000000004,0.40844155844155844,0.38,0.38920295390883625,0.404,0.5217746724379851,3.8,5.4,4.6,6.2
svm,signo_zodiacal_piscis,33,0.5,0.6100000000000001,0.6068381618381619,0.62,0.5952518978605935,0.592,0.5936196734122431,6.2,4.0,6.0,3.8
svm,signo_zodiacal_piscis,34,0.5,0.5,0.5013986013986014,0.68,0.5750437967829272,0.47800000000000004,0.5271560445058897,6.8,6.8,3.2,3.2
svm,signo_zodiacal_piscis,35,0.5,0.4699999999999999,0.4766233766233766,0.64,0.5452380952380953,0.488,0.5494877509831071,6.4,7.0,3.0,3.6
svm,signo_zodiacal_piscis,36,0.5,0.47000000000000003,0.4781196581196581,0.52,0.4955148741418764,0.45999999999999996,0.5042014313515861,5.2,5.8,4.2,4.8
svm,signo_zodiacal_piscis,37,0.5,0.52,0.5535042735042734,0.52,0.5195728451563693,0.5860000000000001,0.662898962148962,5.2,4.8,5.2,4.8
svm,signo_zodiacal_piscis,38,0.5,0.5200000000000001,0.5229797979797979,0.56,0.5353649274701906,0.544,0.6154559143986388,5.6,5.2,4.8,4.4
svm,signo_zodiacal_piscis,39,0.5,0.5,0.4955555555555556,0.5,0.4872105263157895,0.502,0.5799436858291347,5.0,5.0,5.0,5.0
svm,signo_zodiacal_piscis,40,0.5,0.48,0.4766666666666667,0.6,0.527016317016317,0.5,0.563479687409254,6.0,6.4,3.6,4.0
