modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
svm,signo_zodiacal_sagitario,1,0.5,0.45999999999999996,0.46515151515151515,0.5,0.4793650793650793,0.43599999999999994,0.4956583504215083,5.0,5.8,4.2,5.0
svm,signo_zodiacal_sagitario,2,0.5,0.38,0.3235930735930736,0.32000000000000006,0.3043794440853264,0.242,0.41820097205855716,3.2,5.6,4.4,6.8
svm,signo_zodiacal_sagitario,3,0.5,0.5,0.5192857142857144,0.34,0.3967672197083962,0.542,0.5695454529131,3.4,3.4,6.6,6.6
svm,signo_zodiacal_sagitario,4,0.5,0.38,0.39632034632034635,0.4800000000000001,0.4333333333333333,0.368,0.4695192795680412,4.8,7.2,2.8,5.2
svm,signo_zodiacal_sagitario,5,0.5,0.49000000000000005,0.48809523809523814,0.6199999999999999,0.5376045523104347,0.504,0.5750224514048042,6.2,6.4,3.6,3.8
svm,signo_zodiacal_sagitario,6,0.5,0.4600000000000001,0.43519480519480525,0.36,0.3868160597572362,0.38499999999999995,0.4982691316251688,3.6,4.4,5.6,6.4
svm,signo_zodiacal_sagitario,7,0.5,0.54,0.5608369408369408,0.44000000000000006,0.48503218831392203,0.58,0.6169110034272572,4.4,3.6,6.4,5.6
svm,signo_zodiacal_sagitario,8,0.5,0.48,0.5057387057387057,0.45999999999999996,0.46963252120070004,0.458,0.5909395559720636,4.6,5.0,5.0,5.4
svm,signo_zodiacal_sagitario,9,0.5,0.5,0.5227272727272727,0.6199999999999999,0.5580552780552781,0.54,0.6161894319131161,6.2,6.2,3.8,3.8
svm,signo_zodiacal_sagitario,10,0.5,0.45,0.4188949938949939,0.38,0.3927809186222162,0.43600000000000005,0.5363456117326086,3.8,4.8,5.2,6.2
svm,signo_zodiacal_sagitario,11,0.5,0.48,0.48115440115440106,0.43999999999999995,0.4568244139761167,0.458,0.5479657564657565,4.4,4.8,5.2,5.6
svm,signo_zodiacal_sagitario,12,0.5,0.48999999999999994,0.504478021978022,0.4800000000000001,0.4702157518525805,0.466,0.5355532810842408,4.8,5.0,5.0,5.2
svm,signo_zodiacal_sagitario,13,0.5,0.43000000000000005,0.42833333333333334,0.32000000000000006,0.35828282828282826,0.384,0.5190221471854598,3.2,4.6,5.4,6.8
svm,signo_zodiacal_sagitario,14,0.5,0.44000000000000006,0.42297258297258294,0.44000000000000006,0.4238345864661654,0.40800000000000003,0.519302430197941,4.4,5.6,4.4,5.6
svm,signo_zodiacal_sagitario,15,0.5,0.53,0.5216783216783216,0.64,0.5727743271221533,0.47400000000000003,0.5138900445959269,6.4,5.8,4.2,3.6
svm,signo_zodiacal_sagitario,16,0.5,0.5599999999999999,0.5628282828282828,0.5199999999999999,0.5357017543859649,0.54,0.588181481916776,5.2,4.0,6.0,4.8
svm,signo_zodiacal_sagitario,17,0.5,0.53,0.5423076923076924,0.58,0.5562958780350085,0.568,0.5846802523242152,5.8,5.2,4.8,4.2
svm,signo_zodiacal_sagitario,18,0.5,0.57,0.5563636363636364,0.66,0.5971746031746031,0.5429999999999999,0.5578390231199829,6.6,5.2,4.8,3.4
svm,signo_zodiacal_sagitario,19,0.5,0.4800000000000001,0.4867521367521368,0.52,0.4984998728705823,0.46799999999999997,0.5175518535472096,5.2,5.6,4.4,4.8
svm,signo_zodiacal_sagitario,20,0.5,0.47000000000000003,0.4909090909090909,0.38,0.4152380952380953,0.45,0.532882626145784,3.8,4.4,5.6,6.2
svm,signo_zodiacal_sagitario,21,0.5,0.41000000000000003,0.4088455988455988,0.4,0.40094594775709325,0.406,0.4688018458150037,4.0,5.8,4.2,6.0
svm,signo_zodiacal_sagitario,22,0.5,0.52,0.5294444444444444,0.6,0.5514511920827709,0.5800000000000001,0.6401728353346,6.0,5.6,4.4,4.0
svm,signo_zodiacal_sagitario,23,0.5,0.45,0.42952380952380953,0.5,0.45868092691622103,0.40800000000000003,0.48008221560001746,5.0,6.0,4.0,5.0
svm,signo_zodiacal_sagitario,24,0.5,0.51,0.5025757575757577,0.5,0.49806637806637805,0.526,0.564571556496479,5.0,4.8,5.2,5.0
svm,signo_zodiacal_sagitario,25,0.5,0.43000000000000005,0.44340659340659344,0.52,0.47426438296003515,0.42799999999999994,0.5245366594190124,5.2,6.6,3.4,4.8
svm,signo_zodiacal_sagitario,26,0.5,0.4600000000000001,0.4625757575757576,0.38,0.40664995822890565,0.414,0.4821942228737893,3.8,4.6,5.4,6.2
svm,signo_zodiacal_sagitario,27,0.5,0.49000000000000005,0.4942857142857142,0.52,0.5002046035805627,0.48600000000000004,0.5875846108655706,5.2,5.4,4.6,4.8
svm,signo_zodiacal_sagitario,28,0.5,0.6799999999999999,0.6736596736596737,0.7000000000000001,0.67434891576768,0.64,0.6361264629763081,7.0,3.4,6.6,3.0
svm,signo_zodiacal_sagitario,29,0.5,0.4800000000000001,0.4707936507936507,0.58,0.5149377990430622,0.4779999999999999,0.542448116640841,5.8,6.2,3.8,4.2
svm,signo_zodiacal_sagitario,30,0.5,0.5800000000000001,0.5878571428571429,0.4600000000000001,0.5109803921568628,0.51,0.5840724444973671,4.6,3.0,7.0,5.4
svm,signo_zodiacal_sagitario,31,0.5,0.6,0.6106227106227107,0.6799999999999999,0.6275691699604743,0.5980000000000001,0.6529524364524365,6.8,4.8,5.2,3.2
