modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
svm,signo_zodiacal_tauro,1,0.5,0.45,0.45802197802197797,0.52,0.48232762406675445,0.48599999999999993,0.5940635742826145,5.2,6.2,3.8,4.8
svm,signo_zodiacal_tauro,2,0.5,0.48,0.4704761904761904,0.42000000000000004,0.4374655220940051,0.45,0.5400049390753725,4.2,4.6,5.4,5.8
svm,signo_zodiacal_tauro,3,0.5,0.5900000000000001,0.5964102564102565,0.5,0.5225890813991501,0.658,0.7152551625361223,5.0,3.2,6.8,5.0
svm,signo_zodiacal_tauro,4,0.5,0.5,0.4751298701298701,0.38,0.41542483660130713,0.5660000000000001,0.581031864764063,3.8,3.8,6.2,6.2
svm,signo_zodiacal_tauro,5,0.5,0.48,0.47757575757575754,0.4600000000000001,0.4678696741854636,0.5379999999999999,0.6101146153468134,4.6,5.0,5.0,5.4
svm,signo_zodiacal_tauro,6,0.5,0.5599999999999999,0.5681818181818181,0.54,0.5507936507936508,0.576,0.6619722869150113,5.4,4.2,5.8,4.6
svm,signo_zodiacal_tauro,7,0.5,0.48,0.47435897435897434,0.5199999999999999,0.4859839816933639,0.504,0.5592240002859198,5.2,5.6,4.4,4.8
svm,signo_zodiacal_tauro,8,0.5,0.4,0.3745299145299145,0.36000000000000004,0.3624472412916349,0.366,0.4669572213132584,3.6,5.6,4.4,6.4
svm,signo_zodiacal_tauro,9,0.5,0.43,0.39122655122655126,0.32,0.3472917588087867,0.44399999999999995,0.5518956537958085,3.2,4.6,5.4,6.8
svm,signo_zodiacal_tauro,10,0.5,0.39,0.35666666666666663,0.32,0.32919191919191915,0.434,0.4986130895248542,3.2,5.4,4.6,6.8
svm,signo_zodiacal_tauro,11,0.5,0.53,0.5392857142857143,0.32,0.388562091503268,0.548,0.5925089150615467,3.2,2.6,7.4,6.8
svm,signo_zodiacal_tauro,12,0.5,0.38,0.37619047619047624,0.42000000000000004,0.39203490008443576,0.34800000000000003,0.49383337517315845,4.2,6.6,3.4,5.8
svm,signo_zodiacal_tauro,13,0.5,0.47000000000000003,0.4634188034188035,0.42000000000000004,0.4318332062039156,0.48600000000000004,0.5542034344224747,4.2,4.8,5.2,5.8
svm,signo_zodiacal_tauro,14,0.5,0.4699999999999999,0.4734776334776335,0.5,0.4777567448031844,0.48600000000000004,0.5828096882477688,5.0,5.6,4.4,5.0
svm,signo_zodiacal_tauro,15,0.5,0.5199999999999999,0.5319902319902319,0.5199999999999999,0.5145129447660071,0.5439999999999999,0.6106850371850372,5.2,4.8,5.2,4.8
svm,signo_zodiacal_tauro,16,0.5,0.44000000000000006,0.4162698412698413,0.36,0.3705353126405758,0.506,0.5729443056943057,3.6,4.8,5.2,6.4
svm,signo_zodiacal_tauro,17,0.5,0.51,0.5119347319347319,0.56,0.5239772256728779,0.4640000000000001,0.5634644444822463,5.6,5.4,4.6,4.4
