modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
svm,signo_zodiacal_virgo,1,0.5,0.5,0.4977355977355978,0.5599999999999999,0.517085450781103,0.5399999999999999,0.5577367579101326,5.6,5.6,4.4,4.4
svm,signo_zodiacal_virgo,2,0.5,0.47000000000000003,0.47610389610389603,0.5,0.48126050420168076,0.462,0.5025484750028094,5.0,5.6,4.4,5.0
svm,signo_zodiacal_virgo,3,0.5,0.47000000000000003,0.4666666666666666,0.36,0.39014939309056956,0.42200000000000004,0.5009129193819597,3.6,4.2,5.8,6.4
svm,signo_zodiacal_virgo,4,0.5,0.5599999999999999,0.573968253968254,0.5800000000000001,0.5686677924758421,0.55,0.5965888919302232,5.8,4.6,5.4,4.2
svm,signo_zodiacal_virgo,5,0.5,0.56,0.5857142857142857,0.5599999999999999,0.5625668449197861,0.6199999999999999,0.652327309944957,5.6,4.4,5.6,4.4
svm,signo_zodiacal_virgo,6,0.5,0.5,0.5553968253968253,0.38,0.4030409356725146,0.46399999999999997,0.5578582263110127,3.8,3.8,6.2,6.2
svm,signo_zodiacal_virgo,7,0.5,0.54,0.5355555555555556,0.33999999999999997,0.3930094466936572,0.4880000000000001,0.5898327881269058,3.4,2.6,7.4,6.6
svm,signo_zodiacal_virgo,8,0.5,0.5800000000000001,0.5923076923076923,0.5599999999999999,0.5662696761667012,0.608,0.6553050887021475,5.6,4.0,6.0,4.4
svm,signo_zodiacal_virgo,9,0.5,0.49000000000000005,0.4976190476190476,0.42000000000000004,0.4516934046345811,0.45,0.5496321266452846,4.2,4.4,5.6,5.8
svm,signo_zodiacal_virgo,10,0.5,0.56,0.5733333333333333,0.38,0.456078431372549,0.592,0.6376165197032069,3.8,2.6,7.4,6.2
svm,signo_zodiacal_virgo,11,0.5,0.35,0.32597402597402597,0.24000000000000005,0.24682539682539678,0.279,0.4144698306509452,2.4,5.4,4.6,7.6
svm,signo_zodiacal_virgo,12,0.5,0.48,0.47246642246642245,0.48,0.4706298412853804,0.48600000000000004,0.5675335316558227,4.8,5.2,4.8,5.2
svm,signo_zodiacal_virgo,13,0.5,0.52,0.5167099567099567,0.6799999999999999,0.5857060041407868,0.4720000000000001,0.5250305984864809,6.8,6.4,3.6,3.2
svm,signo_zodiacal_virgo,14,0.5,0.45,0.4155122655122655,0.38,0.38769919451034,0.462,0.5370803749054522,3.8,4.8,5.2,6.2
svm,signo_zodiacal_virgo,15,0.5,0.56,0.5590909090909091,0.5599999999999999,0.5573479152426521,0.622,0.6635866986470702,5.6,4.4,5.6,4.4
svm,signo_zodiacal_virgo,16,0.5,0.51,0.5302874902874903,0.5199999999999999,0.49238252822692186,0.5159999999999999,0.5587416908856537,5.2,5.0,5.0,4.8
svm,signo_zodiacal_virgo,17,0.5,0.45,0.40048552754435107,0.38,0.3681320949432404,0.438,0.4854776051262119,3.8,4.8,5.2,6.2
svm,signo_zodiacal_virgo,18,0.5,0.49000000000000005,0.4945104895104895,0.5199999999999999,0.5033264320220842,0.5559999999999999,0.6276889293197342,5.2,5.4,4.6,4.8
svm,signo_zodiacal_virgo,19,0.5,0.5700000000000001,0.5722727272727273,0.52,0.5422222222222222,0.592,0.620402050735642,5.2,3.8,6.2,4.8
svm,signo_zodiacal_virgo,20,0.5,0.45,0.4176923076923077,0.33999999999999997,0.36173913043478256,0.44600000000000006,0.5228682053240877,3.4,4.4,5.6,6.6
svm,signo_zodiacal_virgo,21,0.5,0.54,0.5305916305916306,0.5399999999999999,0.5282790309106098,0.537,0.643805879191328,5.4,4.6,5.4,4.6
svm,signo_zodiacal_virgo,22,0.5,0.54,0.5334498834498834,0.5399999999999998,0.5280034543461654,0.5599999999999999,0.6181456017322889,5.4,4.6,5.4,4.6
svm,signo_zodiacal_virgo,23,0.5,0.43999999999999995,0.429047619047619,0.42000000000000004,0.4210188573036871,0.438,0.5190293578970049,4.2,5.4,4.6,5.8
