,pos_rate_bootstrap,pos_rate_bootstrap,cv_accuracy,cv_accuracy,cv_precision,cv_precision,cv_recall,cv_recall,cv_f1,cv_f1,cv_roc_auc,cv_roc_auc,cv_pr_auc,cv_pr_auc,cv_tp_mean,cv_tp_mean,cv_fp_mean,cv_fp_mean,cv_tn_mean,cv_tn_mean,cv_fn_mean,cv_fn_mean
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
signo,,,,,,,,,,,,,,,,,,,,,,
signo_zodiacal_acuario,0.5,0.0,0.49972000000000005,0.05856262256356904,0.49883679854888835,0.0679439655348581,0.49851999999999996,0.1054592476068914,0.4865326480664538,0.07545758003035094,0.501994,0.07777727542892132,0.5673909812999178,0.060171934405344005,4.9852,1.054592476068914,4.9908,1.0788527269339523,5.0092,1.0788527269339523,5.0148,1.0545924760689143
signo_zodiacal_aries,0.5,0.0,0.503,0.060573412290815386,0.5033681098880479,0.06805636926222568,0.50784,0.11359375635555823,0.4927732386741369,0.0804020003274357,0.50473,0.07867220431297785,0.5711936190520865,0.061014104454592516,5.078399999999999,1.1359375635555826,5.0184,1.100037091741189,4.9816,1.100037091741189,4.921600000000001,1.1359375635555826
signo_zodiacal_cancer,0.5,0.0,0.49238,0.06325296415939649,0.490654879413672,0.07304363102102049,0.48992,0.10766604643577389,0.4786284931445351,0.08102142268291014,0.491918,0.083620620017938,0.5624540621270714,0.06293005929487283,4.8991999999999996,1.0766604643577387,5.0516000000000005,1.0359361792770199,4.9483999999999995,1.03593617927702,5.1008000000000004,1.0766604643577389
signo_zodiacal_capricornio,0.5,0.0,0.50072,0.06245705217774423,0.5009520017357942,0.07199330799100413,0.50556,0.11369670303294256,0.4904414122315867,0.08222399828728681,0.499382,0.08164324414566862,0.5661619708133284,0.06321153385811722,5.0556,1.1369670303294248,5.0412,1.1080243661544558,4.9588,1.1080243661544558,4.9444,1.1369670303294248
signo_zodiacal_escorpio,0.5,0.0,0.50276,0.061916473570438384,0.5046733135491959,0.07411844845175079,0.49739999999999995,0.1061120140183856,0.4882952548832208,0.07798425134342055,0.502518,0.0803789476570383,0.5712644319227383,0.06188829108741676,4.974,1.061120140183857,4.9188,1.1486886136208212,5.0812,1.1486886136208214,5.026,1.061120140183857
signo_zodiacal_geminis,0.5,0.0,0.50124,0.062201289382147085,0.5012737438911278,0.07075035284882969,0.50864,0.11136856070105806,0.4926997634029901,0.08025856597924438,0.500204,0.07870524388393484,0.5699602129212377,0.060590900395737196,5.086399999999999,1.1136856070105803,5.0616,1.070896390019274,4.9384,1.0708963900192738,4.913600000000001,1.1136856070105803
signo_zodiacal_leo,0.5,0.0,0.5044000000000001,0.0612580206191839,0.5052187937758835,0.07024229045516858,0.50764,0.10900915738040347,0.49427521382747025,0.07870408086088757,0.50374,0.07594297248686198,0.5696630313094198,0.05984960510974958,5.0764,1.0900915738040347,4.9883999999999995,1.0765236859879053,5.0116000000000005,1.076523685987905,4.9236,1.0900915738040347
signo_zodiacal_libra,0.5,0.0,0.5003,0.05832077353096838,0.4996502362876202,0.07117378230479655,0.49288,0.11078380614244493,0.48381510391783683,0.07926411805152159,0.498462,0.07754368189093429,0.5659795419219583,0.0586430379943822,4.9288,1.1078380614244487,4.9228000000000005,1.0675952788199827,5.0771999999999995,1.0675952788199827,5.0712,1.1078380614244487
signo_zodiacal_piscis,0.5,0.0,0.49702,0.06251348231335291,0.4979954921669318,0.07183855633120878,0.49639999999999995,0.10820377124769935,0.48478221088104945,0.07887747925794258,0.49919,0.07870697221307592,0.5677567043417538,0.060504920637253275,4.964,1.0820377124769933,5.0236,1.1074547177667393,4.9764,1.107454717766739,5.036,1.0820377124769933
signo_zodiacal_sagitario,0.5,0.0,0.49872000000000005,0.060049758926195386,0.49966005814446995,0.0685564883674774,0.49732,0.1028258913302273,0.4861724556940495,0.07501140811600825,0.498738,0.07837611234280467,0.5668480570784564,0.06017122543207238,4.973199999999999,1.0282589133022737,4.9988,1.0652079120019635,5.0012,1.0652079120019633,5.026800000000001,1.0282589133022735
signo_zodiacal_tauro,0.5,0.0,0.4968,0.06029785786681527,0.49538716734246147,0.06680647122763538,0.50724,0.10665050896326866,0.49008497488313074,0.07735425846664346,0.497084,0.07885153183131126,0.5674773890591692,0.060548283732402376,5.0724,1.066505089632686,5.1364,1.0455148217433219,4.8636,1.0455148217433219,4.9276,1.0665050896326858
signo_zodiacal_virgo,0.5,0.0,0.49904000000000004,0.06153903236978965,0.4999603212886185,0.07083313642065998,0.49872,0.10722198799415554,0.48668070234371325,0.07854519446493602,0.5012800000000001,0.08073168405043485,0.5708400132744792,0.062031232884931245,4.9872,1.0722198799415557,5.006399999999999,1.1124901386606691,4.993600000000001,1.1124901386606691,5.0128,1.0722198799415557
