modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
svm_full,signo_zodiacal_capricornio,1,0.5,0.4,0.4065501165501165,0.52,0.45357193531106577,0.334,0.46725396172454986,5.2,7.2,2.8,4.8
svm_full,signo_zodiacal_capricornio,2,0.5,0.53,0.520952380952381,0.72,0.6040869565217392,0.532,0.5801395163144389,7.2,6.6,3.4,2.8
svm_full,signo_zodiacal_capricornio,3,0.5,0.4699999999999999,0.46571428571428564,0.44000000000000006,0.4505882352941176,0.43800000000000006,0.5632403656714802,4.4,5.0,5.0,5.6
svm_full,signo_zodiacal_capricornio,4,0.5,0.45,0.43526695526695525,0.33999999999999997,0.37596343800678167,0.41400000000000003,0.5102593087167391,3.4,4.4,5.6,6.6
svm_full,signo_zodiacal_capricornio,5,0.5,0.49000000000000005,0.47333333333333333,0.48,0.4636060606060606,0.546,0.5733986913499297,4.8,5.0,5.0,5.2
svm_full,signo_zodiacal_capricornio,6,0.5,0.48999999999999994,0.4934065934065933,0.5999999999999999,0.5384057971014493,0.506,0.5564965650964103,6.0,6.2,3.8,4.0
svm_full,signo_zodiacal_capricornio,7,0.5,0.5,0.5010256410256411,0.6799999999999999,0.5687818654775176,0.516,0.5813339062897886,6.8,6.8,3.2,3.2
svm_full,signo_zodiacal_capricornio,8,0.5,0.54,0.5457575757575758,0.5,0.5104473304473304,0.546,0.5965739070870649,5.0,4.2,5.8,5.0
svm_full,signo_zodiacal_capricornio,9,0.5,0.5,0.5367399267399267,0.5399999999999999,0.5193148880105402,0.47000000000000003,0.6037316670257846,5.4,5.4,4.6,4.6
svm_full,signo_zodiacal_capricornio,10,0.5,0.42000000000000004,0.39111111111111113,0.38,0.382511961722488,0.41,0.5263988882634394,3.8,5.4,4.6,6.2
svm_full,signo_zodiacal_capricornio,11,0.5,0.51,0.4966666666666667,0.45999999999999996,0.4700797448165869,0.4840000000000001,0.5476717906276728,4.6,4.4,5.6,5.4
svm_full,signo_zodiacal_capricornio,12,0.5,0.5900000000000001,0.5914285714285714,0.72,0.640969696969697,0.612,0.6528147228588405,7.2,5.4,4.6,2.8
svm_full,signo_zodiacal_capricornio,13,0.5,0.51,0.48769230769230765,0.43999999999999995,0.436136889538424,0.47000000000000003,0.5388535826918179,4.4,4.2,5.8,5.6
svm_full,signo_zodiacal_capricornio,14,0.5,0.5800000000000001,0.5856060606060606,0.48,0.5177777777777778,0.6599999999999999,0.7022508739110906,4.8,3.2,6.8,5.2
svm_full,signo_zodiacal_capricornio,15,0.5,0.39,0.3658730158730159,0.26,0.30272617819057446,0.42200000000000004,0.5101458900576548,2.6,4.8,5.2,7.4
svm_full,signo_zodiacal_capricornio,16,0.5,0.58,0.6177272727272727,0.52,0.5586173767752716,0.636,0.6285230967862547,5.2,3.6,6.4,4.8
svm_full,signo_zodiacal_capricornio,17,0.5,0.53,0.5326695526695527,0.45999999999999996,0.48771413828689364,0.594,0.6002240418680047,4.6,4.0,6.0,5.4
svm_full,signo_zodiacal_capricornio,18,0.5,0.51,0.5149100899100899,0.5,0.5019892014776925,0.528,0.5365764857777241,5.0,4.8,5.2,5.0
svm_full,signo_zodiacal_capricornio,19,0.5,0.4,0.4129545454545454,0.4800000000000001,0.44007326007326003,0.41400000000000003,0.5356023725156851,4.8,6.8,3.2,5.2
svm_full,signo_zodiacal_capricornio,20,0.5,0.49000000000000005,0.46571428571428564,0.36,0.39725490196078433,0.516,0.5747912240837938,3.6,3.8,6.2,6.4
svm_full,signo_zodiacal_capricornio,21,0.5,0.4800000000000001,0.44904761904761903,0.30000000000000004,0.3388087866725638,0.48599999999999993,0.5590536510273352,3.0,3.4,6.6,7.0
svm_full,signo_zodiacal_capricornio,22,0.5,0.45,0.45071428571428573,0.34,0.3855882352941177,0.40800000000000003,0.5220242382316685,3.4,4.4,5.6,6.6
svm_full,signo_zodiacal_capricornio,23,0.5,0.42000000000000004,0.425,0.5,0.45606060606060606,0.39999999999999997,0.49043088447500216,5.0,6.6,3.4,5.0
svm_full,signo_zodiacal_capricornio,24,0.5,0.5,0.4900432900432901,0.4600000000000001,0.4674942704354469,0.512,0.5935383782883783,4.6,4.6,5.4,5.4
svm_full,signo_zodiacal_capricornio,25,0.5,0.42000000000000004,0.37103174603174605,0.34,0.34317411174996315,0.34,0.44491912765596975,3.4,5.0,5.0,6.6
svm_full,signo_zodiacal_capricornio,26,0.5,0.4600000000000001,0.45090909090909087,0.45999999999999996,0.4461269841269841,0.44799999999999995,0.4965723247340894,4.6,5.4,4.6,5.4
svm_full,signo_zodiacal_capricornio,27,0.5,0.56,0.6503968253968254,0.36,0.4343014398741952,0.5439999999999999,0.6575363133598426,3.6,2.4,7.6,6.4
svm_full,signo_zodiacal_capricornio,28,0.5,0.51,0.49673659673659676,0.52,0.4999654934437543,0.5189999999999999,0.5667876896065751,5.2,5.0,5.0,4.8
svm_full,signo_zodiacal_capricornio,29,0.5,0.5700000000000001,0.5508838383838384,0.72,0.6146520146520146,0.6220000000000001,0.6528897742264614,7.2,5.8,4.2,2.8
svm_full,signo_zodiacal_capricornio,30,0.5,0.5700000000000001,0.5756854256854257,0.52,0.5374636457453794,0.562,0.6444753349505671,5.2,3.8,6.2,4.8
svm_full,signo_zodiacal_capricornio,31,0.5,0.5199999999999999,0.5677777777777778,0.5,0.5128086124401914,0.492,0.5652281052281052,5.0,4.6,5.4,5.0
svm_full,signo_zodiacal_capricornio,32,0.5,0.5599999999999999,0.5561688311688312,0.5399999999999999,0.5436041083099907,0.542,0.5439022339889212,5.4,4.2,5.8,4.6
svm_full,signo_zodiacal_capricornio,33,0.5,0.39,0.4057142857142857,0.43999999999999995,0.41100000000000003,0.356,0.47749743170486203,4.4,6.6,3.4,5.6
svm_full,signo_zodiacal_capricornio,34,0.5,0.5599999999999999,0.5516666666666667,0.5399999999999999,0.5428282828282829,0.58,0.6191488686751845,5.4,4.2,5.8,4.6
svm_full,signo_zodiacal_capricornio,35,0.5,0.39,0.3593650793650794,0.27999999999999997,0.3109184726522188,0.38199999999999995,0.49584598691642034,2.8,5.0,5.0,7.2
svm_full,signo_zodiacal_capricornio,36,0.5,0.43,0.43712121212121213,0.36,0.3837928153717627,0.42400000000000004,0.5215012673085428,3.6,5.0,5.0,6.4
svm_full,signo_zodiacal_capricornio,37,0.5,0.5599999999999999,0.5404395604395604,0.4800000000000001,0.4828547071002314,0.548,0.6105777729322621,4.8,3.6,6.4,5.2
svm_full,signo_zodiacal_capricornio,38,0.5,0.43,0.43190476190476196,0.5599999999999999,0.48166488413547237,0.43499999999999994,0.5774833412201834,5.6,7.0,3.0,4.4
svm_full,signo_zodiacal_capricornio,39,0.5,0.5,0.49428571428571433,0.38,0.42522875816993455,0.512,0.5819166476798057,3.8,3.8,6.2,6.2
svm_full,signo_zodiacal_capricornio,40,0.5,0.5599999999999999,0.5462515262515263,0.6200000000000001,0.5766742944317315,0.5980000000000001,0.6353398421324117,6.2,5.0,5.0,3.8
svm_full,signo_zodiacal_capricornio,41,0.5,0.53,0.5333333333333333,0.56,0.5444976076555024,0.518,0.5763418791390927,5.6,5.0,5.0,4.4
svm_full,signo_zodiacal_capricornio,42,0.5,0.51,0.5305555555555556,0.38,0.439766081871345,0.51,0.5797724656664285,3.8,3.6,6.4,6.2
svm_full,signo_zodiacal_capricornio,43,0.5,0.5800000000000001,0.6113636363636363,0.54,0.5535353535353535,0.552,0.5985949157481665,5.4,3.8,6.2,4.6
svm_full,signo_zodiacal_capricornio,44,0.5,0.44000000000000006,0.44079254079254077,0.52,0.47464857796665577,0.426,0.5153457663767261,5.2,6.4,3.6,4.8
svm_full,signo_zodiacal_capricornio,45,0.5,0.5599999999999999,0.5563636363636364,0.6,0.5767099567099567,0.5519999999999999,0.5660610778110777,6.0,4.8,5.2,4.0
svm_full,signo_zodiacal_capricornio,46,0.5,0.44000000000000006,0.44313131313131315,0.5,0.46702437912964234,0.44400000000000006,0.5409997337543777,5.0,6.2,3.8,5.0
svm_full,signo_zodiacal_capricornio,47,0.5,0.6100000000000001,0.5983333333333333,0.6599999999999999,0.618909090909091,0.6260000000000001,0.6408250523985818,6.6,4.4,5.6,3.4
svm_full,signo_zodiacal_capricornio,48,0.5,0.52,0.5327716727716727,0.58,0.5446876246650106,0.48,0.5622270913640882,5.8,5.4,4.6,4.2
svm_full,signo_zodiacal_capricornio,49,0.5,0.51,0.5122655122655122,0.52,0.5107957058421455,0.48200000000000004,0.5551458094708869,5.2,5.0,5.0,4.8
svm_full,signo_zodiacal_capricornio,50,0.5,0.5,0.5091330891330891,0.6,0.54627765064836,0.49000000000000005,0.5413996836496835,6.0,6.0,4.0,4.0
svm_full,signo_zodiacal_capricornio,51,0.5,0.58,0.6757575757575757,0.4,0.4694476576055523,0.618,0.6763450905819327,4.0,2.4,7.6,6.0
svm_full,signo_zodiacal_capricornio,52,0.5,0.4,0.3617521367521368,0.33999999999999997,0.3457220950928045,0.41,0.501380034997682,3.4,5.4,4.6,6.6
svm_full,signo_zodiacal_capricornio,53,0.5,0.54,0.5285714285714286,0.7,0.5988344988344988,0.496,0.5611760635305527,7.0,6.2,3.8,3.0
svm_full,signo_zodiacal_capricornio,54,0.5,0.49000000000000005,0.48694444444444446,0.52,0.4896337872653662,0.5159999999999999,0.5946860526814086,5.2,5.4,4.6,4.8
svm_full,signo_zodiacal_capricornio,55,0.5,0.47000000000000003,0.44571428571428573,0.36,0.38677871148459386,0.46799999999999997,0.5173233155733156,3.6,4.2,5.8,6.4
svm_full,signo_zodiacal_capricornio,56,0.5,0.38,0.3555555555555555,0.27999999999999997,0.300747322852586,0.316,0.4456480686496166,2.8,5.2,4.8,7.2
svm_full,signo_zodiacal_capricornio,57,0.5,0.55,0.5952380952380952,0.38,0.46045751633986925,0.5559999999999999,0.636082055801096,3.8,2.8,7.2,6.2
svm_full,signo_zodiacal_capricornio,58,0.5,0.39,0.3882828282828283,0.38,0.38355889724310777,0.378,0.5233113291936821,3.8,6.0,4.0,6.2
svm_full,signo_zodiacal_capricornio,59,0.5,0.4699999999999999,0.45802197802197797,0.48,0.4540269704719832,0.466,0.5174091355840582,4.8,5.4,4.6,5.2
svm_full,signo_zodiacal_capricornio,60,0.5,0.36000000000000004,0.3521717171717172,0.36,0.3540533151059467,0.396,0.5107977321096515,3.6,6.4,3.6,6.4
svm_full,signo_zodiacal_capricornio,61,0.5,0.54,0.5382672882672883,0.6,0.5654551398258493,0.6220000000000001,0.6639892205317901,6.0,5.2,4.8,4.0
svm_full,signo_zodiacal_capricornio,62,0.5,0.52,0.5172979797979798,0.5599999999999999,0.5290212711265343,0.532,0.5813313794049088,5.6,5.2,4.8,4.4
svm_full,signo_zodiacal_capricornio,63,0.5,0.55,0.5642002442002442,0.5,0.5200673038093957,0.528,0.5998701705071674,5.0,4.0,6.0,5.0
svm_full,signo_zodiacal_capricornio,64,0.5,0.49000000000000005,0.4870512820512821,0.5199999999999999,0.4977472667175185,0.4459999999999999,0.5225973652250742,5.2,5.4,4.6,4.8
svm_full,signo_zodiacal_capricornio,65,0.5,0.5599999999999999,0.5609523809523809,0.52,0.5220733652312599,0.5199999999999999,0.5787561137692717,5.2,4.0,6.0,4.8
svm_full,signo_zodiacal_capricornio,66,0.5,0.54,0.5383838383838383,0.41999999999999993,0.4635964912280701,0.51,0.5474244648540314,4.2,3.4,6.6,5.8
svm_full,signo_zodiacal_capricornio,67,0.5,0.59,0.5922727272727272,0.5,0.5344444444444443,0.582,0.6076604784104783,5.0,3.2,6.8,5.0
svm_full,signo_zodiacal_capricornio,68,0.5,0.43,0.3375757575757576,0.32,0.32082023239917973,0.4,0.5056019654580026,3.2,4.6,5.4,6.8
svm_full,signo_zodiacal_capricornio,69,0.5,0.48999999999999994,0.4772222222222222,0.38,0.4194152046783626,0.506,0.5440661546056283,3.8,4.0,6.0,6.2
svm_full,signo_zodiacal_capricornio,70,0.5,0.5700000000000001,0.5927716727716728,0.5,0.5299125050477856,0.576,0.6368626634803105,5.0,3.6,6.4,5.0
svm_full,signo_zodiacal_capricornio,71,0.5,0.38,0.3838311688311688,0.27999999999999997,0.31507002801120443,0.384,0.4899757079006305,2.8,5.2,4.8,7.2
svm_full,signo_zodiacal_capricornio,72,0.5,0.49000000000000005,0.500952380952381,0.48,0.48684491978609634,0.458,0.527111770410532,4.8,5.0,5.0,5.2
svm_full,signo_zodiacal_capricornio,73,0.5,0.6,0.6253113553113553,0.5399999999999999,0.5691901108269395,0.662,0.6968347208347208,5.4,3.4,6.6,4.6
svm_full,signo_zodiacal_capricornio,74,0.5,0.53,0.6251948051948052,0.36,0.42491129785247433,0.5319999999999999,0.5877522569449815,3.6,3.0,7.0,6.4
svm_full,signo_zodiacal_capricornio,75,0.5,0.45,0.44564102564102565,0.33999999999999997,0.3725057208237986,0.442,0.5240501634588323,3.4,4.4,5.6,6.6
svm_full,signo_zodiacal_capricornio,76,0.5,0.56,0.5673076923076923,0.6399999999999999,0.594731664470795,0.506,0.587603785103785,6.4,5.2,4.8,3.6
svm_full,signo_zodiacal_capricornio,77,0.5,0.48,0.4630252100840336,0.5599999999999999,0.4950386215092098,0.466,0.546926555470673,5.6,6.0,4.0,4.4
svm_full,signo_zodiacal_capricornio,78,0.5,0.45,0.4350505050505051,0.5199999999999999,0.4703476874003189,0.43200000000000005,0.4930440376616847,5.2,6.2,3.8,4.8
svm_full,signo_zodiacal_capricornio,79,0.5,0.51,0.509090909090909,0.34,0.39327731092436974,0.5000000000000001,0.5663198821302536,3.4,3.2,6.8,6.6
svm_full,signo_zodiacal_capricornio,80,0.5,0.4800000000000001,0.48101398601398604,0.44000000000000006,0.4450517598343685,0.472,0.5694147241647242,4.4,4.8,5.2,5.6
svm_full,signo_zodiacal_capricornio,81,0.5,0.51,0.5086601307189542,0.56,0.5219564061669325,0.514,0.5549665714402556,5.6,5.4,4.6,4.4
svm_full,signo_zodiacal_capricornio,82,0.5,0.54,0.5319047619047618,0.6599999999999999,0.5790267379679144,0.571,0.5970556242862743,6.6,5.8,4.2,3.4
svm_full,signo_zodiacal_capricornio,83,0.5,0.63,0.6352092352092351,0.58,0.6039215686274509,0.662,0.6774840692503231,5.8,3.2,6.8,4.2
svm_full,signo_zodiacal_capricornio,84,0.5,0.5,0.5255555555555554,0.4,0.4440085061137693,0.5479999999999999,0.6166093455048564,4.0,4.0,6.0,6.0
svm_full,signo_zodiacal_capricornio,85,0.5,0.42000000000000004,0.41535353535353536,0.4,0.4068170426065163,0.43400000000000005,0.5350806964793033,4.0,5.6,4.4,6.0
svm_full,signo_zodiacal_capricornio,86,0.5,0.5000000000000001,0.4947630147630148,0.5399999999999999,0.5145210853220006,0.5,0.5506380471953227,5.4,5.4,4.6,4.6
svm_full,signo_zodiacal_capricornio,87,0.5,0.5800000000000001,0.5812698412698412,0.45999999999999996,0.5039884023784953,0.63,0.691166063898262,4.6,3.0,7.0,5.4
svm_full,signo_zodiacal_capricornio,88,0.5,0.54,0.5427849927849928,0.54,0.5374371758272687,0.5309999999999999,0.5618001612250838,5.4,4.6,5.4,4.6
svm_full,signo_zodiacal_capricornio,89,0.5,0.48999999999999994,0.47777777777777786,0.5,0.48253588516746404,0.53,0.5872431924800345,5.0,5.2,4.8,5.0
svm_full,signo_zodiacal_capricornio,90,0.5,0.51,0.5076923076923077,0.5399999999999999,0.520303723736218,0.4920000000000001,0.5531454531880228,5.4,5.2,4.8,4.6
