modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
svm_full,signo_zodiacal_geminis,1,0.5,0.53,0.5230769230769231,0.6000000000000001,0.5557971014492754,0.5660000000000001,0.6562289470934981,6.0,5.4,4.6,4.0
svm_full,signo_zodiacal_geminis,2,0.5,0.47000000000000003,0.4444444444444445,0.42000000000000004,0.42170760233918125,0.43200000000000005,0.5210783654769723,4.2,4.8,5.2,5.8
svm_full,signo_zodiacal_geminis,3,0.5,0.53,0.548968253968254,0.42000000000000004,0.4695768833849329,0.5519999999999999,0.5842084386202033,4.2,3.6,6.4,5.8
svm_full,signo_zodiacal_geminis,4,0.5,0.5,0.4953928424516659,0.6,0.5344375431331952,0.548,0.6151285642462113,6.0,6.0,4.0,4.0
svm_full,signo_zodiacal_geminis,5,0.5,0.45,0.4621794871794872,0.4600000000000001,0.4557843885075005,0.41,0.5224648064353946,4.6,5.6,4.4,5.4
svm_full,signo_zodiacal_geminis,6,0.5,0.5900000000000001,0.6046176046176046,0.5399999999999999,0.5646469113961373,0.654,0.717515861589391,5.4,3.6,6.4,4.6
svm_full,signo_zodiacal_geminis,7,0.5,0.41000000000000003,0.38181818181818183,0.38,0.37863408521303255,0.41200000000000003,0.5241854469060352,3.8,5.6,4.4,6.2
svm_full,signo_zodiacal_geminis,8,0.5,0.49000000000000005,0.48229352346999405,0.56,0.5082605503658135,0.5,0.5442760644068694,5.6,5.8,4.2,4.4
svm_full,signo_zodiacal_geminis,9,0.5,0.5599999999999999,0.5615584415584415,0.43999999999999995,0.479593837535014,0.584,0.5911742479227,4.4,3.2,6.8,5.6
svm_full,signo_zodiacal_geminis,10,0.5,0.45,0.45787545787545786,0.38,0.4089379458877372,0.458,0.5251594706463127,3.8,4.8,5.2,6.2
svm_full,signo_zodiacal_geminis,11,0.5,0.5199999999999999,0.550952380952381,0.42000000000000004,0.4690671420083185,0.506,0.5459157570156022,4.2,3.8,6.2,5.8
svm_full,signo_zodiacal_geminis,12,0.5,0.5900000000000001,0.6026695526695527,0.5199999999999999,0.5549363605091159,0.6339999999999999,0.6350317450007852,5.2,3.4,6.6,4.8
svm_full,signo_zodiacal_geminis,13,0.5,0.6,0.60008658008658,0.6199999999999999,0.5985714285714285,0.6040000000000001,0.6791316354783846,6.2,4.2,5.8,3.8
svm_full,signo_zodiacal_geminis,14,0.5,0.47000000000000003,0.4839577089577089,0.5199999999999999,0.49660564454614803,0.49799999999999994,0.6099978632478632,5.2,5.8,4.2,4.8
svm_full,signo_zodiacal_geminis,15,0.5,0.5199999999999999,0.4520202020202021,0.42000000000000004,0.43383458646616535,0.506,0.5550553510816669,4.2,3.8,6.2,5.8
svm_full,signo_zodiacal_geminis,16,0.5,0.49000000000000005,0.5599999999999999,0.4,0.44119658119658123,0.48999999999999994,0.5916201828786968,4.0,4.2,5.8,6.0
svm_full,signo_zodiacal_geminis,17,0.5,0.51,0.49769480519480513,0.6599999999999999,0.5636996336996336,0.51,0.5495600212481018,6.6,6.4,3.6,3.4
svm_full,signo_zodiacal_geminis,18,0.5,0.53,0.5501587301587302,0.42000000000000004,0.4573898547273161,0.542,0.5783044412587757,4.2,3.6,6.4,5.8
svm_full,signo_zodiacal_geminis,19,0.5,0.4600000000000001,0.46306722689075624,0.48,0.460958605664488,0.46399999999999997,0.5507284496549202,4.8,5.6,4.4,5.2
svm_full,signo_zodiacal_geminis,20,0.5,0.48999999999999994,0.4963888888888889,0.5800000000000001,0.5262186234817814,0.524,0.5388361540420364,5.8,6.0,4.0,4.2
svm_full,signo_zodiacal_geminis,21,0.5,0.5800000000000001,0.5766233766233766,0.68,0.6192380952380953,0.56,0.5999511501570326,6.8,5.2,4.8,3.2
svm_full,signo_zodiacal_geminis,22,0.5,0.5700000000000001,0.5625840825840827,0.7000000000000001,0.6204057971014493,0.586,0.6289648849602409,7.0,5.6,4.4,3.0
svm_full,signo_zodiacal_geminis,23,0.5,0.53,0.5826923076923076,0.52,0.5279357116313639,0.506,0.5652260892702069,5.2,4.6,5.4,4.8
svm_full,signo_zodiacal_geminis,24,0.5,0.37,0.3761904761904762,0.43999999999999995,0.39649122807017545,0.38,0.47102657576341783,4.4,7.0,3.0,5.6
svm_full,signo_zodiacal_geminis,25,0.5,0.4800000000000001,0.4867521367521368,0.58,0.5262776506483601,0.553,0.6314441022513778,5.8,6.2,3.8,4.2
svm_full,signo_zodiacal_geminis,26,0.5,0.54,0.5262698412698412,0.6799999999999999,0.5860566801619433,0.578,0.6253791296422875,6.8,6.0,4.0,3.2
svm_full,signo_zodiacal_geminis,27,0.5,0.51,0.5034498834498835,0.4999999999999999,0.494182739457339,0.51,0.5991854262868194,5.0,4.8,5.2,5.0
svm_full,signo_zodiacal_geminis,28,0.5,0.47000000000000003,0.4572222222222223,0.48,0.46203508771929824,0.42400000000000004,0.5206309621750798,4.8,5.4,4.6,5.2
svm_full,signo_zodiacal_geminis,29,0.5,0.5700000000000001,0.6266233766233766,0.48,0.5253374076903489,0.6079999999999999,0.6512008912140491,4.8,3.4,6.6,5.2
svm_full,signo_zodiacal_geminis,30,0.5,0.43,0.44230769230769235,0.52,0.4775079992471297,0.39799999999999996,0.52052934260442,5.2,6.6,3.4,4.8
svm_full,signo_zodiacal_geminis,31,0.5,0.55,0.5343900543900544,0.5200000000000001,0.51727579819113,0.5860000000000001,0.6666525037569928,5.2,4.2,5.8,4.8
svm_full,signo_zodiacal_geminis,32,0.5,0.4600000000000001,0.45555555555555555,0.45999999999999996,0.4544391281233386,0.4720000000000001,0.5383931678916198,4.6,5.4,4.6,5.4
svm_full,signo_zodiacal_geminis,33,0.5,0.55,0.5407814407814409,0.6799999999999999,0.5987414187643021,0.5800000000000001,0.6444352128779374,6.8,5.8,4.2,3.2
svm_full,signo_zodiacal_geminis,34,0.5,0.5800000000000001,0.6027417027417027,0.5,0.5409885006634232,0.5960000000000001,0.6126340865017336,5.0,3.4,6.6,5.0
svm_full,signo_zodiacal_geminis,35,0.5,0.43,0.43030303030303035,0.43999999999999995,0.42625313283208016,0.41600000000000004,0.5126048247418217,4.4,5.8,4.2,5.6
svm_full,signo_zodiacal_geminis,36,0.5,0.41,0.4294289044289045,0.45999999999999996,0.4405671623062927,0.34400000000000003,0.4524605210750722,4.6,6.4,3.6,5.4
svm_full,signo_zodiacal_geminis,37,0.5,0.43,0.4275757575757576,0.4,0.3995071010860484,0.45199999999999996,0.5442356168942856,4.0,5.4,4.6,6.0
svm_full,signo_zodiacal_geminis,38,0.5,0.58,0.5792857142857143,0.6599999999999999,0.6102020202020202,0.64,0.6566313392489863,6.6,5.0,5.0,3.4
svm_full,signo_zodiacal_geminis,39,0.5,0.47000000000000003,0.4781385281385281,0.6,0.5312817617165443,0.502,0.5966623376623377,6.0,6.6,3.4,4.0
svm_full,signo_zodiacal_geminis,40,0.5,0.43,0.3918747918747919,0.38,0.3795812527909715,0.45599999999999996,0.5634399342487578,3.8,5.2,4.8,6.2
svm_full,signo_zodiacal_geminis,41,0.5,0.5900000000000001,0.6355555555555557,0.47999999999999987,0.5257017543859649,0.5609999999999999,0.5843488625237852,4.8,3.0,7.0,5.2
svm_full,signo_zodiacal_geminis,42,0.5,0.5000000000000001,0.502020202020202,0.4,0.4402071354857733,0.4660000000000001,0.5405135985445583,4.0,4.0,6.0,6.0
svm_full,signo_zodiacal_geminis,43,0.5,0.59,0.6288827838827838,0.5,0.5320357619078847,0.5199999999999999,0.5704539802302959,5.0,3.2,6.8,5.0
svm_full,signo_zodiacal_geminis,44,0.5,0.48,0.5054945054945055,0.42000000000000004,0.436746437705517,0.5660000000000001,0.6314993433638945,4.2,4.6,5.4,5.8
svm_full,signo_zodiacal_geminis,45,0.5,0.5900000000000001,0.6091666666666666,0.6599999999999999,0.6201367521367521,0.5860000000000001,0.6140512903848817,6.6,4.8,5.2,3.4
svm_full,signo_zodiacal_geminis,46,0.5,0.52,0.5322727272727272,0.42000000000000004,0.44813852813852806,0.5850000000000001,0.6486421078921079,4.2,3.8,6.2,5.8
svm_full,signo_zodiacal_geminis,47,0.5,0.5,0.5336363636363637,0.5,0.4938095238095238,0.526,0.6094457672530427,5.0,5.0,5.0,5.0
svm_full,signo_zodiacal_geminis,48,0.5,0.51,0.5376923076923077,0.5800000000000001,0.527197005892658,0.466,0.5419316239316239,5.8,5.6,4.4,4.2
svm_full,signo_zodiacal_geminis,49,0.5,0.42000000000000004,0.4298319327731092,0.48,0.4416320063378887,0.44399999999999995,0.49938487243750396,4.8,6.4,3.6,5.2
svm_full,signo_zodiacal_geminis,50,0.5,0.54,0.5666666666666667,0.52,0.5261904761904763,0.504,0.5502908002729984,5.2,4.4,5.6,4.8
svm_full,signo_zodiacal_geminis,51,0.5,0.57,0.5578304048892283,0.6799999999999999,0.6008276037687802,0.6140000000000001,0.6136759955730543,6.8,5.4,4.6,3.2
svm_full,signo_zodiacal_geminis,52,0.5,0.52,0.5486868686868687,0.45999999999999996,0.494390142021721,0.554,0.6068157185951304,4.6,4.2,5.8,5.4
svm_full,signo_zodiacal_geminis,53,0.5,0.5199999999999999,0.5212121212121212,0.4800000000000001,0.48939393939393944,0.528,0.5911547829535445,4.8,4.4,5.6,5.2
svm_full,signo_zodiacal_geminis,54,0.5,0.5,0.4766233766233766,0.62,0.5320405085110967,0.44800000000000006,0.5358061028239047,6.2,6.2,3.8,3.8
svm_full,signo_zodiacal_geminis,55,0.5,0.4600000000000001,0.4769327894327894,0.58,0.5185455276988458,0.458,0.5195584986908516,5.8,6.6,3.4,4.2
svm_full,signo_zodiacal_geminis,56,0.5,0.4000000000000001,0.36106671106671107,0.34,0.34037908069406253,0.44000000000000006,0.5312036470581362,3.4,5.4,4.6,6.6
svm_full,signo_zodiacal_geminis,57,0.5,0.4699999999999999,0.3888888888888889,0.36,0.3655830753353973,0.422,0.5140510066129261,3.6,4.2,5.8,6.4
svm_full,signo_zodiacal_geminis,58,0.5,0.5000000000000001,0.493939393939394,0.43999999999999995,0.4609649122807017,0.49000000000000005,0.5351280200707444,4.4,4.4,5.6,5.6
svm_full,signo_zodiacal_geminis,59,0.5,0.6000000000000001,0.6063203463203463,0.5399999999999999,0.563921568627451,0.5650000000000001,0.5741429007868637,5.4,3.4,6.6,4.6
svm_full,signo_zodiacal_geminis,60,0.5,0.45999999999999996,0.4647619047619047,0.56,0.49925490196078426,0.442,0.5403399307091257,5.6,6.4,3.6,4.4
svm_full,signo_zodiacal_geminis,61,0.5,0.42000000000000004,0.4175757575757576,0.42000000000000004,0.4183959899749373,0.39399999999999996,0.4950186500805696,4.2,5.8,4.2,5.8
svm_full,signo_zodiacal_geminis,62,0.5,0.4,0.3673992673992674,0.27999999999999997,0.3090153452685422,0.32599999999999996,0.47553544030788614,2.8,4.8,5.2,7.2
svm_full,signo_zodiacal_geminis,63,0.5,0.43,0.43106060606060603,0.38,0.39847211611917494,0.45599999999999996,0.5191857762120919,3.8,5.2,4.8,6.2
svm_full,signo_zodiacal_geminis,64,0.5,0.51,0.5188888888888888,0.52,0.5031196172248804,0.46799999999999997,0.5260263347763349,5.2,5.0,5.0,4.8
svm_full,signo_zodiacal_geminis,65,0.5,0.56,0.5540259740259741,0.6,0.5689228418640183,0.5920000000000001,0.6276939324865021,6.0,4.8,5.2,4.0
svm_full,signo_zodiacal_geminis,66,0.5,0.53,0.5385281385281385,0.5,0.5136513297504008,0.49800000000000005,0.5735014619883041,5.0,4.4,5.6,5.0
svm_full,signo_zodiacal_geminis,67,0.5,0.5599999999999999,0.5587301587301587,0.48,0.509541232761047,0.5299999999999999,0.591961279518555,4.8,3.6,6.4,5.2
svm_full,signo_zodiacal_geminis,68,0.5,0.4600000000000001,0.457020202020202,0.43999999999999995,0.44716791979949877,0.46799999999999997,0.5107216939407342,4.4,5.2,4.8,5.6
svm_full,signo_zodiacal_geminis,69,0.5,0.47000000000000003,0.48849816849816846,0.42000000000000004,0.4314066496163683,0.47599999999999987,0.5750911398542977,4.2,4.8,5.2,5.8
svm_full,signo_zodiacal_geminis,70,0.5,0.53,0.5311111111111112,0.6599999999999999,0.5816734143049933,0.534,0.5542989587811569,6.6,6.0,4.0,3.4
svm_full,signo_zodiacal_geminis,71,0.5,0.5,0.5301948051948052,0.4,0.4417366946778712,0.4640000000000001,0.5417355693841762,4.0,4.0,6.0,6.0
svm_full,signo_zodiacal_geminis,72,0.5,0.45,0.45897435897435895,0.44000000000000006,0.4409639877031181,0.45999999999999996,0.5783493755126881,4.4,5.4,4.6,5.6
svm_full,signo_zodiacal_geminis,73,0.5,0.47000000000000003,0.4851948051948051,0.5599999999999999,0.5111133180544946,0.462,0.5463601255985157,5.6,6.2,3.8,4.4
svm_full,signo_zodiacal_geminis,74,0.5,0.48,0.45213675213675214,0.4600000000000001,0.4464828078100389,0.524,0.5587626623462537,4.6,5.0,5.0,5.4
svm_full,signo_zodiacal_geminis,75,0.5,0.48,0.4902564102564102,0.54,0.5084302059496568,0.496,0.5825834257761502,5.4,5.8,4.2,4.6
svm_full,signo_zodiacal_geminis,76,0.5,0.5800000000000001,0.6301948051948052,0.45999999999999996,0.5254668534080299,0.622,0.6735542306850356,4.6,3.0,7.0,5.4
svm_full,signo_zodiacal_geminis,77,0.5,0.45,0.44848484848484843,0.44000000000000006,0.4431077694235589,0.49400000000000005,0.5464317616508019,4.4,5.4,4.6,5.6
