modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
svm_full,signo_zodiacal_leo,1,0.5,0.47000000000000003,0.46071428571428574,0.3,0.35154061624649857,0.518,0.6187887955697553,3.0,3.6,6.4,7.0
svm_full,signo_zodiacal_leo,2,0.5,0.51,0.4925,0.5199999999999999,0.49020757020757016,0.42300000000000004,0.48215945002709704,5.2,5.0,5.0,4.8
svm_full,signo_zodiacal_leo,3,0.5,0.5,0.5210317460317461,0.33999999999999997,0.40309474667059797,0.47800000000000004,0.5553511678380099,3.4,3.4,6.6,6.6
svm_full,signo_zodiacal_leo,4,0.5,0.5900000000000001,0.5830303030303029,0.5399999999999999,0.5535839598997494,0.592,0.6136503486193889,5.4,3.6,6.4,4.6
svm_full,signo_zodiacal_leo,5,0.5,0.42000000000000004,0.4177777777777778,0.52,0.4598628389154705,0.398,0.4982385686209215,5.2,6.8,3.2,4.8
svm_full,signo_zodiacal_leo,6,0.5,0.4800000000000001,0.47302197802197804,0.45999999999999996,0.46160272804774083,0.48,0.5392887868065885,4.6,5.0,5.0,5.4
svm_full,signo_zodiacal_leo,7,0.5,0.5700000000000001,0.5509372979961216,0.74,0.6275362318840579,0.5720000000000001,0.5854900601634347,7.4,6.0,4.0,2.6
svm_full,signo_zodiacal_leo,8,0.5,0.45999999999999996,0.4709090909090909,0.43999999999999995,0.437965367965368,0.42000000000000004,0.5245766204899331,4.4,5.2,4.8,5.6
svm_full,signo_zodiacal_leo,9,0.5,0.53,0.5367521367521368,0.5,0.5137045512331553,0.508,0.5931171071790267,5.0,4.4,5.6,5.0
svm_full,signo_zodiacal_leo,10,0.5,0.41,0.35064102564102567,0.36000000000000004,0.3482872200263505,0.378,0.4514502345779435,3.6,5.4,4.6,6.4
svm_full,signo_zodiacal_leo,11,0.5,0.41,0.3871428571428571,0.3,0.33620915032679743,0.40800000000000003,0.5227839860517879,3.0,4.8,5.2,7.0
svm_full,signo_zodiacal_leo,12,0.5,0.55,0.5719480519480519,0.48,0.5119327731092437,0.514,0.5815914271487026,4.8,3.8,6.2,5.2
svm_full,signo_zodiacal_leo,13,0.5,0.55,0.5674603174603174,0.44000000000000006,0.4946680426556588,0.5740000000000001,0.6155990845240071,4.4,3.4,6.6,5.6
svm_full,signo_zodiacal_leo,14,0.5,0.47000000000000003,0.4565079365079365,0.48,0.463859649122807,0.476,0.5533568263521824,4.8,5.4,4.6,5.2
svm_full,signo_zodiacal_leo,15,0.5,0.55,0.5342424242424243,0.5599999999999999,0.5416017316017316,0.5800000000000001,0.6243258022507249,5.6,4.6,5.4,4.4
svm_full,signo_zodiacal_leo,16,0.5,0.43,0.4174159174159174,0.38,0.39001542646043924,0.394,0.489777789032433,3.8,5.2,4.8,6.2
svm_full,signo_zodiacal_leo,17,0.5,0.41,0.44153846153846155,0.38,0.3972924901185771,0.384,0.5400758722701446,3.8,5.6,4.4,6.2
svm_full,signo_zodiacal_leo,18,0.5,0.37,0.32272727272727275,0.34,0.33015873015873015,0.314,0.4388501221001221,3.4,6.0,4.0,6.6
