modelo,signo,iter,pos_rate_bootstrap,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,cv_tp_mean,cv_fp_mean,cv_tn_mean,cv_fn_mean
svm_full,signo_zodiacal_sagitario,1,0.5,0.51,0.5126923076923077,0.4800000000000001,0.49062801932367145,0.5660000000000001,0.624818559493482,4.8,4.6,5.4,5.2
svm_full,signo_zodiacal_sagitario,2,0.5,0.64,0.6952380952380952,0.5,0.5792569659442725,0.6279999999999999,0.6662003078620724,5.0,2.2,7.8,5.0
svm_full,signo_zodiacal_sagitario,3,0.5,0.57,0.564098124098124,0.6799999999999999,0.6120510366826156,0.5900000000000001,0.6331667776667776,6.8,5.4,4.6,3.2
svm_full,signo_zodiacal_sagitario,4,0.5,0.5599999999999999,0.5417832167832167,0.6599999999999999,0.5898709985666507,0.5980000000000001,0.6469218281718282,6.6,5.4,4.6,3.4
svm_full,signo_zodiacal_sagitario,5,0.5,0.43000000000000005,0.42940115440115434,0.34,0.3745982603567743,0.348,0.4933181767492913,3.4,4.8,5.2,6.6
svm_full,signo_zodiacal_sagitario,6,0.5,0.51,0.5161111111111111,0.4,0.442406015037594,0.48199999999999993,0.5647140930964459,4.0,3.8,6.2,6.0
svm_full,signo_zodiacal_sagitario,7,0.5,0.48999999999999994,0.4980952380952381,0.5800000000000001,0.5313333333333333,0.54,0.6302017422721757,5.8,6.0,4.0,4.2
svm_full,signo_zodiacal_sagitario,8,0.5,0.47000000000000003,0.44757575757575757,0.5,0.454007326007326,0.538,0.5755557655279018,5.0,5.6,4.4,5.0
svm_full,signo_zodiacal_sagitario,9,0.5,0.45,0.44299034299034296,0.5,0.4629399585921325,0.434,0.5257222783236715,5.0,6.0,4.0,5.0
svm_full,signo_zodiacal_sagitario,10,0.5,0.45,0.4566233766233766,0.48,0.46412698412698405,0.472,0.568673715775109,4.8,5.8,4.2,5.2
svm_full,signo_zodiacal_sagitario,11,0.5,0.47000000000000003,0.45,0.36,0.3927777777777778,0.446,0.4870262396702024,3.6,4.2,5.8,6.4
svm_full,signo_zodiacal_sagitario,12,0.5,0.5900000000000001,0.6087301587301587,0.5,0.5479188166494667,0.5349999999999999,0.5789269331459733,5.0,3.2,6.8,5.0
svm_full,signo_zodiacal_sagitario,13,0.5,0.4800000000000001,0.49001221001221007,0.5,0.48807645712747344,0.445,0.5208001628574384,5.0,5.4,4.6,5.0
svm_full,signo_zodiacal_sagitario,14,0.5,0.51,0.5287087912087912,0.5799999999999998,0.5423549932366731,0.5279999999999999,0.587794186205951,5.8,5.6,4.4,4.2
svm_full,signo_zodiacal_sagitario,15,0.5,0.45999999999999996,0.4460606060606061,0.32000000000000006,0.3667460317460317,0.457,0.4983526271629987,3.2,4.0,6.0,6.8
svm_full,signo_zodiacal_sagitario,16,0.5,0.53,0.5365079365079366,0.42000000000000004,0.4693498452012384,0.6260000000000001,0.6397346417772114,4.2,3.6,6.4,5.8
svm_full,signo_zodiacal_sagitario,17,0.5,0.47000000000000003,0.46439393939393936,0.44000000000000006,0.4428571428571429,0.454,0.5065208571957799,4.4,5.0,5.0,5.6
svm_full,signo_zodiacal_sagitario,18,0.5,0.5599999999999999,0.5011111111111111,0.44000000000000006,0.4500583626899416,0.512,0.575493098404863,4.4,3.2,6.8,5.6
svm_full,signo_zodiacal_sagitario,19,0.5,0.5,0.5057575757575757,0.48,0.4865105946684894,0.446,0.5058893791966548,4.8,4.8,5.2,5.2
svm_full,signo_zodiacal_sagitario,20,0.5,0.57,0.5540909090909091,0.6,0.5659096459096459,0.542,0.603392831454751,6.0,4.6,5.4,4.0
svm_full,signo_zodiacal_sagitario,21,0.5,0.48999999999999994,0.4993506493506493,0.43999999999999995,0.4642390289449113,0.48599999999999993,0.5451552885538954,4.4,4.6,5.4,5.6
svm_full,signo_zodiacal_sagitario,22,0.5,0.58,0.5642857142857143,0.7,0.6242424242424243,0.584,0.6060747542790886,7.0,5.4,4.6,3.0
svm_full,signo_zodiacal_sagitario,23,0.5,0.43999999999999995,0.4434920634920635,0.45999999999999996,0.4452453325827939,0.446,0.5311951747083327,4.6,5.8,4.2,5.4
svm_full,signo_zodiacal_sagitario,24,0.5,0.33,0.2971778221778222,0.34,0.31387163561076603,0.286,0.41364785584212826,3.4,6.8,3.2,6.6
svm_full,signo_zodiacal_sagitario,25,0.5,0.51,0.5055555555555555,0.5,0.500956937799043,0.5,0.5281063082943888,5.0,4.8,5.2,5.0
svm_full,signo_zodiacal_sagitario,26,0.5,0.43,0.40161616161616165,0.4,0.372781954887218,0.418,0.5240195078399412,4.0,5.4,4.6,6.0
svm_full,signo_zodiacal_sagitario,27,0.5,0.53,0.5944444444444444,0.36,0.4374686716791979,0.5440000000000002,0.6338554958113782,3.6,3.0,7.0,6.4
svm_full,signo_zodiacal_sagitario,28,0.5,0.51,0.52995670995671,0.44000000000000006,0.4624929971988795,0.526,0.6439482168158637,4.4,4.2,5.8,5.6
svm_full,signo_zodiacal_sagitario,29,0.5,0.5,0.49848484848484853,0.6,0.5435064935064935,0.5319999999999999,0.6189417690152984,6.0,6.0,4.0,4.0
svm_full,signo_zodiacal_sagitario,30,0.5,0.4600000000000001,0.4572222222222223,0.4,0.41956406166932486,0.404,0.509785140899692,4.0,4.8,5.2,6.0
svm_full,signo_zodiacal_sagitario,31,0.5,0.5900000000000001,0.58,0.7,0.6274066985645933,0.5959999999999999,0.6368306585055811,7.0,5.2,4.8,3.0
svm_full,signo_zodiacal_sagitario,32,0.5,0.48,0.47040346907993963,0.6599999999999999,0.5444752992579078,0.44800000000000006,0.53774502028759,6.6,7.0,3.0,3.4
svm_full,signo_zodiacal_sagitario,33,0.5,0.48,0.4832167832167832,0.48,0.477948494424467,0.44600000000000006,0.5162731168040766,4.8,5.2,4.8,5.2
svm_full,signo_zodiacal_sagitario,34,0.5,0.49000000000000005,0.49268065268065264,0.6,0.5383331451157538,0.514,0.600734237984238,6.0,6.2,3.8,4.0
svm_full,signo_zodiacal_sagitario,35,0.5,0.61,0.5905827505827506,0.76,0.662660267268963,0.5519999999999999,0.5857278930220107,7.6,5.4,4.6,2.4
svm_full,signo_zodiacal_sagitario,36,0.5,0.51,0.5106060606060606,0.6,0.55,0.518,0.5999351281673263,6.0,5.8,4.2,4.0
svm_full,signo_zodiacal_sagitario,37,0.5,0.5900000000000001,0.5715151515151515,0.64,0.5974603174603175,0.5959999999999999,0.6466123510991932,6.4,4.6,5.4,3.6
svm_full,signo_zodiacal_sagitario,38,0.5,0.57,0.5496825396825396,0.64,0.5879904306220095,0.586,0.6266941006190232,6.4,5.0,5.0,3.6
svm_full,signo_zodiacal_sagitario,39,0.5,0.51,0.5198412698412698,0.4600000000000001,0.48391031053569755,0.522,0.5942030644793801,4.6,4.4,5.6,5.4
svm_full,signo_zodiacal_sagitario,40,0.5,0.5900000000000001,0.6472727272727272,0.48,0.5307575757575758,0.584,0.6165562580694159,4.8,3.0,7.0,5.2
svm_full,signo_zodiacal_sagitario,41,0.5,0.42000000000000004,0.4210606060606061,0.4600000000000001,0.4348571428571429,0.44000000000000006,0.508295230053744,4.6,6.2,3.8,5.4
svm_full,signo_zodiacal_sagitario,42,0.5,0.49000000000000005,0.48611111111111105,0.38,0.4185463659147869,0.496,0.5379359621286866,3.8,4.0,6.0,6.2
svm_full,signo_zodiacal_sagitario,43,0.5,0.43,0.4362193362193362,0.4600000000000001,0.4446115288220551,0.39999999999999997,0.49379904263263397,4.6,6.0,4.0,5.4
svm_full,signo_zodiacal_sagitario,44,0.5,0.51,0.4875,0.5599999999999999,0.5090497737556562,0.495,0.5512107069916667,5.6,5.4,4.6,4.4
svm_full,signo_zodiacal_sagitario,45,0.5,0.5700000000000001,0.655,0.45999999999999996,0.5106915306915306,0.582,0.6645242839375965,4.6,3.2,6.8,5.4
svm_full,signo_zodiacal_sagitario,46,0.5,0.5200000000000001,0.5313131313131312,0.48,0.49849624060150377,0.49800000000000005,0.5527633955311974,4.8,4.4,5.6,5.2
svm_full,signo_zodiacal_sagitario,47,0.5,0.52,0.5167832167832167,0.62,0.563297571993224,0.48600000000000004,0.5635093893035069,6.2,5.8,4.2,3.8
svm_full,signo_zodiacal_sagitario,48,0.5,0.54,0.5332478632478633,0.6,0.5623132931142084,0.59,0.6027194276311925,6.0,5.2,4.8,4.0
svm_full,signo_zodiacal_sagitario,49,0.5,0.49000000000000005,0.4622727272727273,0.38,0.4066666666666666,0.5279999999999999,0.5597018439077263,3.8,4.0,6.0,6.2
svm_full,signo_zodiacal_sagitario,50,0.5,0.5200000000000001,0.5128871128871129,0.5800000000000001,0.5391994478951001,0.548,0.5968488743798341,5.8,5.4,4.6,4.2
svm_full,signo_zodiacal_sagitario,51,0.5,0.54,0.5269658119658119,0.5800000000000001,0.544323417238749,0.616,0.6418080771138046,5.8,5.0,5.0,4.2
svm_full,signo_zodiacal_sagitario,52,0.5,0.5,0.5076190476190476,0.5999999999999999,0.5346890756302521,0.5519999999999999,0.6197151257754973,6.0,6.0,4.0,4.0
svm_full,signo_zodiacal_sagitario,53,0.5,0.52,0.5026923076923077,0.4800000000000001,0.48173913043478256,0.546,0.5668953236306178,4.8,4.4,5.6,5.2
svm_full,signo_zodiacal_sagitario,54,0.5,0.42000000000000004,0.4258119658119658,0.48,0.4493488662367381,0.388,0.5067162590591383,4.8,6.4,3.6,5.2
svm_full,signo_zodiacal_sagitario,55,0.5,0.54,0.551060606060606,0.5,0.5225062656641604,0.5519999999999999,0.6420323538690411,5.0,4.2,5.8,5.0
