,pos_rate_bootstrap,pos_rate_bootstrap,cv_accuracy,cv_accuracy,cv_precision,cv_precision,cv_recall,cv_recall,cv_f1,cv_f1,cv_roc_auc,cv_roc_auc,cv_pr_auc,cv_pr_auc,cv_tp_mean,cv_tp_mean,cv_fp_mean,cv_fp_mean,cv_tn_mean,cv_tn_mean,cv_fn_mean,cv_fn_mean
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
signo,,,,,,,,,,,,,,,,,,,,,,
signo_zodiacal_acuario,0.5,0.0,0.50198,0.06194152973742598,0.5026614118234707,0.07202655547625834,0.50764,0.11091905369658493,0.49265663983010005,0.07960986866617246,0.50125,0.07953849536223943,0.569340686007491,0.06215226498480607,5.0764,1.1091905369658495,5.0368,1.1162157655536589,4.9632,1.1162157655536586,4.9236,1.1091905369658497
signo_zodiacal_aries,0.5,0.0,0.49896,0.062349766533432584,0.4984625100183614,0.07217744602062079,0.50636,0.10797623875775883,0.49013589395376017,0.07907862239546987,0.49718,0.07945873760615589,0.5665440086995907,0.06101880910340089,5.0636,1.0797623875775888,5.0844,1.1025188141120046,4.9156,1.1025188141120046,4.9364,1.0797623875775888
signo_zodiacal_cancer,0.5,0.0,0.49718,0.06246961265295326,0.4971841575658603,0.07253817799403096,0.50288,0.11284490926530183,0.4875367279080715,0.08216600827575817,0.497528,0.08007890157184923,0.5652916429573179,0.06021923776289962,5.0288,1.1284490926530177,5.0851999999999995,1.0821289044896005,4.9148000000000005,1.0821289044896008,4.9712,1.1284490926530177
signo_zodiacal_capricornio,0.5,0.0,0.49948000000000004,0.06125711770021405,0.4995754056401115,0.07231514134700348,0.48944,0.10591563928566257,0.4818999389033415,0.07841336871064569,0.50327,0.08084853784790598,0.5695828505316493,0.0615881605482385,4.894399999999999,1.0591563928566252,4.9048,1.0930537466135737,5.0952,1.093053746613574,5.105600000000001,1.0591563928566252
signo_zodiacal_escorpio,0.5,0.0,0.49716000000000005,0.06186103762427449,0.49733116342377953,0.07335176956658987,0.4878,0.10502771845225709,0.4800624825424332,0.07819670007220507,0.497518,0.08287505188202836,0.5685992350654161,0.06101758639128138,4.878,1.0502771845225702,4.9348,1.107737841843685,5.0652,1.107737841843685,5.122,1.0502771845225702
signo_zodiacal_geminis,0.5,0.0,0.5005200000000001,0.06035075830555993,0.5029983695716049,0.0693064203279037,0.5024,0.10732976921021231,0.48988613142733883,0.07545349608577245,0.50043,0.07880086454160902,0.5680708099262278,0.0600133590538838,5.024,1.0732976921021224,5.0136,1.128451081654572,4.9864,1.128451081654572,4.976,1.0732976921021227
signo_zodiacal_leo,0.5,0.0,0.4959,0.06308207905098553,0.4962210433357492,0.07346655023023821,0.49395999999999995,0.11119823963082327,0.4825875007745992,0.08154693528456859,0.49514400000000003,0.08077291496277182,0.5668007505930601,0.06307014366537123,4.9396,1.1119823963082323,5.0216,1.1139547703838442,4.9784,1.1139547703838442,5.0604,1.1119823963082323
signo_zodiacal_libra,0.5,0.0,0.49896,0.061387745606279145,0.4984059150326797,0.06981359563420977,0.48796,0.10924333669943644,0.4806645973075697,0.07915186556481414,0.499902,0.07892524808685206,0.5677145728775868,0.05973257940682167,4.8796,1.092433366994365,4.900399999999999,1.1054609571828902,5.099600000000001,1.1054609571828902,5.1204,1.092433366994365
signo_zodiacal_piscis,0.5,0.0,0.4974,0.061020381627353786,0.4966138622162152,0.06978433857283914,0.5024,0.10834073763299623,0.4875496972974229,0.07822931685521088,0.496786,0.07954953463673968,0.5648058874763008,0.05918987917266249,5.024,1.0834073763299623,5.076,1.0979959883263515,4.924,1.0979959883263517,4.976,1.0834073763299623
signo_zodiacal_sagitario,0.5,0.0,0.4977,0.06389267993360584,0.49737948886854455,0.07501317229320648,0.5012,0.1088846717563449,0.48707704563061155,0.08061673096443456,0.497342,0.08014894098790681,0.5656432785776314,0.06057768545254393,5.012,1.088846717563449,5.058,1.0921086955086523,4.942,1.0921086955086523,4.988,1.088846717563449
signo_zodiacal_tauro,0.5,0.0,0.4985,0.06456847664574959,0.49706221402780226,0.0733966955472572,0.51064,0.11637989069386444,0.49196984479681943,0.08489288784587318,0.499078,0.08340458359784704,0.5673530864235523,0.06277841225277465,5.1064,1.1637989069386443,5.1364,1.0496468725786916,4.8636,1.0496468725786916,4.8936,1.163798906938644
signo_zodiacal_virgo,0.5,0.0,0.49760000000000004,0.06268092050689097,0.49824418724206654,0.07372790349734899,0.49107999999999996,0.10818058827423119,0.48249806329503236,0.08033448046080234,0.499006,0.08012156322606032,0.5688877897517,0.06223706287438619,4.9108,1.0818058827423114,4.9588,1.111419392548225,5.0412,1.111419392548225,5.0892,1.0818058827423114
