variable,chi2,p_value
ESPECIALIDAD_MEDICA_PEDIATRÍA,2640.0118094087143,0.0
ESPECIALIDAD_MEDICA_NEFROLOGÍA,2107.0193873115177,0.0
DIAGNOSTICO2_I,1062.4281349007683,7.001735742267347e-221
ESPECIALIDAD_MEDICA_NEONATOLOGÍA,976.3691737949353,2.332989458241023e-202
DIAGNOSTICO3_I,948.6587918241821,2.1330213596584646e-196
DIAGNOSTICO1_P,908.3134898320575,1.0118496581338618e-187
DIAGNOSTICO4_I,801.5825611855805,8.664135484746156e-165
ESPECIALIDAD_MEDICA_MEDICINA INTERNA,796.3256342249313,1.165267872486951e-163
DIAGNOSTICO1_I,765.8377856412425,4.080205615787339e-157
DIAGNOSTICO1_J,672.1571493681018,4.9991156181461955e-137
ESPECIALIDAD_MEDICA_CIRUGÍA PEDIÁTRICA,656.0020454768003,1.4438709274865182e-133
DIAGNOSTICO3_Q,631.9938633921179,1.9961881657506461e-128
DIAGNOSTICO5_I,623.8764140033209,1.0906866604300987e-126
DIAGNOSTICO4_NA,603.7966449494845,2.158942496223156e-122
DIAGNOSTICO2_P,599.8719148093265,1.4920499191531226e-121
DIAGNOSTICO3_NA,546.3529364064051,4.1048007309165016e-110
DIAGNOSTICO5_NA,521.4432292588262,8.541085955569328e-105
ESPECIALIDAD_MEDICA_NEFROLOGÍA PEDIÁTRICA,519.373685400624,2.3613865101060693e-104
PROCEDIMIENTO1_13,492.85079454476295,1.0727745981666979e-98
PROCEDIMIENTO2_13,489.6793363886909,5.088821084010352e-98
DIAGNOSTICO6_I,470.16776212943955,7.317642850972753e-94
PROCEDIMIENTO1_39,462.3262758147938,3.422958392150785e-92
ESPECIALIDAD_MEDICA_OFTALMOLOGÍA,439.4149040710946,2.5742837010831422e-87
DIAGNOSTICO1_H,406.6055056232934,2.4221225829839476e-80
DIAGNOSTICO3_P,399.7925596226604,6.772529806135097e-79
DIAGNOSTICO6_NA,379.28439660654664,1.5193700562027063e-74
DIAGNOSTICO1_O,375.02813129118493,1.2132861766005186e-73
DIAGNOSTICO7_I,374.56041912022033,1.524403750378324e-73
DIAGNOSTICO4_E,367.79515818613464,4.137431798426512e-72
DIAGNOSTICO8_I,357.3733319419445,6.667122654332419e-70
DIAGNOSTICO3_E,350.34645990045834,2.0474671649758707e-68
DIAGNOSTICO5_E,330.16592514527,3.785398750066603e-64
ESPECIALIDAD_MEDICA_HEMATO-ONCOLOGÍA PEDIÁTRICA,317.4877457780588,1.799283351137021e-61
ESPECIALIDAD_MEDICA_OBSTETRICIA Y GINECOLOGÍA,290.95778462569706,7.024444477325671e-56
PROCEDIMIENTO1_93,285.04713908606004,1.231022272686112e-54
DIAGNOSTICO6_E,279.47174599961255,1.8307162009492017e-53
DIAGNOSTICO7_NA,254.2722536494066,3.5592464776534937e-48
DIAGNOSTICO4_P,242.9061761072714,8.527707381538273e-46
DIAGNOSTICO2_O,241.38099769055626,1.7775207700096326e-45
DIAGNOSTICO2_N,238.60740199568667,6.756149122760054e-45
DIAGNOSTICO7_E,236.40460672018344,1.9501143946727259e-44
DIAGNOSTICO1_Z,235.01922454722143,3.797563719574032e-44
DIAGNOSTICO9_I,226.86358774855773,1.914547825886785e-42
DIAGNOSTICO2_NA,216.59870747973756,2.638768587761016e-40
DIAGNOSTICO2_K,206.7688794016671,2.9243634839663107e-38
DIAGNOSTICO1_Q,198.90002623381238,1.257971590094503e-36
DIAGNOSTICO11_I,185.52862921517263,7.390575797144341e-34
DIAGNOSTICO10_E,184.5982592414681,1.1507727778943987e-33
DIAGNOSTICO8_E,184.261525956045,1.3507712310799024e-33
ESPECIALIDAD_MEDICA_CIRUGÍA GENERAL,182.76187806445014,2.756984056331086e-33
DIAGNOSTICO4_N,180.700989855253,7.345784351024755e-33
PROCEDIMIENTO1_99,179.3070336743721,1.4248537721693468e-32
PROCEDIMIENTO1_47,176.15887161779602,6.355765286051534e-32
DIAGNOSTICO8_NA,174.86539081295555,1.1743822079562895e-31
PROCEDIMIENTO1_73,170.58137245086692,8.957248128595413e-31
ESPECIALIDAD_MEDICA_NEUROLOGÍA ADULTO,167.18149259132193,4.483152614260229e-30
ESPECIALIDAD_MEDICA_CARDIOLOGÍA,160.36872587955517,1.123756136011527e-28
DIAGNOSTICO10_Z,158.03642703633983,3.379590840701691e-28
ESPECIALIDAD_MEDICA_GENÉTICA CLÍNICA,157.5466457913675,4.258257285591607e-28
ESPECIALIDAD_MEDICA_MÉDICO GENERAL,152.86119065639724,3.876561898956907e-27
DIAGNOSTICO11_Z,152.20278740152605,5.285615243617558e-27
DIAGNOSTICO10_I,149.6258559094512,1.777273040992957e-26
DIAGNOSTICO6_N,149.49130706879677,1.893377306102283e-26
DIAGNOSTICO3_O,148.38427461110223,3.186408956660956e-26
DIAGNOSTICO3_N,146.7649021362791,6.820225069655574e-26
DIAGNOSTICO14_Z,146.4213577459871,8.01462155122037e-26
DIAGNOSTICO5_N,144.42235499409668,2.048698448448873e-25
DIAGNOSTICO9_E,139.9051705463835,1.702839065538253e-24
