variable,chi2,p_value,familia,significativa
ESPECIALIDAD_MEDICA_PEDIATRÍA,2764.6790014394437,0.0,ESPECIALIDAD_MEDICA,True
ESPECIALIDAD_MEDICA_NEFROLOGÍA,2493.831936608594,0.0,ESPECIALIDAD_MEDICA,True
DIAGNOSTICO2_I,1067.996502921955,4.46788351185205e-221,DIAGNOSTICO,True
ESPECIALIDAD_MEDICA_NEONATOLOGÍA,980.1720360666608,3.4274520837308672e-202,ESPECIALIDAD_MEDICA,True
DIAGNOSTICO3_I,937.4926308718464,5.084136760832416e-193,DIAGNOSTICO,True
DIAGNOSTICO1_P,912.8902802129128,9.793299787991966e-188,DIAGNOSTICO,True
DIAGNOSTICO4_I,797.691348529287,5.1740735715241594e-163,DIAGNOSTICO,True
ESPECIALIDAD_MEDICA_MEDICINA INTERNA,797.354736437366,6.109600103468122e-163,ESPECIALIDAD_MEDICA,True
ESPECIALIDAD_MEDICA_NEFROLOGÍA PEDIÁTRICA,790.9570075006213,1.4381787235933057e-161,ESPECIALIDAD_MEDICA,True
DIAGNOSTICO1_I,765.0695678863367,5.09479151715123e-156,DIAGNOSTICO,True
ESPECIALIDAD_MEDICA_CIRUGÍA PEDIÁTRICA,690.5369906540875,4.674312967517519e-140,ESPECIALIDAD_MEDICA,True
DIAGNOSTICO1_J,667.9379948818914,3.1988070336488887e-135,DIAGNOSTICO,True
DIAGNOSTICO5_I,625.2881231293484,4.202016869246539e-126,DIAGNOSTICO,True
DIAGNOSTICO3_Q,616.8398125169766,2.6825156375870127e-124,DIAGNOSTICO,True
DIAGNOSTICO2_P,608.7373729481325,1.443268513043072e-122,DIAGNOSTICO,True
DIAGNOSTICO4_NA,599.6656910281408,1.2495194445057858e-120,DIAGNOSTICO,True
DIAGNOSTICO3_NA,541.8207034927322,2.7424314448574536e-108,DIAGNOSTICO,True
PROCEDIMIENTO1_39,537.4086671726575,2.39061249156036e-107,PROCEDIMIENTO,True
DIAGNOSTICO5_NA,528.731805480466,1.6883159466229911e-105,DIAGNOSTICO,True
DIAGNOSTICO6_I,474.88740895780484,4.867819476827723e-94,DIAGNOSTICO,True
PROCEDIMIENTO1_13,472.86413877839664,1.3105399008501842e-93,PROCEDIMIENTO,True
PROCEDIMIENTO2_13,466.13343112548995,3.531900995900746e-92,PROCEDIMIENTO,True
ESPECIALIDAD_MEDICA_OFTALMOLOGÍA,423.5494114322051,3.871947638827955e-83,ESPECIALIDAD_MEDICA,True
DIAGNOSTICO3_P,399.13419134229446,5.772152526139902e-78,DIAGNOSTICO,True
DIAGNOSTICO1_H,389.47931528923175,6.38217430175813e-76,DIAGNOSTICO,True
DIAGNOSTICO6_NA,382.00236983612615,2.4361088271510635e-74,DIAGNOSTICO,True
DIAGNOSTICO4_E,367.2011863072144,3.2763369227443885e-71,DIAGNOSTICO,True
ESPECIALIDAD_MEDICA_HEMATO-ONCOLOGÍA PEDIÁTRICA,364.0047618350013,1.5509715194309107e-70,ESPECIALIDAD_MEDICA,True
DIAGNOSTICO1_O,363.29916030288996,2.1859159016570718e-70,DIAGNOSTICO,True
DIAGNOSTICO7_I,362.44400573500167,3.3131356216410496e-70,DIAGNOSTICO,True
DIAGNOSTICO8_I,358.4301768714573,2.332307035416135e-69,DIAGNOSTICO,True
DIAGNOSTICO3_E,348.21495224177806,3.338637831214091e-67,DIAGNOSTICO,True
DIAGNOSTICO5_E,325.90764568459986,1.6774282600804985e-62,DIAGNOSTICO,True
PROCEDIMIENTO1_93,287.5078918650197,1.9617129604514502e-54,PROCEDIMIENTO,True
DIAGNOSTICO6_E,276.79089838038965,3.450710562453629e-52,DIAGNOSTICO,True
ESPECIALIDAD_MEDICA_OBSTETRICIA Y GINECOLOGÍA,273.7797173698429,1.4729969552139154e-51,ESPECIALIDAD_MEDICA,True
DIAGNOSTICO1_Z,260.1335369561717,1.0501674311669873e-48,DIAGNOSTICO,True
DIAGNOSTICO7_NA,251.41516491498732,6.93421255250222e-47,DIAGNOSTICO,True
DIAGNOSTICO7_E,245.28600579018655,1.3145458542265615e-45,DIAGNOSTICO,True
DIAGNOSTICO4_P,245.1183145289038,1.4246782576628796e-45,DIAGNOSTICO,True
DIAGNOSTICO9_I,235.46690879932987,1.4554856441045276e-43,DIAGNOSTICO,True
DIAGNOSTICO2_N,234.36369223246876,2.468650721590619e-43,DIAGNOSTICO,True
DIAGNOSTICO2_O,225.40744179815607,1.7923791110248764e-41,DIAGNOSTICO,True
DIAGNOSTICO1_Q,211.8893700439236,1.137128363604615e-38,DIAGNOSTICO,True
DIAGNOSTICO2_NA,211.73468850979413,1.224130678200234e-38,DIAGNOSTICO,True
DIAGNOSTICO11_I,201.32313642820318,1.738872011022696e-36,DIAGNOSTICO,True
ESPECIALIDAD_MEDICA_CIRUGÍA GENERAL,198.22831243546463,7.568451276386794e-36,ESPECIALIDAD_MEDICA,True
DIAGNOSTICO4_N,188.64620600207175,7.133364399131447e-34,DIAGNOSTICO,True
